"tensor(1.7431, device='cuda:0')","tensor(-1.7767, device='cuda:0')"
"tensor(1.7247, device='cuda:0')","tensor(-1.7578, device='cuda:0')"
"tensor(1.7189, device='cuda:0')","tensor(-1.7516, device='cuda:0')"
"tensor(1.0978, device='cuda:0')","tensor(-1.0843, device='cuda:0')"
"tensor(1.5271, device='cuda:0')","tensor(-1.5489, device='cuda:0')"
"tensor(1.2795, device='cuda:0')","tensor(-1.2720, device='cuda:0')"
"tensor(1.2485, device='cuda:0')","tensor(-1.2516, device='cuda:0')"
"tensor(1.6702, device='cuda:0')","tensor(-1.7003, device='cuda:0')"
"tensor(1.6399, device='cuda:0')","tensor(-1.6676, device='cuda:0')"
"tensor(1.5909, device='cuda:0')","tensor(-1.6167, device='cuda:0')"
"tensor(1.6549, device='cuda:0')","tensor(-1.6841, device='cuda:0')"
"tensor(1.0356, device='cuda:0')","tensor(-1.0180, device='cuda:0')"
"tensor(1.4378, device='cuda:0')","tensor(-1.4546, device='cuda:0')"
"tensor(1.8151, device='cuda:0')","tensor(-1.8526, device='cuda:0')"
"tensor(1.7239, device='cuda:0')","tensor(-1.7571, device='cuda:0')"
"tensor(1.4758, device='cuda:0')","tensor(-1.4892, device='cuda:0')"
"tensor(1.6743, device='cuda:0')","tensor(-1.7049, device='cuda:0')"
"tensor(1.7540, device='cuda:0')","tensor(-1.7883, device='cuda:0')"
"tensor(1.6096, device='cuda:0')","tensor(-1.6353, device='cuda:0')"
"tensor(1.6752, device='cuda:0')","tensor(-1.7047, device='cuda:0')"
"tensor(1.6948, device='cuda:0')","tensor(-1.7257, device='cuda:0')"
"tensor(1.7173, device='cuda:0')","tensor(-1.7493, device='cuda:0')"
"tensor(1.4815, device='cuda:0')","tensor(-1.4910, device='cuda:0')"
"tensor(1.6576, device='cuda:0')","tensor(-1.6864, device='cuda:0')"
"tensor(1.6686, device='cuda:0')","tensor(-1.6987, device='cuda:0')"
"tensor(1.4464, device='cuda:0')","tensor(-1.4638, device='cuda:0')"
"tensor(1.7062, device='cuda:0')","tensor(-1.7385, device='cuda:0')"
"tensor(1.7461, device='cuda:0')","tensor(-1.7804, device='cuda:0')"
"tensor(1.8345, device='cuda:0')","tensor(-1.8730, device='cuda:0')"
"tensor(1.5655, device='cuda:0')","tensor(-1.5896, device='cuda:0')"
"tensor(1.7011, device='cuda:0')","tensor(-1.7328, device='cuda:0')"
"tensor(1.6753, device='cuda:0')","tensor(-1.7057, device='cuda:0')"
"tensor(1.6693, device='cuda:0')","tensor(-1.6995, device='cuda:0')"
"tensor(1.5604, device='cuda:0')","tensor(-1.5841, device='cuda:0')"
"tensor(1.4959, device='cuda:0')","tensor(-1.5149, device='cuda:0')"
"tensor(1.8131, device='cuda:0')","tensor(-1.8506, device='cuda:0')"
"tensor(1.6351, device='cuda:0')","tensor(-1.6634, device='cuda:0')"
"tensor(1.4447, device='cuda:0')","tensor(-1.4564, device='cuda:0')"
"tensor(1.7952, device='cuda:0')","tensor(-1.8318, device='cuda:0')"
"tensor(1.7457, device='cuda:0')","tensor(-1.7798, device='cuda:0')"
"tensor(1.6656, device='cuda:0')","tensor(-1.6952, device='cuda:0')"
"tensor(1.7092, device='cuda:0')","tensor(-1.7408, device='cuda:0')"
"tensor(1.7095, device='cuda:0')","tensor(-1.7416, device='cuda:0')"
"tensor(1.6292, device='cuda:0')","tensor(-1.6562, device='cuda:0')"
"tensor(1.6471, device='cuda:0')","tensor(-1.6760, device='cuda:0')"
"tensor(1.6555, device='cuda:0')","tensor(-1.6849, device='cuda:0')"
"tensor(1.6395, device='cuda:0')","tensor(-1.6675, device='cuda:0')"
"tensor(1.7588, device='cuda:0')","tensor(-1.7934, device='cuda:0')"
"tensor(1.4447, device='cuda:0')","tensor(-1.4581, device='cuda:0')"
"tensor(1.6649, device='cuda:0')","tensor(-1.6942, device='cuda:0')"
"tensor(1.6169, device='cuda:0')","tensor(-1.6430, device='cuda:0')"
"tensor(1.6308, device='cuda:0')","tensor(-1.6585, device='cuda:0')"
"tensor(1.0173, device='cuda:0')","tensor(-0.9945, device='cuda:0')"
"tensor(1.5326, device='cuda:0')","tensor(-1.5546, device='cuda:0')"
"tensor(1.2331, device='cuda:0')","tensor(-1.2295, device='cuda:0')"
"tensor(1.4843, device='cuda:0')","tensor(-1.5036, device='cuda:0')"
"tensor(1.3848, device='cuda:0')","tensor(-1.3881, device='cuda:0')"
"tensor(1.6343, device='cuda:0')","tensor(-1.6609, device='cuda:0')"
"tensor(1.6301, device='cuda:0')","tensor(-1.6581, device='cuda:0')"
"tensor(1.5547, device='cuda:0')","tensor(-1.5787, device='cuda:0')"
"tensor(1.7009, device='cuda:0')","tensor(-1.7323, device='cuda:0')"
"tensor(1.5918, device='cuda:0')","tensor(-1.6174, device='cuda:0')"
"tensor(1.6509, device='cuda:0')","tensor(-1.6800, device='cuda:0')"
"tensor(1.6266, device='cuda:0')","tensor(-1.6542, device='cuda:0')"
"tensor(1.4857, device='cuda:0')","tensor(-1.5042, device='cuda:0')"
"tensor(1.6678, device='cuda:0')","tensor(-1.6979, device='cuda:0')"
"tensor(1.5847, device='cuda:0')","tensor(-1.6100, device='cuda:0')"
"tensor(1.3950, device='cuda:0')","tensor(-1.4078, device='cuda:0')"
