"tensor(0.7017, device='cuda:0')","tensor(-0.8904, device='cuda:0')"
"tensor(0.5125, device='cuda:0')","tensor(-0.6756, device='cuda:0')"
"tensor(0.5900, device='cuda:0')","tensor(-0.7743, device='cuda:0')"
"tensor(0.5074, device='cuda:0')","tensor(-0.6751, device='cuda:0')"
"tensor(0.7023, device='cuda:0')","tensor(-0.9143, device='cuda:0')"
"tensor(0.5153, device='cuda:0')","tensor(-0.6873, device='cuda:0')"
"tensor(0.3748, device='cuda:0')","tensor(-0.5108, device='cuda:0')"
"tensor(0.9326, device='cuda:0')","tensor(-1.1944, device='cuda:0')"
"tensor(0.3389, device='cuda:0')","tensor(-0.4648, device='cuda:0')"
"tensor(0.5251, device='cuda:0')","tensor(-0.6895, device='cuda:0')"
"tensor(1.0381, device='cuda:0')","tensor(-1.3263, device='cuda:0')"
"tensor(1.0861, device='cuda:0')","tensor(-1.4176, device='cuda:0')"
"tensor(0.9275, device='cuda:0')","tensor(-1.1937, device='cuda:0')"
"tensor(1.3337, device='cuda:0')","tensor(-1.6881, device='cuda:0')"
"tensor(0.9879, device='cuda:0')","tensor(-1.2630, device='cuda:0')"
"tensor(0.7375, device='cuda:0')","tensor(-0.9550, device='cuda:0')"
"tensor(0.9089, device='cuda:0')","tensor(-1.1663, device='cuda:0')"
"tensor(1.1556, device='cuda:0')","tensor(-1.4703, device='cuda:0')"
"tensor(1.0388, device='cuda:0')","tensor(-1.3315, device='cuda:0')"
"tensor(1.0831, device='cuda:0')","tensor(-1.3817, device='cuda:0')"
"tensor(1.0594, device='cuda:0')","tensor(-1.3521, device='cuda:0')"
"tensor(0.7062, device='cuda:0')","tensor(-0.9042, device='cuda:0')"
"tensor(0.9258, device='cuda:0')","tensor(-1.1839, device='cuda:0')"
"tensor(1.0883, device='cuda:0')","tensor(-1.3882, device='cuda:0')"
"tensor(0.4883, device='cuda:0')","tensor(-0.6473, device='cuda:0')"
"tensor(0.1616, device='cuda:0')","tensor(-0.2476, device='cuda:0')"
"tensor(1.0432, device='cuda:0')","tensor(-1.3333, device='cuda:0')"
"tensor(1.0283, device='cuda:0')","tensor(-1.3130, device='cuda:0')"
"tensor(1.1379, device='cuda:0')","tensor(-1.4364, device='cuda:0')"
"tensor(1.0339, device='cuda:0')","tensor(-1.3233, device='cuda:0')"
"tensor(0.7437, device='cuda:0')","tensor(-0.9650, device='cuda:0')"
"tensor(1.0860, device='cuda:0')","tensor(-1.3879, device='cuda:0')"
"tensor(0.9441, device='cuda:0')","tensor(-1.2078, device='cuda:0')"
"tensor(1.1101, device='cuda:0')","tensor(-1.4222, device='cuda:0')"
"tensor(0.6042, device='cuda:0')","tensor(-0.7940, device='cuda:0')"
"tensor(1.1841, device='cuda:0')","tensor(-1.4998, device='cuda:0')"
"tensor(0.5277, device='cuda:0')","tensor(-0.6966, device='cuda:0')"
"tensor(-0.9709, device='cuda:0')","tensor(1.1287, device='cuda:0')"
"tensor(1.1417, device='cuda:0')","tensor(-1.4440, device='cuda:0')"
"tensor(0.9738, device='cuda:0')","tensor(-1.2464, device='cuda:0')"
"tensor(0.6992, device='cuda:0')","tensor(-0.9086, device='cuda:0')"
"tensor(0.8904, device='cuda:0')","tensor(-1.1439, device='cuda:0')"
"tensor(0.8681, device='cuda:0')","tensor(-1.1160, device='cuda:0')"
"tensor(1.1018, device='cuda:0')","tensor(-1.4130, device='cuda:0')"
"tensor(0.9028, device='cuda:0')","tensor(-1.1620, device='cuda:0')"
"tensor(0.8271, device='cuda:0')","tensor(-1.0621, device='cuda:0')"
"tensor(0.8850, device='cuda:0')","tensor(-1.1377, device='cuda:0')"
"tensor(1.1418, device='cuda:0')","tensor(-1.4563, device='cuda:0')"
"tensor(0.7054, device='cuda:0')","tensor(-0.9164, device='cuda:0')"
"tensor(0.7458, device='cuda:0')","tensor(-0.9656, device='cuda:0')"
"tensor(0.7821, device='cuda:0')","tensor(-1.0115, device='cuda:0')"
"tensor(1.0558, device='cuda:0')","tensor(-1.3520, device='cuda:0')"
"tensor(0.9548, device='cuda:0')","tensor(-1.2238, device='cuda:0')"
"tensor(0.2433, device='cuda:0')","tensor(-0.3465, device='cuda:0')"
"tensor(0.8284, device='cuda:0')","tensor(-1.0705, device='cuda:0')"
"tensor(0.8515, device='cuda:0')","tensor(-1.0976, device='cuda:0')"
"tensor(0.6779, device='cuda:0')","tensor(-0.8877, device='cuda:0')"
"tensor(0.9367, device='cuda:0')","tensor(-1.2043, device='cuda:0')"
"tensor(0.7149, device='cuda:0')","tensor(-0.9291, device='cuda:0')"
"tensor(0.9010, device='cuda:0')","tensor(-1.1641, device='cuda:0')"
"tensor(0.8408, device='cuda:0')","tensor(-1.0812, device='cuda:0')"
"tensor(0.6221, device='cuda:0')","tensor(-0.8126, device='cuda:0')"
"tensor(0.8121, device='cuda:0')","tensor(-1.0436, device='cuda:0')"
"tensor(0.8070, device='cuda:0')","tensor(-1.0394, device='cuda:0')"
"tensor(0.2522, device='cuda:0')","tensor(-0.3561, device='cuda:0')"
"tensor(1.0191, device='cuda:0')","tensor(-1.3036, device='cuda:0')"
"tensor(0.5966, device='cuda:0')","tensor(-0.7786, device='cuda:0')"
"tensor(1.1485, device='cuda:0')","tensor(-1.4963, device='cuda:0')"
"tensor(-2.0976, device='cuda:0')","tensor(2.5544, device='cuda:0')"
"tensor(1.1870, device='cuda:0')","tensor(-1.5026, device='cuda:0')"
"tensor(1.1260, device='cuda:0')","tensor(-1.4249, device='cuda:0')"
"tensor(0.9320, device='cuda:0')","tensor(-1.1921, device='cuda:0')"
"tensor(0.9638, device='cuda:0')","tensor(-1.2565, device='cuda:0')"
"tensor(0.9887, device='cuda:0')","tensor(-1.2788, device='cuda:0')"
"tensor(0.6822, device='cuda:0')","tensor(-0.8826, device='cuda:0')"
"tensor(0.5999, device='cuda:0')","tensor(-0.7852, device='cuda:0')"
"tensor(1.0285, device='cuda:0')","tensor(-1.3040, device='cuda:0')"
"tensor(0.5244, device='cuda:0')","tensor(-0.6945, device='cuda:0')"
"tensor(0.5792, device='cuda:0')","tensor(-0.7547, device='cuda:0')"
"tensor(0.3704, device='cuda:0')","tensor(-0.5071, device='cuda:0')"
"tensor(-2.9637, device='cuda:0')","tensor(3.6040, device='cuda:0')"
