"tensor(0.5333, device='cuda:0')","tensor(-0.7645, device='cuda:0')"
"tensor(0.4861, device='cuda:0')","tensor(-0.7087, device='cuda:0')"
"tensor(0.5000, device='cuda:0')","tensor(-0.7284, device='cuda:0')"
"tensor(0.4750, device='cuda:0')","tensor(-0.7108, device='cuda:0')"
"tensor(0.5472, device='cuda:0')","tensor(-0.7974, device='cuda:0')"
"tensor(0.4940, device='cuda:0')","tensor(-0.7222, device='cuda:0')"
"tensor(0.4317, device='cuda:0')","tensor(-0.6424, device='cuda:0')"
"tensor(0.6241, device='cuda:0')","tensor(-0.8949, device='cuda:0')"
"tensor(0.4200, device='cuda:0')","tensor(-0.6194, device='cuda:0')"
"tensor(0.5147, device='cuda:0')","tensor(-0.7500, device='cuda:0')"
"tensor(0.6489, device='cuda:0')","tensor(-0.9298, device='cuda:0')"
"tensor(0.6697, device='cuda:0')","tensor(-1.0873, device='cuda:0')"
"tensor(0.6120, device='cuda:0')","tensor(-0.8910, device='cuda:0')"
"tensor(0.6528, device='cuda:0')","tensor(-0.9394, device='cuda:0')"
"tensor(0.6389, device='cuda:0')","tensor(-0.9203, device='cuda:0')"
"tensor(0.5453, device='cuda:0')","tensor(-0.7878, device='cuda:0')"
"tensor(0.6169, device='cuda:0')","tensor(-0.8911, device='cuda:0')"
"tensor(0.6800, device='cuda:0')","tensor(-0.9837, device='cuda:0')"
"tensor(0.6305, device='cuda:0')","tensor(-0.9080, device='cuda:0')"
"tensor(0.6611, device='cuda:0')","tensor(-0.9468, device='cuda:0')"
"tensor(0.6522, device='cuda:0')","tensor(-0.9335, device='cuda:0')"
"tensor(0.5257, device='cuda:0')","tensor(-0.7595, device='cuda:0')"
"tensor(0.6194, device='cuda:0')","tensor(-0.8875, device='cuda:0')"
"tensor(0.6546, device='cuda:0')","tensor(-0.9394, device='cuda:0')"
"tensor(0.4776, device='cuda:0')","tensor(-0.6988, device='cuda:0')"
"tensor(0.3747, device='cuda:0')","tensor(-0.5632, device='cuda:0')"
"tensor(0.6425, device='cuda:0')","tensor(-0.9248, device='cuda:0')"
"tensor(0.6398, device='cuda:0')","tensor(-0.9196, device='cuda:0')"
"tensor(0.6455, device='cuda:0')","tensor(-0.9329, device='cuda:0')"
"tensor(0.6439, device='cuda:0')","tensor(-0.9312, device='cuda:0')"
"tensor(0.5513, device='cuda:0')","tensor(-0.8020, device='cuda:0')"
"tensor(0.6519, device='cuda:0')","tensor(-0.9516, device='cuda:0')"
"tensor(0.6286, device='cuda:0')","tensor(-0.9020, device='cuda:0')"
"tensor(0.6734, device='cuda:0')","tensor(-0.9675, device='cuda:0')"
"tensor(0.5089, device='cuda:0')","tensor(-0.7414, device='cuda:0')"
"tensor(0.6784, device='cuda:0')","tensor(-0.9669, device='cuda:0')"
"tensor(0.5067, device='cuda:0')","tensor(-0.7432, device='cuda:0')"
"tensor(0.0481, device='cuda:0')","tensor(-0.1451, device='cuda:0')"
"tensor(0.6532, device='cuda:0')","tensor(-0.9305, device='cuda:0')"
"tensor(0.6257, device='cuda:0')","tensor(-0.9038, device='cuda:0')"
"tensor(0.5294, device='cuda:0')","tensor(-0.7725, device='cuda:0')"
"tensor(0.6042, device='cuda:0')","tensor(-0.8693, device='cuda:0')"
"tensor(0.6087, device='cuda:0')","tensor(-0.8764, device='cuda:0')"
"tensor(0.6514, device='cuda:0')","tensor(-0.9427, device='cuda:0')"
"tensor(0.6162, device='cuda:0')","tensor(-0.8983, device='cuda:0')"
"tensor(0.6032, device='cuda:0')","tensor(-0.8699, device='cuda:0')"
"tensor(0.6043, device='cuda:0')","tensor(-0.8752, device='cuda:0')"
"tensor(0.6979, device='cuda:0')","tensor(-1.1117, device='cuda:0')"
"tensor(0.5471, device='cuda:0')","tensor(-0.7943, device='cuda:0')"
"tensor(0.5558, device='cuda:0')","tensor(-0.8075, device='cuda:0')"
"tensor(0.5568, device='cuda:0')","tensor(-0.8065, device='cuda:0')"
"tensor(0.6502, device='cuda:0')","tensor(-0.9383, device='cuda:0')"
"tensor(0.6139, device='cuda:0')","tensor(-0.8848, device='cuda:0')"
"tensor(0.3882, device='cuda:0')","tensor(-0.5734, device='cuda:0')"
"tensor(0.5760, device='cuda:0')","tensor(-0.8378, device='cuda:0')"
"tensor(0.5816, device='cuda:0')","tensor(-0.8443, device='cuda:0')"
"tensor(0.5271, device='cuda:0')","tensor(-0.7749, device='cuda:0')"
"tensor(0.6180, device='cuda:0')","tensor(-0.9044, device='cuda:0')"
"tensor(0.5359, device='cuda:0')","tensor(-0.7818, device='cuda:0')"
"tensor(0.6224, device='cuda:0')","tensor(-0.9097, device='cuda:0')"
"tensor(0.5831, device='cuda:0')","tensor(-0.8368, device='cuda:0')"
"tensor(0.5320, device='cuda:0')","tensor(-0.7798, device='cuda:0')"
"tensor(0.5997, device='cuda:0')","tensor(-0.8614, device='cuda:0')"
"tensor(0.5935, device='cuda:0')","tensor(-0.8591, device='cuda:0')"
"tensor(0.3856, device='cuda:0')","tensor(-0.5658, device='cuda:0')"
"tensor(0.6525, device='cuda:0')","tensor(-0.9433, device='cuda:0')"
"tensor(0.5295, device='cuda:0')","tensor(-0.7723, device='cuda:0')"
"tensor(0.7148, device='cuda:0')","tensor(-1.1878, device='cuda:0')"
"tensor(-0.4472, device='cuda:0')","tensor(0.5763, device='cuda:0')"
"tensor(0.6793, device='cuda:0')","tensor(-0.9664, device='cuda:0')"
"tensor(0.6513, device='cuda:0')","tensor(-0.9275, device='cuda:0')"
"tensor(0.6298, device='cuda:0')","tensor(-0.9043, device='cuda:0')"
"tensor(0.6201, device='cuda:0')","tensor(-0.9650, device='cuda:0')"
"tensor(0.6517, device='cuda:0')","tensor(-0.9591, device='cuda:0')"
"tensor(0.5609, device='cuda:0')","tensor(-0.8115, device='cuda:0')"
"tensor(0.4901, device='cuda:0')","tensor(-0.7142, device='cuda:0')"
"tensor(0.6403, device='cuda:0')","tensor(-0.9075, device='cuda:0')"
"tensor(0.4854, device='cuda:0')","tensor(-0.7100, device='cuda:0')"
"tensor(0.5346, device='cuda:0')","tensor(-0.7725, device='cuda:0')"
"tensor(0.4249, device='cuda:0')","tensor(-0.6285, device='cuda:0')"
"tensor(-0.9334, device='cuda:0')","tensor(1.1526, device='cuda:0')"
"tensor(-0.8594, device='cuda:0')","tensor(1.1547, device='cuda:0')"
"tensor(-0.8484, device='cuda:0')","tensor(1.2039, device='cuda:0')"
"tensor(-0.4463, device='cuda:0')","tensor(0.6216, device='cuda:0')"
"tensor(-0.8630, device='cuda:0')","tensor(1.1409, device='cuda:0')"
"tensor(-0.5020, device='cuda:0')","tensor(0.6817, device='cuda:0')"
