"tensor(3.8120, device='cuda:0')","tensor(-3.2156, device='cuda:0')","tensor(0.6057, device='cuda:0')"
"tensor(3.5093, device='cuda:0')","tensor(-1.8417, device='cuda:0')","tensor(-0.3043, device='cuda:0')"
"tensor(3.9756, device='cuda:0')","tensor(-3.3770, device='cuda:0')","tensor(0.7041, device='cuda:0')"
"tensor(4.0763, device='cuda:0')","tensor(-3.1859, device='cuda:0')","tensor(0.2532, device='cuda:0')"
"tensor(4.2479, device='cuda:0')","tensor(-2.3845, device='cuda:0')","tensor(-0.4793, device='cuda:0')"
"tensor(2.7739, device='cuda:0')","tensor(-2.7469, device='cuda:0')","tensor(0.5699, device='cuda:0')"
"tensor(4.0291, device='cuda:0')","tensor(-3.3325, device='cuda:0')","tensor(0.6754, device='cuda:0')"
"tensor(4.2964, device='cuda:0')","tensor(-3.2804, device='cuda:0')","tensor(0.3151, device='cuda:0')"
"tensor(4.3987, device='cuda:0')","tensor(-3.8605, device='cuda:0')","tensor(0.8016, device='cuda:0')"
"tensor(3.7123, device='cuda:0')","tensor(-4.0096, device='cuda:0')","tensor(1.1900, device='cuda:0')"
"tensor(4.6447, device='cuda:0')","tensor(-3.6779, device='cuda:0')","tensor(0.6501, device='cuda:0')"
"tensor(4.8065, device='cuda:0')","tensor(-3.2810, device='cuda:0')","tensor(-0.1093, device='cuda:0')"
"tensor(2.6180, device='cuda:0')","tensor(-2.6681, device='cuda:0')","tensor(0.6560, device='cuda:0')"
"tensor(4.1950, device='cuda:0')","tensor(-4.3230, device='cuda:0')","tensor(1.3881, device='cuda:0')"
"tensor(3.3469, device='cuda:0')","tensor(-2.7132, device='cuda:0')","tensor(0.5303, device='cuda:0')"
"tensor(1.0132, device='cuda:0')","tensor(-0.5472, device='cuda:0')","tensor(-0.2858, device='cuda:0')"
"tensor(3.2323, device='cuda:0')","tensor(-3.2816, device='cuda:0')","tensor(0.9957, device='cuda:0')"
"tensor(2.5634, device='cuda:0')","tensor(-1.5717, device='cuda:0')","tensor(-0.1068, device='cuda:0')"
"tensor(1.9252, device='cuda:0')","tensor(-3.0252, device='cuda:0')","tensor(1.4895, device='cuda:0')"
"tensor(3.0165, device='cuda:0')","tensor(-2.5369, device='cuda:0')","tensor(0.5115, device='cuda:0')"
"tensor(3.0607, device='cuda:0')","tensor(-2.6374, device='cuda:0')","tensor(0.6246, device='cuda:0')"
"tensor(3.7059, device='cuda:0')","tensor(-3.6517, device='cuda:0')","tensor(0.7795, device='cuda:0')"
"tensor(2.8285, device='cuda:0')","tensor(-3.7338, device='cuda:0')","tensor(1.7390, device='cuda:0')"
"tensor(3.1428, device='cuda:0')","tensor(-3.1638, device='cuda:0')","tensor(1.0698, device='cuda:0')"
