"tensor(0.2588, device='cuda:0')","tensor(-0.2389, device='cuda:0')","tensor(-0.0667, device='cuda:0')"
"tensor(0.9606, device='cuda:0')","tensor(-0.6006, device='cuda:0')","tensor(-0.4325, device='cuda:0')"
"tensor(0.1630, device='cuda:0')","tensor(-0.0662, device='cuda:0')","tensor(-0.1424, device='cuda:0')"
"tensor(-0.3237, device='cuda:0')","tensor(0.3077, device='cuda:0')","tensor(-0.0155, device='cuda:0')"
"tensor(0.3420, device='cuda:0')","tensor(-0.3088, device='cuda:0')","tensor(-0.0839, device='cuda:0')"
"tensor(0.1188, device='cuda:0')","tensor(-0.2043, device='cuda:0')","tensor(0.0458, device='cuda:0')"
"tensor(0.1182, device='cuda:0')","tensor(-0.1350, device='cuda:0')","tensor(-0.0280, device='cuda:0')"
"tensor(0.0474, device='cuda:0')","tensor(-0.1387, device='cuda:0')","tensor(0.0462, device='cuda:0')"
"tensor(0.4047, device='cuda:0')","tensor(-0.3034, device='cuda:0')","tensor(-0.1528, device='cuda:0')"
"tensor(0.3519, device='cuda:0')","tensor(-0.2736, device='cuda:0')","tensor(-0.1284, device='cuda:0')"
"tensor(-0.2443, device='cuda:0')","tensor(0.0362, device='cuda:0')","tensor(0.1726, device='cuda:0')"
"tensor(0.0569, device='cuda:0')","tensor(-0.1109, device='cuda:0')","tensor(0.0111, device='cuda:0')"
"tensor(-0.1031, device='cuda:0')","tensor(-0.1021, device='cuda:0')","tensor(0.1722, device='cuda:0')"
"tensor(0.1407, device='cuda:0')","tensor(-0.1538, device='cuda:0')","tensor(-0.0359, device='cuda:0')"
"tensor(0.2492, device='cuda:0')","tensor(-0.2818, device='cuda:0')","tensor(-0.0155, device='cuda:0')"
"tensor(0.5682, device='cuda:0')","tensor(-0.3154, device='cuda:0')","tensor(-0.3113, device='cuda:0')"
"tensor(0.1491, device='cuda:0')","tensor(-0.1435, device='cuda:0')","tensor(-0.0493, device='cuda:0')"
"tensor(-0.0153, device='cuda:0')","tensor(-0.0468, device='cuda:0')","tensor(0.0181, device='cuda:0')"
"tensor(0.2307, device='cuda:0')","tensor(-0.1759, device='cuda:0')","tensor(-0.1046, device='cuda:0')"
"tensor(-0.0908, device='cuda:0')","tensor(0.0178, device='cuda:0')","tensor(0.0305, device='cuda:0')"
"tensor(0.1892, device='cuda:0')","tensor(-0.0022, device='cuda:0')","tensor(-0.2319, device='cuda:0')"
"tensor(-0.2063, device='cuda:0')","tensor(0.1645, device='cuda:0')","tensor(0.0075, device='cuda:0')"
"tensor(0.1916, device='cuda:0')","tensor(-0.0592, device='cuda:0')","tensor(-0.1827, device='cuda:0')"
"tensor(0.1016, device='cuda:0')","tensor(-0.0464, device='cuda:0')","tensor(-0.1008, device='cuda:0')"
"tensor(-0.0835, device='cuda:0')","tensor(0.0254, device='cuda:0')","tensor(0.0211, device='cuda:0')"
"tensor(-0.4853, device='cuda:0')","tensor(0.3250, device='cuda:0')","tensor(0.1298, device='cuda:0')"
"tensor(-0.0119, device='cuda:0')","tensor(-0.0078, device='cuda:0')","tensor(-0.0229, device='cuda:0')"
"tensor(0.1039, device='cuda:0')","tensor(-0.1523, device='cuda:0')","tensor(0.0089, device='cuda:0')"
"tensor(0.0966, device='cuda:0')","tensor(-0.0309, device='cuda:0')","tensor(-0.1052, device='cuda:0')"
"tensor(0.1014, device='cuda:0')","tensor(-0.0703, device='cuda:0')","tensor(-0.0715, device='cuda:0')"
"tensor(-0.0077, device='cuda:0')","tensor(-0.0390, device='cuda:0')","tensor(0.0064, device='cuda:0')"
"tensor(-0.0813, device='cuda:0')","tensor(-0.0019, device='cuda:0')","tensor(0.0454, device='cuda:0')"
"tensor(0.0413, device='cuda:0')","tensor(-0.0958, device='cuda:0')","tensor(0.0086, device='cuda:0')"
"tensor(0.2770, device='cuda:0')","tensor(-0.1735, device='cuda:0')","tensor(-0.1512, device='cuda:0')"
"tensor(0.3742, device='cuda:0')","tensor(-0.0821, device='cuda:0')","tensor(-0.3444, device='cuda:0')"
"tensor(0.3396, device='cuda:0')","tensor(-0.0254, device='cuda:0')","tensor(-0.3647, device='cuda:0')"
"tensor(0.0503, device='cuda:0')","tensor(-0.0506, device='cuda:0')","tensor(-0.0396, device='cuda:0')"
"tensor(0.4377, device='cuda:0')","tensor(-0.2831, device='cuda:0')","tensor(-0.2111, device='cuda:0')"
"tensor(0.1513, device='cuda:0')","tensor(-0.1443, device='cuda:0')","tensor(-0.0523, device='cuda:0')"
"tensor(0.1509, device='cuda:0')","tensor(-0.1622, device='cuda:0')","tensor(-0.0380, device='cuda:0')"
"tensor(0.2534, device='cuda:0')","tensor(-0.1180, device='cuda:0')","tensor(-0.1808, device='cuda:0')"
"tensor(-0.0126, device='cuda:0')","tensor(-0.0164, device='cuda:0')","tensor(-0.0114, device='cuda:0')"
"tensor(0.1318, device='cuda:0')","tensor(-0.1184, device='cuda:0')","tensor(-0.0574, device='cuda:0')"
"tensor(-0.1247, device='cuda:0')","tensor(0.0378, device='cuda:0')","tensor(0.0536, device='cuda:0')"
"tensor(0.2709, device='cuda:0')","tensor(-0.1642, device='cuda:0')","tensor(-0.1553, device='cuda:0')"
"tensor(0.0637, device='cuda:0')","tensor(0.0265, device='cuda:0')","tensor(-0.1295, device='cuda:0')"
"tensor(0.2740, device='cuda:0')","tensor(-0.2117, device='cuda:0')","tensor(-0.1137, device='cuda:0')"
"tensor(0.2657, device='cuda:0')","tensor(-0.1688, device='cuda:0')","tensor(-0.1407, device='cuda:0')"
"tensor(-0.1402, device='cuda:0')","tensor(0.0628, device='cuda:0')","tensor(0.0430, device='cuda:0')"
"tensor(0.0661, device='cuda:0')","tensor(-0.1160, device='cuda:0')","tensor(0.0071, device='cuda:0')"
"tensor(0.2081, device='cuda:0')","tensor(-0.2270, device='cuda:0')","tensor(-0.0263, device='cuda:0')"
"tensor(-0.1408, device='cuda:0')","tensor(0.2368, device='cuda:0')","tensor(-0.1315, device='cuda:0')"
"tensor(-0.0559, device='cuda:0')","tensor(0.0119, device='cuda:0')","tensor(0.0051, device='cuda:0')"
"tensor(0.4656, device='cuda:0')","tensor(-0.3868, device='cuda:0')","tensor(-0.1384, device='cuda:0')"
"tensor(0.1297, device='cuda:0')","tensor(-0.1657, device='cuda:0')","tensor(-0.0062, device='cuda:0')"
"tensor(0.5881, device='cuda:0')","tensor(-0.3742, device='cuda:0')","tensor(-0.2733, device='cuda:0')"
"tensor(0.1448, device='cuda:0')","tensor(-0.0800, device='cuda:0')","tensor(-0.1125, device='cuda:0')"
"tensor(0.0524, device='cuda:0')","tensor(0.0971, device='cuda:0')","tensor(-0.1916, device='cuda:0')"
"tensor(0.1227, device='cuda:0')","tensor(-0.0950, device='cuda:0')","tensor(-0.0739, device='cuda:0')"
"tensor(-0.0205, device='cuda:0')","tensor(-0.0674, device='cuda:0')","tensor(0.0440, device='cuda:0')"
"tensor(-0.2038, device='cuda:0')","tensor(0.1307, device='cuda:0')","tensor(0.0381, device='cuda:0')"
"tensor(0.1779, device='cuda:0')","tensor(-0.1873, device='cuda:0')","tensor(-0.0350, device='cuda:0')"
"tensor(0.0724, device='cuda:0')","tensor(-0.1218, device='cuda:0')","tensor(0.0106, device='cuda:0')"
"tensor(-0.1583, device='cuda:0')","tensor(-0.0591, device='cuda:0')","tensor(0.1864, device='cuda:0')"
"tensor(0.3521, device='cuda:0')","tensor(-0.3289, device='cuda:0')","tensor(-0.0740, device='cuda:0')"
"tensor(-0.0084, device='cuda:0')","tensor(-0.0613, device='cuda:0')","tensor(0.0319, device='cuda:0')"
"tensor(0.4091, device='cuda:0')","tensor(-0.2794, device='cuda:0')","tensor(-0.1832, device='cuda:0')"
"tensor(-0.1241, device='cuda:0')","tensor(0.0425, device='cuda:0')","tensor(0.0470, device='cuda:0')"
"tensor(0.1610, device='cuda:0')","tensor(-0.0822, device='cuda:0')","tensor(-0.1249, device='cuda:0')"
"tensor(0.5909, device='cuda:0')","tensor(-0.3994, device='cuda:0')","tensor(-0.2529, device='cuda:0')"
"tensor(0.2665, device='cuda:0')","tensor(-0.2458, device='cuda:0')","tensor(-0.0655, device='cuda:0')"
"tensor(0.2067, device='cuda:0')","tensor(-0.1383, device='cuda:0')","tensor(-0.1141, device='cuda:0')"
"tensor(0.3060, device='cuda:0')","tensor(-0.2136, device='cuda:0')","tensor(-0.1398, device='cuda:0')"
"tensor(-0.0022, device='cuda:0')","tensor(-0.0344, device='cuda:0')","tensor(-0.0073, device='cuda:0')"
"tensor(0.1233, device='cuda:0')","tensor(-0.0485, device='cuda:0')","tensor(-0.1266, device='cuda:0')"
"tensor(0.1644, device='cuda:0')","tensor(-0.1611, device='cuda:0')","tensor(-0.0466, device='cuda:0')"
"tensor(0.7103, device='cuda:0')","tensor(-0.4497, device='cuda:0')","tensor(-0.3195, device='cuda:0')"
"tensor(0.2828, device='cuda:0')","tensor(-0.1861, device='cuda:0')","tensor(-0.1457, device='cuda:0')"
"tensor(0.2807, device='cuda:0')","tensor(-0.2414, device='cuda:0')","tensor(-0.0889, device='cuda:0')"
"tensor(0.0383, device='cuda:0')","tensor(-0.0736, device='cuda:0')","tensor(-0.0120, device='cuda:0')"
"tensor(0.1796, device='cuda:0')","tensor(-0.1423, device='cuda:0')","tensor(-0.0827, device='cuda:0')"
"tensor(0.1867, device='cuda:0')","tensor(-0.1408, device='cuda:0')","tensor(-0.0857, device='cuda:0')"
"tensor(0.5134, device='cuda:0')","tensor(-0.3321, device='cuda:0')","tensor(-0.2295, device='cuda:0')"
"tensor(0.2411, device='cuda:0')","tensor(-0.1426, device='cuda:0')","tensor(-0.1488, device='cuda:0')"
"tensor(0.1624, device='cuda:0')","tensor(-0.1399, device='cuda:0')","tensor(-0.0657, device='cuda:0')"
"tensor(-0.0670, device='cuda:0')","tensor(0.0932, device='cuda:0')","tensor(-0.0682, device='cuda:0')"
"tensor(-0.1321, device='cuda:0')","tensor(-0.1152, device='cuda:0')","tensor(0.2104, device='cuda:0')"
"tensor(0.1853, device='cuda:0')","tensor(-0.1213, device='cuda:0')","tensor(-0.1107, device='cuda:0')"
"tensor(0.4544, device='cuda:0')","tensor(-0.2227, device='cuda:0')","tensor(-0.2863, device='cuda:0')"
"tensor(0.3857, device='cuda:0')","tensor(-0.3021, device='cuda:0')","tensor(-0.1355, device='cuda:0')"
"tensor(0.0360, device='cuda:0')","tensor(-0.0856, device='cuda:0')","tensor(0.0114, device='cuda:0')"
"tensor(0.4754, device='cuda:0')","tensor(-0.2751, device='cuda:0')","tensor(-0.2589, device='cuda:0')"
"tensor(-0.0898, device='cuda:0')","tensor(-0.0142, device='cuda:0')","tensor(0.0667, device='cuda:0')"
"tensor(0.3307, device='cuda:0')","tensor(-0.2514, device='cuda:0')","tensor(-0.1293, device='cuda:0')"
"tensor(-0.1414, device='cuda:0')","tensor(0.0984, device='cuda:0')","tensor(0.0077, device='cuda:0')"
"tensor(-0.1704, device='cuda:0')","tensor(-0.0855, device='cuda:0')","tensor(0.2252, device='cuda:0')"
"tensor(0.2864, device='cuda:0')","tensor(-0.2846, device='cuda:0')","tensor(-0.0484, device='cuda:0')"
"tensor(-0.0829, device='cuda:0')","tensor(-0.0099, device='cuda:0')","tensor(0.0538, device='cuda:0')"
"tensor(-0.3564, device='cuda:0')","tensor(0.2623, device='cuda:0')","tensor(0.0621, device='cuda:0')"
"tensor(0.2987, device='cuda:0')","tensor(-0.1265, device='cuda:0')","tensor(-0.2196, device='cuda:0')"
"tensor(0.0383, device='cuda:0')","tensor(-0.0696, device='cuda:0')","tensor(-0.0109, device='cuda:0')"
"tensor(0.0265, device='cuda:0')","tensor(-0.0435, device='cuda:0')","tensor(-0.0250, device='cuda:0')"
"tensor(-0.0434, device='cuda:0')","tensor(-0.0684, device='cuda:0')","tensor(0.0771, device='cuda:0')"
"tensor(0.6400, device='cuda:0')","tensor(-0.6071, device='cuda:0')","tensor(-0.0935, device='cuda:0')"
"tensor(-0.1541, device='cuda:0')","tensor(0.1501, device='cuda:0')","tensor(-0.0349, device='cuda:0')"
"tensor(0.1138, device='cuda:0')","tensor(-0.1848, device='cuda:0')","tensor(0.0249, device='cuda:0')"
"tensor(0.2602, device='cuda:0')","tensor(-0.2931, device='cuda:0')","tensor(-0.0159, device='cuda:0')"
"tensor(0.6005, device='cuda:0')","tensor(-0.3619, device='cuda:0')","tensor(-0.2978, device='cuda:0')"
"tensor(0.5459, device='cuda:0')","tensor(-0.3711, device='cuda:0')","tensor(-0.2313, device='cuda:0')"
"tensor(-0.0710, device='cuda:0')","tensor(0.0998, device='cuda:0')","tensor(-0.0673, device='cuda:0')"
"tensor(-0.1412, device='cuda:0')","tensor(0.0537, device='cuda:0')","tensor(0.0534, device='cuda:0')"
"tensor(0.2874, device='cuda:0')","tensor(-0.1851, device='cuda:0')","tensor(-0.1500, device='cuda:0')"
"tensor(-0.1813, device='cuda:0')","tensor(0.1312, device='cuda:0')","tensor(0.0115, device='cuda:0')"
"tensor(0.3925, device='cuda:0')","tensor(-0.3514, device='cuda:0')","tensor(-0.0902, device='cuda:0')"
"tensor(0.1288, device='cuda:0')","tensor(-0.1324, device='cuda:0')","tensor(-0.0445, device='cuda:0')"
"tensor(0.2769, device='cuda:0')","tensor(-0.2189, device='cuda:0')","tensor(-0.1066, device='cuda:0')"
"tensor(0.2588, device='cuda:0')","tensor(-0.2389, device='cuda:0')","tensor(-0.0667, device='cuda:0')"
"tensor(0.1497, device='cuda:0')","tensor(-0.1396, device='cuda:0')","tensor(-0.0538, device='cuda:0')"
"tensor(0.1068, device='cuda:0')","tensor(-0.0618, device='cuda:0')","tensor(-0.0864, device='cuda:0')"
"tensor(0.1873, device='cuda:0')","tensor(-0.1675, device='cuda:0')","tensor(-0.0700, device='cuda:0')"
"tensor(0.2193, device='cuda:0')","tensor(-0.2539, device='cuda:0')","tensor(-0.0115, device='cuda:0')"
"tensor(-0.0536, device='cuda:0')","tensor(-0.0252, device='cuda:0')","tensor(0.0382, device='cuda:0')"
"tensor(0.3466, device='cuda:0')","tensor(-0.3437, device='cuda:0')","tensor(-0.0540, device='cuda:0')"
"tensor(0.4734, device='cuda:0')","tensor(-0.3175, device='cuda:0')","tensor(-0.2135, device='cuda:0')"
"tensor(-0.4004, device='cuda:0')","tensor(0.0525, device='cuda:0')","tensor(0.3225, device='cuda:0')"
"tensor(0.2161, device='cuda:0')","tensor(-0.2084, device='cuda:0')","tensor(-0.0549, device='cuda:0')"
"tensor(-0.0654, device='cuda:0')","tensor(-0.0940, device='cuda:0')","tensor(0.1209, device='cuda:0')"
"tensor(0.1748, device='cuda:0')","tensor(-0.1031, device='cuda:0')","tensor(-0.1187, device='cuda:0')"
"tensor(-0.0014, device='cuda:0')","tensor(0.1716, device='cuda:0')","tensor(-0.2173, device='cuda:0')"
"tensor(0.1095, device='cuda:0')","tensor(-0.2291, device='cuda:0')","tensor(0.0724, device='cuda:0')"
"tensor(0.0920, device='cuda:0')","tensor(-0.1949, device='cuda:0')","tensor(0.0660, device='cuda:0')"
"tensor(0.0558, device='cuda:0')","tensor(-0.0293, device='cuda:0')","tensor(-0.0679, device='cuda:0')"
"tensor(0.2301, device='cuda:0')","tensor(-0.1159, device='cuda:0')","tensor(-0.1508, device='cuda:0')"
"tensor(0.0654, device='cuda:0')","tensor(-0.1363, device='cuda:0')","tensor(0.0327, device='cuda:0')"
"tensor(-0.2112, device='cuda:0')","tensor(0.0959, device='cuda:0')","tensor(0.0833, device='cuda:0')"
"tensor(-0.0600, device='cuda:0')","tensor(0.0791, device='cuda:0')","tensor(-0.0525, device='cuda:0')"
"tensor(0.1706, device='cuda:0')","tensor(-0.2692, device='cuda:0')","tensor(0.0513, device='cuda:0')"
"tensor(0.2074, device='cuda:0')","tensor(-0.1513, device='cuda:0')","tensor(-0.0979, device='cuda:0')"
"tensor(0.1103, device='cuda:0')","tensor(-0.1310, device='cuda:0')","tensor(-0.0267, device='cuda:0')"
"tensor(0.1235, device='cuda:0')","tensor(-0.1797, device='cuda:0')","tensor(0.0135, device='cuda:0')"
"tensor(0.1122, device='cuda:0')","tensor(-0.1183, device='cuda:0')","tensor(-0.0373, device='cuda:0')"
"tensor(0.3837, device='cuda:0')","tensor(-0.2713, device='cuda:0')","tensor(-0.1666, device='cuda:0')"
