"tensor(3.6345, device='cuda:0')","tensor(-3.4260, device='cuda:0')","tensor(-0.8172, device='cuda:0')"
"tensor(2.7629, device='cuda:0')","tensor(-3.0098, device='cuda:0')","tensor(-0.5832, device='cuda:0')"
"tensor(4.4072, device='cuda:0')","tensor(-3.9924, device='cuda:0')","tensor(-0.9434, device='cuda:0')"
"tensor(4.4886, device='cuda:0')","tensor(-3.7224, device='cuda:0')","tensor(-1.6623, device='cuda:0')"
"tensor(3.8302, device='cuda:0')","tensor(-2.5797, device='cuda:0')","tensor(-1.7975, device='cuda:0')"
"tensor(2.5123, device='cuda:0')","tensor(-1.5892, device='cuda:0')","tensor(-0.7685, device='cuda:0')"
"tensor(4.2383, device='cuda:0')","tensor(-3.9541, device='cuda:0')","tensor(-0.9891, device='cuda:0')"
"tensor(3.9874, device='cuda:0')","tensor(-3.2362, device='cuda:0')","tensor(-1.0963, device='cuda:0')"
"tensor(3.8590, device='cuda:0')","tensor(-3.5815, device='cuda:0')","tensor(-0.6274, device='cuda:0')"
"tensor(3.9990, device='cuda:0')","tensor(-3.8433, device='cuda:0')","tensor(-0.3799, device='cuda:0')"
"tensor(4.7274, device='cuda:0')","tensor(-4.6355, device='cuda:0')","tensor(-1.0688, device='cuda:0')"
"tensor(4.2066, device='cuda:0')","tensor(-3.0115, device='cuda:0')","tensor(-1.5246, device='cuda:0')"
"tensor(2.8009, device='cuda:0')","tensor(-2.8827, device='cuda:0')","tensor(-0.1414, device='cuda:0')"
"tensor(4.2566, device='cuda:0')","tensor(-3.9673, device='cuda:0')","tensor(-0.7390, device='cuda:0')"
"tensor(2.6774, device='cuda:0')","tensor(-3.2477, device='cuda:0')","tensor(0.1628, device='cuda:0')"
"tensor(1.0327, device='cuda:0')","tensor(-1.0989, device='cuda:0')","tensor(-0.2509, device='cuda:0')"
"tensor(3.0997, device='cuda:0')","tensor(-3.4210, device='cuda:0')","tensor(-0.0794, device='cuda:0')"
"tensor(2.3928, device='cuda:0')","tensor(-1.9563, device='cuda:0')","tensor(-1.3185, device='cuda:0')"
"tensor(1.8662, device='cuda:0')","tensor(-3.4471, device='cuda:0')","tensor(1.3744, device='cuda:0')"
"tensor(2.3020, device='cuda:0')","tensor(-2.7027, device='cuda:0')","tensor(0.2303, device='cuda:0')"
"tensor(2.1710, device='cuda:0')","tensor(-3.0923, device='cuda:0')","tensor(0.4533, device='cuda:0')"
"tensor(3.9467, device='cuda:0')","tensor(-3.7556, device='cuda:0')","tensor(-0.1117, device='cuda:0')"
"tensor(3.0448, device='cuda:0')","tensor(-4.0006, device='cuda:0')","tensor(0.6761, device='cuda:0')"
"tensor(2.6670, device='cuda:0')","tensor(-3.4328, device='cuda:0')","tensor(0.3832, device='cuda:0')"
"tensor(3.5060, device='cuda:0')","tensor(-3.5218, device='cuda:0')","tensor(-0.5366, device='cuda:0')"
"tensor(4.4716, device='cuda:0')","tensor(-4.0642, device='cuda:0')","tensor(-0.7383, device='cuda:0')"
"tensor(3.1359, device='cuda:0')","tensor(-3.4059, device='cuda:0')","tensor(-0.2771, device='cuda:0')"
"tensor(3.4195, device='cuda:0')","tensor(-3.4020, device='cuda:0')","tensor(-0.4408, device='cuda:0')"
"tensor(4.1405, device='cuda:0')","tensor(-3.9541, device='cuda:0')","tensor(-0.4935, device='cuda:0')"
"tensor(4.0166, device='cuda:0')","tensor(-3.1526, device='cuda:0')","tensor(-1.4738, device='cuda:0')"
"tensor(3.1631, device='cuda:0')","tensor(-3.7792, device='cuda:0')","tensor(0.0633, device='cuda:0')"
"tensor(3.4883, device='cuda:0')","tensor(-3.5746, device='cuda:0')","tensor(-0.4632, device='cuda:0')"
"tensor(5.2805, device='cuda:0')","tensor(-4.8175, device='cuda:0')","tensor(-1.0645, device='cuda:0')"
"tensor(-1.1329, device='cuda:0')","tensor(-0.9111, device='cuda:0')","tensor(1.4714, device='cuda:0')"
"tensor(0.8656, device='cuda:0')","tensor(-3.6311, device='cuda:0')","tensor(2.0190, device='cuda:0')"
"tensor(3.2992, device='cuda:0')","tensor(-3.4935, device='cuda:0')","tensor(-0.5049, device='cuda:0')"
"tensor(4.2498, device='cuda:0')","tensor(-4.1375, device='cuda:0')","tensor(-0.2832, device='cuda:0')"
"tensor(3.2946, device='cuda:0')","tensor(-3.3807, device='cuda:0')","tensor(-0.4154, device='cuda:0')"
"tensor(3.4112, device='cuda:0')","tensor(-3.4210, device='cuda:0')","tensor(-0.1640, device='cuda:0')"
"tensor(2.7014, device='cuda:0')","tensor(-3.4803, device='cuda:0')","tensor(0.4242, device='cuda:0')"
"tensor(1.9240, device='cuda:0')","tensor(-2.2805, device='cuda:0')","tensor(-0.2986, device='cuda:0')"
"tensor(3.0123, device='cuda:0')","tensor(-3.5438, device='cuda:0')","tensor(-0.0128, device='cuda:0')"
"tensor(2.9830, device='cuda:0')","tensor(-2.0801, device='cuda:0')","tensor(-0.9641, device='cuda:0')"
"tensor(2.5260, device='cuda:0')","tensor(-2.8076, device='cuda:0')","tensor(-0.2463, device='cuda:0')"
