"tensor(1.1036, device='cuda:0')","tensor(-1.3055, device='cuda:0')","tensor(0.5149, device='cuda:0')"
"tensor(1.9667, device='cuda:0')","tensor(-1.8206, device='cuda:0')","tensor(0.4219, device='cuda:0')"
"tensor(0.3464, device='cuda:0')","tensor(-0.4456, device='cuda:0')","tensor(0.1887, device='cuda:0')"
"tensor(-0.1925, device='cuda:0')","tensor(0.2394, device='cuda:0')","tensor(-0.1836, device='cuda:0')"
"tensor(1.0037, device='cuda:0')","tensor(-1.2632, device='cuda:0')","tensor(0.4985, device='cuda:0')"
"tensor(0.8557, device='cuda:0')","tensor(-1.4297, device='cuda:0')","tensor(0.8866, device='cuda:0')"
"tensor(0.9795, device='cuda:0')","tensor(-1.0940, device='cuda:0')","tensor(0.4036, device='cuda:0')"
"tensor(0.6938, device='cuda:0')","tensor(-0.9992, device='cuda:0')","tensor(0.5128, device='cuda:0')"
"tensor(2.0489, device='cuda:0')","tensor(-2.0926, device='cuda:0')","tensor(0.6405, device='cuda:0')"
"tensor(1.9287, device='cuda:0')","tensor(-2.0714, device='cuda:0')","tensor(0.6834, device='cuda:0')"
"tensor(0.0983, device='cuda:0')","tensor(-0.4570, device='cuda:0')","tensor(0.4093, device='cuda:0')"
"tensor(0.7751, device='cuda:0')","tensor(-1.2321, device='cuda:0')","tensor(0.6785, device='cuda:0')"
"tensor(0.3907, device='cuda:0')","tensor(-1.0935, device='cuda:0')","tensor(0.8605, device='cuda:0')"
"tensor(1.1814, device='cuda:0')","tensor(-1.2738, device='cuda:0')","tensor(0.4295, device='cuda:0')"
"tensor(0.9967, device='cuda:0')","tensor(-1.6064, device='cuda:0')","tensor(0.9050, device='cuda:0')"
"tensor(1.0668, device='cuda:0')","tensor(-0.9927, device='cuda:0')","tensor(0.2029, device='cuda:0')"
"tensor(1.0718, device='cuda:0')","tensor(-1.3975, device='cuda:0')","tensor(0.6683, device='cuda:0')"
"tensor(0.2807, device='cuda:0')","tensor(-0.4469, device='cuda:0')","tensor(0.2275, device='cuda:0')"
"tensor(0.9247, device='cuda:0')","tensor(-1.1146, device='cuda:0')","tensor(0.4392, device='cuda:0')"
"tensor(-0.1938, device='cuda:0')","tensor(0.3164, device='cuda:0')","tensor(-0.2404, device='cuda:0')"
"tensor(0.2045, device='cuda:0')","tensor(0.1265, device='cuda:0')","tensor(-0.3204, device='cuda:0')"
"tensor(-0.8946, device='cuda:0')","tensor(1.2198, device='cuda:0')","tensor(-0.8586, device='cuda:0')"
"tensor(0.4452, device='cuda:0')","tensor(-0.4073, device='cuda:0')","tensor(0.0407, device='cuda:0')"
"tensor(0.4219, device='cuda:0')","tensor(-0.2492, device='cuda:0')","tensor(-0.0885, device='cuda:0')"
"tensor(0.6811, device='cuda:0')","tensor(-1.1253, device='cuda:0')","tensor(0.6429, device='cuda:0')"
"tensor(-1.5980, device='cuda:0')","tensor(2.0135, device='cuda:0')","tensor(-1.0650, device='cuda:0')"
"tensor(-0.4621, device='cuda:0')","tensor(0.7559, device='cuda:0')","tensor(-0.5073, device='cuda:0')"
"tensor(0.1195, device='cuda:0')","tensor(-0.3266, device='cuda:0')","tensor(0.2090, device='cuda:0')"
"tensor(0.8068, device='cuda:0')","tensor(-1.0646, device='cuda:0')","tensor(0.4827, device='cuda:0')"
"tensor(0.5532, device='cuda:0')","tensor(-0.6589, device='cuda:0')","tensor(0.2663, device='cuda:0')"
"tensor(0.7105, device='cuda:0')","tensor(-1.1896, device='cuda:0')","tensor(0.6852, device='cuda:0')"
"tensor(0.3806, device='cuda:0')","tensor(-0.6110, device='cuda:0')","tensor(0.3493, device='cuda:0')"
"tensor(0.4896, device='cuda:0')","tensor(-0.8763, device='cuda:0')","tensor(0.5332, device='cuda:0')"
"tensor(1.0207, device='cuda:0')","tensor(-1.1070, device='cuda:0')","tensor(0.3433, device='cuda:0')"
"tensor(0.6165, device='cuda:0')","tensor(-0.2508, device='cuda:0')","tensor(-0.3061, device='cuda:0')"
"tensor(0.0326, device='cuda:0')","tensor(0.5855, device='cuda:0')","tensor(-0.7467, device='cuda:0')"
"tensor(0.4857, device='cuda:0')","tensor(-0.7677, device='cuda:0')","tensor(0.4184, device='cuda:0')"
"tensor(1.4573, device='cuda:0')","tensor(-1.4958, device='cuda:0')","tensor(0.4329, device='cuda:0')"
"tensor(0.6398, device='cuda:0')","tensor(-0.8964, device='cuda:0')","tensor(0.4500, device='cuda:0')"
"tensor(1.0489, device='cuda:0')","tensor(-1.4213, device='cuda:0')","tensor(0.7037, device='cuda:0')"
"tensor(0.8464, device='cuda:0')","tensor(-0.8982, device='cuda:0')","tensor(0.2460, device='cuda:0')"
"tensor(0.2337, device='cuda:0')","tensor(-0.5699, device='cuda:0')","tensor(0.4053, device='cuda:0')"
"tensor(0.2174, device='cuda:0')","tensor(-0.2606, device='cuda:0')","tensor(0.0366, device='cuda:0')"
"tensor(-0.1828, device='cuda:0')","tensor(0.1034, device='cuda:0')","tensor(0.0133, device='cuda:0')"
"tensor(0.7408, device='cuda:0')","tensor(-0.6827, device='cuda:0')","tensor(0.1283, device='cuda:0')"
"tensor(-0.3555, device='cuda:0')","tensor(0.7585, device='cuda:0')","tensor(-0.6384, device='cuda:0')"
"tensor(0.6603, device='cuda:0')","tensor(-0.8105, device='cuda:0')","tensor(0.3348, device='cuda:0')"
"tensor(1.0160, device='cuda:0')","tensor(-1.1220, device='cuda:0')","tensor(0.4025, device='cuda:0')"
"tensor(0.0031, device='cuda:0')","tensor(-0.2751, device='cuda:0')","tensor(0.1840, device='cuda:0')"
"tensor(0.7792, device='cuda:0')","tensor(-1.1749, device='cuda:0')","tensor(0.5985, device='cuda:0')"
"tensor(2.0993, device='cuda:0')","tensor(-2.8875, device='cuda:0')","tensor(1.3881, device='cuda:0')"
"tensor(-1.3238, device='cuda:0')","tensor(2.0968, device='cuda:0')","tensor(-1.3739, device='cuda:0')"
"tensor(0.0366, device='cuda:0')","tensor(-0.1696, device='cuda:0')","tensor(0.0919, device='cuda:0')"
"tensor(1.6847, device='cuda:0')","tensor(-2.4973, device='cuda:0')","tensor(1.3472, device='cuda:0')"
"tensor(0.5482, device='cuda:0')","tensor(-0.9160, device='cuda:0')","tensor(0.4813, device='cuda:0')"
"tensor(1.6375, device='cuda:0')","tensor(-1.5319, device='cuda:0')","tensor(0.3377, device='cuda:0')"
"tensor(0.7520, device='cuda:0')","tensor(-0.7993, device='cuda:0')","tensor(0.2300, device='cuda:0')"
"tensor(-0.3128, device='cuda:0')","tensor(1.0531, device='cuda:0')","tensor(-1.0050, device='cuda:0')"
"tensor(0.7917, device='cuda:0')","tensor(-0.9256, device='cuda:0')","tensor(0.3508, device='cuda:0')"
"tensor(0.2800, device='cuda:0')","tensor(-0.6710, device='cuda:0')","tensor(0.4695, device='cuda:0')"
"tensor(-0.7004, device='cuda:0')","tensor(0.9564, device='cuda:0')","tensor(-0.5925, device='cuda:0')"
"tensor(0.8662, device='cuda:0')","tensor(-1.2596, device='cuda:0')","tensor(0.6351, device='cuda:0')"
"tensor(0.2461, device='cuda:0')","tensor(-0.4751, device='cuda:0')","tensor(0.2462, device='cuda:0')"
"tensor(0.4533, device='cuda:0')","tensor(-1.0560, device='cuda:0')","tensor(0.7839, device='cuda:0')"
"tensor(1.5056, device='cuda:0')","tensor(-1.9117, device='cuda:0')","tensor(0.8220, device='cuda:0')"
"tensor(0.1539, device='cuda:0')","tensor(-0.4099, device='cuda:0')","tensor(0.2857, device='cuda:0')"
"tensor(1.3517, device='cuda:0')","tensor(-1.4995, device='cuda:0')","tensor(0.5163, device='cuda:0')"
"tensor(-0.1140, device='cuda:0')","tensor(-0.0417, device='cuda:0')","tensor(0.1095, device='cuda:0')"
"tensor(0.4288, device='cuda:0')","tensor(-0.5032, device='cuda:0')","tensor(0.2102, device='cuda:0')"
