"tensor(3.2402, device='cuda:0')","tensor(-2.1888, device='cuda:0')","tensor(-2.0661, device='cuda:0')"
"tensor(2.1454, device='cuda:0')","tensor(-1.0622, device='cuda:0')","tensor(-1.7101, device='cuda:0')"
"tensor(4.0511, device='cuda:0')","tensor(-3.2883, device='cuda:0')","tensor(-2.0546, device='cuda:0')"
"tensor(5.0563, device='cuda:0')","tensor(-3.8827, device='cuda:0')","tensor(-2.9053, device='cuda:0')"
"tensor(3.8114, device='cuda:0')","tensor(-1.9593, device='cuda:0')","tensor(-3.0069, device='cuda:0')"
"tensor(2.5367, device='cuda:0')","tensor(-1.3212, device='cuda:0')","tensor(-2.0296, device='cuda:0')"
"tensor(4.5567, device='cuda:0')","tensor(-3.5532, device='cuda:0')","tensor(-2.4634, device='cuda:0')"
"tensor(4.0613, device='cuda:0')","tensor(-2.9359, device='cuda:0')","tensor(-2.4120, device='cuda:0')"
"tensor(3.7087, device='cuda:0')","tensor(-2.7063, device='cuda:0')","tensor(-2.0980, device='cuda:0')"
"tensor(3.3278, device='cuda:0')","tensor(-2.9790, device='cuda:0')","tensor(-1.3997, device='cuda:0')"
"tensor(5.1630, device='cuda:0')","tensor(-3.3808, device='cuda:0')","tensor(-3.4283, device='cuda:0')"
"tensor(4.2345, device='cuda:0')","tensor(-2.7441, device='cuda:0')","tensor(-2.8271, device='cuda:0')"
"tensor(2.0540, device='cuda:0')","tensor(-2.5008, device='cuda:0')","tensor(-0.4733, device='cuda:0')"
"tensor(4.0997, device='cuda:0')","tensor(-3.4813, device='cuda:0')","tensor(-1.9509, device='cuda:0')"
"tensor(2.3386, device='cuda:0')","tensor(-2.7465, device='cuda:0')","tensor(-0.3905, device='cuda:0')"
"tensor(1.3113, device='cuda:0')","tensor(0.3380, device='cuda:0')","tensor(-1.9850, device='cuda:0')"
"tensor(2.9072, device='cuda:0')","tensor(-2.9508, device='cuda:0')","tensor(-0.9755, device='cuda:0')"
"tensor(2.9514, device='cuda:0')","tensor(-1.7777, device='cuda:0')","tensor(-2.1927, device='cuda:0')"
"tensor(0.8982, device='cuda:0')","tensor(-1.8783, device='cuda:0')","tensor(0.3525, device='cuda:0')"
"tensor(1.2733, device='cuda:0')","tensor(-2.2916, device='cuda:0')","tensor(0.4158, device='cuda:0')"
"tensor(1.8228, device='cuda:0')","tensor(-2.4027, device='cuda:0')","tensor(-0.1269, device='cuda:0')"
"tensor(2.9797, device='cuda:0')","tensor(-3.1292, device='cuda:0')","tensor(-0.8929, device='cuda:0')"
"tensor(3.1014, device='cuda:0')","tensor(-3.5299, device='cuda:0')","tensor(-0.6833, device='cuda:0')"
"tensor(3.4171, device='cuda:0')","tensor(-3.1676, device='cuda:0')","tensor(-1.3720, device='cuda:0')"
"tensor(4.2471, device='cuda:0')","tensor(-3.4813, device='cuda:0')","tensor(-2.1165, device='cuda:0')"
"tensor(4.4709, device='cuda:0')","tensor(-3.5150, device='cuda:0')","tensor(-2.3605, device='cuda:0')"
"tensor(3.3260, device='cuda:0')","tensor(-3.1870, device='cuda:0')","tensor(-1.2414, device='cuda:0')"
"tensor(3.0908, device='cuda:0')","tensor(-2.9944, device='cuda:0')","tensor(-1.1015, device='cuda:0')"
"tensor(4.4723, device='cuda:0')","tensor(-3.9363, device='cuda:0')","tensor(-2.0396, device='cuda:0')"
"tensor(4.3833, device='cuda:0')","tensor(-2.8044, device='cuda:0')","tensor(-2.9617, device='cuda:0')"
"tensor(3.2838, device='cuda:0')","tensor(-3.5048, device='cuda:0')","tensor(-0.8653, device='cuda:0')"
"tensor(3.9314, device='cuda:0')","tensor(-3.4123, device='cuda:0')","tensor(-1.8128, device='cuda:0')"
"tensor(5.2398, device='cuda:0')","tensor(-4.5822, device='cuda:0')","tensor(-2.4065, device='cuda:0')"
"tensor(-1.4605, device='cuda:0')","tensor(-0.2216, device='cuda:0')","tensor(1.4405, device='cuda:0')"
"tensor(-0.1747, device='cuda:0')","tensor(-2.9706, device='cuda:0')","tensor(2.3202, device='cuda:0')"
"tensor(3.3620, device='cuda:0')","tensor(-2.7260, device='cuda:0')","tensor(-1.6811, device='cuda:0')"
"tensor(3.7460, device='cuda:0')","tensor(-3.0986, device='cuda:0')","tensor(-1.8546, device='cuda:0')"
"tensor(3.1409, device='cuda:0')","tensor(-2.5057, device='cuda:0')","tensor(-1.5836, device='cuda:0')"
"tensor(2.2672, device='cuda:0')","tensor(-2.2746, device='cuda:0')","tensor(-0.8796, device='cuda:0')"
"tensor(3.0125, device='cuda:0')","tensor(-2.5851, device='cuda:0')","tensor(-1.3773, device='cuda:0')"
"tensor(2.9620, device='cuda:0')","tensor(-2.7432, device='cuda:0')","tensor(-1.1936, device='cuda:0')"
"tensor(3.3936, device='cuda:0')","tensor(-3.2687, device='cuda:0')","tensor(-1.2378, device='cuda:0')"
"tensor(2.5715, device='cuda:0')","tensor(-1.3840, device='cuda:0')","tensor(-1.9904, device='cuda:0')"
"tensor(2.7261, device='cuda:0')","tensor(-2.6003, device='cuda:0')","tensor(-1.0334, device='cuda:0')"
"tensor(3.7027, device='cuda:0')","tensor(-2.4345, device='cuda:0')","tensor(-2.4468, device='cuda:0')"
"tensor(3.3767, device='cuda:0')","tensor(-3.7831, device='cuda:0')","tensor(-0.8309, device='cuda:0')"
"tensor(3.5493, device='cuda:0')","tensor(-3.0306, device='cuda:0')","tensor(-1.6722, device='cuda:0')"
"tensor(4.3457, device='cuda:0')","tensor(-1.9312, device='cuda:0')","tensor(-3.7538, device='cuda:0')"
"tensor(3.1005, device='cuda:0')","tensor(-3.2330, device='cuda:0')","tensor(-0.9267, device='cuda:0')"
"tensor(2.7295, device='cuda:0')","tensor(-2.1389, device='cuda:0')","tensor(-1.4702, device='cuda:0')"
"tensor(4.2469, device='cuda:0')","tensor(-2.5859, device='cuda:0')","tensor(-2.8871, device='cuda:0')"
"tensor(3.1621, device='cuda:0')","tensor(-3.3048, device='cuda:0')","tensor(-0.9383, device='cuda:0')"
"tensor(3.9490, device='cuda:0')","tensor(-3.0413, device='cuda:0')","tensor(-2.1331, device='cuda:0')"
"tensor(3.1615, device='cuda:0')","tensor(-2.8391, device='cuda:0')","tensor(-1.3755, device='cuda:0')"
"tensor(3.4857, device='cuda:0')","tensor(-3.0832, device='cuda:0')","tensor(-1.5194, device='cuda:0')"
"tensor(2.0835, device='cuda:0')","tensor(-3.0565, device='cuda:0')","tensor(0.1820, device='cuda:0')"
"tensor(3.0472, device='cuda:0')","tensor(-0.9724, device='cuda:0')","tensor(-3.0424, device='cuda:0')"
"tensor(3.1091, device='cuda:0')","tensor(-2.6464, device='cuda:0')","tensor(-1.4459, device='cuda:0')"
"tensor(2.4320, device='cuda:0')","tensor(-2.4066, device='cuda:0')","tensor(-0.8221, device='cuda:0')"
"tensor(3.5849, device='cuda:0')","tensor(-2.4148, device='cuda:0')","tensor(-2.3106, device='cuda:0')"
"tensor(3.2037, device='cuda:0')","tensor(-3.3697, device='cuda:0')","tensor(-0.9152, device='cuda:0')"
"tensor(3.9452, device='cuda:0')","tensor(-3.1846, device='cuda:0')","tensor(-2.0143, device='cuda:0')"
"tensor(4.9210, device='cuda:0')","tensor(-3.2749, device='cuda:0')","tensor(-3.1306, device='cuda:0')"
"tensor(4.7969, device='cuda:0')","tensor(-3.2798, device='cuda:0')","tensor(-2.9964, device='cuda:0')"
"tensor(2.1989, device='cuda:0')","tensor(-1.8331, device='cuda:0')","tensor(-1.0731, device='cuda:0')"
"tensor(3.2332, device='cuda:0')","tensor(-2.4961, device='cuda:0')","tensor(-1.7106, device='cuda:0')"
"tensor(2.5755, device='cuda:0')","tensor(-1.0859, device='cuda:0')","tensor(-2.2930, device='cuda:0')"
"tensor(3.8737, device='cuda:0')","tensor(-2.8605, device='cuda:0')","tensor(-2.1785, device='cuda:0')"
"tensor(4.3424, device='cuda:0')","tensor(-3.5968, device='cuda:0')","tensor(-2.1406, device='cuda:0')"
"tensor(1.3889, device='cuda:0')","tensor(-3.7820, device='cuda:0')","tensor(1.4220, device='cuda:0')"
"tensor(3.4356, device='cuda:0')","tensor(-2.8727, device='cuda:0')","tensor(-1.6341, device='cuda:0')"
"tensor(4.0090, device='cuda:0')","tensor(-2.8698, device='cuda:0')","tensor(-2.3776, device='cuda:0')"
"tensor(3.1972, device='cuda:0')","tensor(-3.6735, device='cuda:0')","tensor(-0.7169, device='cuda:0')"
"tensor(3.2374, device='cuda:0')","tensor(-3.0225, device='cuda:0')","tensor(-1.2477, device='cuda:0')"
"tensor(2.8893, device='cuda:0')","tensor(-1.6980, device='cuda:0')","tensor(-2.0496, device='cuda:0')"
"tensor(4.6466, device='cuda:0')","tensor(-2.4806, device='cuda:0')","tensor(-3.5965, device='cuda:0')"
"tensor(2.6571, device='cuda:0')","tensor(-3.1203, device='cuda:0')","tensor(-0.5688, device='cuda:0')"
"tensor(1.7583, device='cuda:0')","tensor(0.2629, device='cuda:0')","tensor(-2.6012, device='cuda:0')"
"tensor(3.6504, device='cuda:0')","tensor(-3.1605, device='cuda:0')","tensor(-1.6397, device='cuda:0')"
"tensor(1.9835, device='cuda:0')","tensor(-1.5057, device='cuda:0')","tensor(-1.1644, device='cuda:0')"
"tensor(1.3949, device='cuda:0')","tensor(-2.3493, device='cuda:0')","tensor(0.1706, device='cuda:0')"
"tensor(3.9139, device='cuda:0')","tensor(-3.4934, device='cuda:0')","tensor(-1.8072, device='cuda:0')"
"tensor(4.0768, device='cuda:0')","tensor(-3.2690, device='cuda:0')","tensor(-2.0554, device='cuda:0')"
"tensor(3.8325, device='cuda:0')","tensor(-2.8605, device='cuda:0')","tensor(-2.1378, device='cuda:0')"
"tensor(1.3757, device='cuda:0')","tensor(-2.1091, device='cuda:0')","tensor(0.1350, device='cuda:0')"
"tensor(3.7058, device='cuda:0')","tensor(-3.5437, device='cuda:0')","tensor(-1.4317, device='cuda:0')"
"tensor(3.3412, device='cuda:0')","tensor(-1.5607, device='cuda:0')","tensor(-2.7109, device='cuda:0')"
"tensor(4.0410, device='cuda:0')","tensor(-3.1760, device='cuda:0')","tensor(-2.1437, device='cuda:0')"
"tensor(3.8333, device='cuda:0')","tensor(-3.5727, device='cuda:0')","tensor(-1.5069, device='cuda:0')"
"tensor(4.9513, device='cuda:0')","tensor(-2.4643, device='cuda:0')","tensor(-3.9967, device='cuda:0')"
"tensor(3.7633, device='cuda:0')","tensor(-3.1100, device='cuda:0')","tensor(-1.8555, device='cuda:0')"
"tensor(2.3331, device='cuda:0')","tensor(-3.4472, device='cuda:0')","tensor(0.1806, device='cuda:0')"
"tensor(2.9018, device='cuda:0')","tensor(-2.8498, device='cuda:0')","tensor(-1.0467, device='cuda:0')"
"tensor(5.3933, device='cuda:0')","tensor(-3.2268, device='cuda:0')","tensor(-3.8811, device='cuda:0')"
"tensor(2.5784, device='cuda:0')","tensor(-0.2248, device='cuda:0')","tensor(-3.0940, device='cuda:0')"
"tensor(4.3963, device='cuda:0')","tensor(-4.0682, device='cuda:0')","tensor(-1.8322, device='cuda:0')"
"tensor(3.4730, device='cuda:0')","tensor(-2.4501, device='cuda:0')","tensor(-2.1172, device='cuda:0')"
"tensor(3.5284, device='cuda:0')","tensor(-3.2521, device='cuda:0')","tensor(-1.4261, device='cuda:0')"
"tensor(3.9369, device='cuda:0')","tensor(-3.1229, device='cuda:0')","tensor(-2.0297, device='cuda:0')"
"tensor(3.4679, device='cuda:0')","tensor(-2.9866, device='cuda:0')","tensor(-1.5535, device='cuda:0')"
"tensor(4.3311, device='cuda:0')","tensor(-3.4156, device='cuda:0')","tensor(-2.2741, device='cuda:0')"
"tensor(3.0416, device='cuda:0')","tensor(-3.4473, device='cuda:0')","tensor(-0.6862, device='cuda:0')"
"tensor(3.1490, device='cuda:0')","tensor(-2.6408, device='cuda:0')","tensor(-1.4658, device='cuda:0')"
"tensor(3.3504, device='cuda:0')","tensor(-2.5485, device='cuda:0')","tensor(-1.8288, device='cuda:0')"
"tensor(3.3161, device='cuda:0')","tensor(-2.6939, device='cuda:0')","tensor(-1.6232, device='cuda:0')"
"tensor(3.1372, device='cuda:0')","tensor(-2.8180, device='cuda:0')","tensor(-1.3028, device='cuda:0')"
"tensor(2.5761, device='cuda:0')","tensor(-2.3734, device='cuda:0')","tensor(-1.1095, device='cuda:0')"
"tensor(3.1714, device='cuda:0')","tensor(-1.6986, device='cuda:0')","tensor(-2.3609, device='cuda:0')"
"tensor(1.4445, device='cuda:0')","tensor(-2.4946, device='cuda:0')","tensor(0.3871, device='cuda:0')"
"tensor(-0.4488, device='cuda:0')","tensor(0.5968, device='cuda:0')","tensor(-0.2919, device='cuda:0')"
