"tensor(1.4184, device='cuda:0')","tensor(-0.8450, device='cuda:0')","tensor(-0.4997, device='cuda:0')"
"tensor(3.7992, device='cuda:0')","tensor(-3.2937, device='cuda:0')","tensor(-0.2012, device='cuda:0')"
"tensor(0.5465, device='cuda:0')","tensor(0.2507, device='cuda:0')","tensor(-0.9340, device='cuda:0')"
"tensor(0.8047, device='cuda:0')","tensor(0.2055, device='cuda:0')","tensor(-1.1397, device='cuda:0')"
"tensor(1.1747, device='cuda:0')","tensor(-1.0558, device='cuda:0')","tensor(-0.0553, device='cuda:0')"
"tensor(0.1354, device='cuda:0')","tensor(-2.3111, device='cuda:0')","tensor(2.4515, device='cuda:0')"
"tensor(1.7145, device='cuda:0')","tensor(-1.3945, device='cuda:0')","tensor(-0.1607, device='cuda:0')"
"tensor(1.1192, device='cuda:0')","tensor(-1.5381, device='cuda:0')","tensor(0.6073, device='cuda:0')"
"tensor(3.7675, device='cuda:0')","tensor(-3.2712, device='cuda:0')","tensor(-0.0765, device='cuda:0')"
"tensor(3.2912, device='cuda:0')","tensor(-2.8195, device='cuda:0')","tensor(-0.1398, device='cuda:0')"
"tensor(0.6849, device='cuda:0')","tensor(-2.2130, device='cuda:0')","tensor(1.8229, device='cuda:0')"
"tensor(1.5328, device='cuda:0')","tensor(-1.6371, device='cuda:0')","tensor(0.3295, device='cuda:0')"
"tensor(0.5008, device='cuda:0')","tensor(-2.0091, device='cuda:0')","tensor(1.7426, device='cuda:0')"
"tensor(2.5655, device='cuda:0')","tensor(-2.5989, device='cuda:0')","tensor(0.3469, device='cuda:0')"
"tensor(1.1843, device='cuda:0')","tensor(-1.9997, device='cuda:0')","tensor(1.0915, device='cuda:0')"
"tensor(1.8514, device='cuda:0')","tensor(-1.2058, device='cuda:0')","tensor(-0.5606, device='cuda:0')"
"tensor(1.4020, device='cuda:0')","tensor(-2.1348, device='cuda:0')","tensor(1.0030, device='cuda:0')"
"tensor(0.2072, device='cuda:0')","tensor(-0.8102, device='cuda:0')","tensor(0.6837, device='cuda:0')"
"tensor(0.5008, device='cuda:0')","tensor(-0.1063, device='cuda:0')","tensor(-0.4529, device='cuda:0')"
"tensor(0.1695, device='cuda:0')","tensor(-0.3276, device='cuda:0')","tensor(0.1489, device='cuda:0')"
"tensor(0.7237, device='cuda:0')","tensor(0.0025, device='cuda:0')","tensor(-0.8196, device='cuda:0')"
"tensor(0.0807, device='cuda:0')","tensor(1.1319, device='cuda:0')","tensor(-1.4900, device='cuda:0')"
"tensor(0.4767, device='cuda:0')","tensor(-0.2315, device='cuda:0')","tensor(-0.2445, device='cuda:0')"
"tensor(1.3400, device='cuda:0')","tensor(-0.6747, device='cuda:0')","tensor(-0.6013, device='cuda:0')"
"tensor(0.7388, device='cuda:0')","tensor(-0.8722, device='cuda:0')","tensor(0.2221, device='cuda:0')"
"tensor(-2.6717, device='cuda:0')","tensor(3.1716, device='cuda:0')","tensor(-1.2500, device='cuda:0')"
"tensor(-0.8414, device='cuda:0')","tensor(1.3140, device='cuda:0')","tensor(-0.7840, device='cuda:0')"
"tensor(0.3737, device='cuda:0')","tensor(-0.7155, device='cuda:0')","tensor(0.3650, device='cuda:0')"
"tensor(1.8822, device='cuda:0')","tensor(-1.8646, device='cuda:0')","tensor(0.2041, device='cuda:0')"
"tensor(1.0760, device='cuda:0')","tensor(-1.6466, device='cuda:0')","tensor(0.8163, device='cuda:0')"
"tensor(1.1363, device='cuda:0')","tensor(-1.8612, device='cuda:0')","tensor(0.9468, device='cuda:0')"
"tensor(0.1924, device='cuda:0')","tensor(-1.2419, device='cuda:0')","tensor(1.1955, device='cuda:0')"
"tensor(0.3028, device='cuda:0')","tensor(-0.7202, device='cuda:0')","tensor(0.4699, device='cuda:0')"
"tensor(1.3620, device='cuda:0')","tensor(-1.6607, device='cuda:0')","tensor(0.5261, device='cuda:0')"
"tensor(0.4949, device='cuda:0')","tensor(1.3605, device='cuda:0')","tensor(-2.2528, device='cuda:0')"
"tensor(0.5240, device='cuda:0')","tensor(1.0586, device='cuda:0')","tensor(-1.9156, device='cuda:0')"
"tensor(1.0747, device='cuda:0')","tensor(-1.5048, device='cuda:0')","tensor(0.5488, device='cuda:0')"
"tensor(3.1919, device='cuda:0')","tensor(-2.5404, device='cuda:0')","tensor(-0.3799, device='cuda:0')"
"tensor(0.1738, device='cuda:0')","tensor(-1.6050, device='cuda:0')","tensor(1.6054, device='cuda:0')"
"tensor(1.8365, device='cuda:0')","tensor(-2.5721, device='cuda:0')","tensor(1.0220, device='cuda:0')"
"tensor(1.9496, device='cuda:0')","tensor(-1.2920, device='cuda:0')","tensor(-0.5142, device='cuda:0')"
"tensor(0.4885, device='cuda:0')","tensor(-1.5045, device='cuda:0')","tensor(1.1672, device='cuda:0')"
"tensor(0.2915, device='cuda:0')","tensor(-0.0842, device='cuda:0')","tensor(-0.2855, device='cuda:0')"
"tensor(0.4758, device='cuda:0')","tensor(-0.5915, device='cuda:0')","tensor(0.1665, device='cuda:0')"
"tensor(1.1089, device='cuda:0')","tensor(-0.4557, device='cuda:0')","tensor(-0.6778, device='cuda:0')"
"tensor(0.0440, device='cuda:0')","tensor(0.1748, device='cuda:0')","tensor(-0.2716, device='cuda:0')"
"tensor(1.5901, device='cuda:0')","tensor(-0.8248, device='cuda:0')","tensor(-0.7655, device='cuda:0')"
"tensor(2.0625, device='cuda:0')","tensor(-2.3260, device='cuda:0')","tensor(0.5537, device='cuda:0')"
"tensor(0.4194, device='cuda:0')","tensor(0.3219, device='cuda:0')","tensor(-0.8655, device='cuda:0')"
"tensor(1.8871, device='cuda:0')","tensor(-2.1982, device='cuda:0')","tensor(0.5719, device='cuda:0')"
"tensor(3.1837, device='cuda:0')","tensor(-4.3315, device='cuda:0')","tensor(1.6175, device='cuda:0')"
"tensor(-1.6630, device='cuda:0')","tensor(3.3376, device='cuda:0')","tensor(-2.3950, device='cuda:0')"
"tensor(0.8328, device='cuda:0')","tensor(-0.6240, device='cuda:0')","tensor(-0.1688, device='cuda:0')"
"tensor(2.2817, device='cuda:0')","tensor(-2.8897, device='cuda:0')","tensor(0.9368, device='cuda:0')"
"tensor(0.5777, device='cuda:0')","tensor(-1.3100, device='cuda:0')","tensor(0.8733, device='cuda:0')"
"tensor(2.4791, device='cuda:0')","tensor(-2.0916, device='cuda:0')","tensor(-0.1255, device='cuda:0')"
"tensor(0.9278, device='cuda:0')","tensor(-1.6986, device='cuda:0')","tensor(0.9837, device='cuda:0')"
"tensor(-0.7366, device='cuda:0')","tensor(2.2045, device='cuda:0')","tensor(-1.9481, device='cuda:0')"
"tensor(0.7557, device='cuda:0')","tensor(-1.3420, device='cuda:0')","tensor(0.7273, device='cuda:0')"
"tensor(-0.1048, device='cuda:0')","tensor(-0.6140, device='cuda:0')","tensor(0.7684, device='cuda:0')"
"tensor(-0.6238, device='cuda:0')","tensor(1.3115, device='cuda:0')","tensor(-0.9365, device='cuda:0')"
"tensor(0.8355, device='cuda:0')","tensor(-1.4780, device='cuda:0')","tensor(0.8366, device='cuda:0')"
"tensor(0.0714, device='cuda:0')","tensor(-0.2161, device='cuda:0')","tensor(0.1530, device='cuda:0')"
"tensor(0.0579, device='cuda:0')","tensor(-0.8318, device='cuda:0')","tensor(0.8424, device='cuda:0')"
"tensor(1.9609, device='cuda:0')","tensor(-1.8505, device='cuda:0')","tensor(0.0600, device='cuda:0')"
"tensor(-0.7259, device='cuda:0')","tensor(0.1708, device='cuda:0')","tensor(0.4265, device='cuda:0')"
"tensor(2.2898, device='cuda:0')","tensor(-2.4089, device='cuda:0')","tensor(0.3529, device='cuda:0')"
"tensor(0.4523, device='cuda:0')","tensor(-1.0520, device='cuda:0')","tensor(0.7131, device='cuda:0')"
"tensor(1.4100, device='cuda:0')","tensor(-1.5195, device='cuda:0')","tensor(0.2634, device='cuda:0')"
"tensor(2.2184, device='cuda:0')","tensor(-1.7227, device='cuda:0')","tensor(-0.3803, device='cuda:0')"
"tensor(1.6881, device='cuda:0')","tensor(-1.7255, device='cuda:0')","tensor(0.2258, device='cuda:0')"
"tensor(1.2354, device='cuda:0')","tensor(-1.1992, device='cuda:0')","tensor(0.0974, device='cuda:0')"
"tensor(1.8207, device='cuda:0')","tensor(-1.4790, device='cuda:0')","tensor(-0.1938, device='cuda:0')"
"tensor(0.4440, device='cuda:0')","tensor(-1.8547, device='cuda:0')","tensor(1.6211, device='cuda:0')"
"tensor(0.8497, device='cuda:0')","tensor(-0.2576, device='cuda:0')","tensor(-0.6334, device='cuda:0')"
"tensor(0.8451, device='cuda:0')","tensor(-2.1428, device='cuda:0')","tensor(1.5290, device='cuda:0')"
"tensor(2.2408, device='cuda:0')","tensor(-2.0343, device='cuda:0')","tensor(-0.0567, device='cuda:0')"
"tensor(2.0414, device='cuda:0')","tensor(-1.9988, device='cuda:0')","tensor(0.1813, device='cuda:0')"
"tensor(0.5091, device='cuda:0')","tensor(-0.0121, device='cuda:0')","tensor(-0.5891, device='cuda:0')"
"tensor(0.7962, device='cuda:0')","tensor(-0.9630, device='cuda:0')","tensor(0.2967, device='cuda:0')"
"tensor(0.8775, device='cuda:0')","tensor(-1.8771, device='cuda:0')","tensor(1.2336, device='cuda:0')"
"tensor(2.4726, device='cuda:0')","tensor(-2.0177, device='cuda:0')","tensor(-0.1761, device='cuda:0')"
"tensor(4.5868, device='cuda:0')","tensor(-3.6529, device='cuda:0')","tensor(-0.5680, device='cuda:0')"
"tensor(1.6794, device='cuda:0')","tensor(-1.9075, device='cuda:0')","tensor(0.3939, device='cuda:0')"
"tensor(0.8689, device='cuda:0')","tensor(-0.8016, device='cuda:0')","tensor(0.0093, device='cuda:0')"
"tensor(-0.4049, device='cuda:0')","tensor(1.9516, device='cuda:0')","tensor(-1.9542, device='cuda:0')"
"tensor(0.6386, device='cuda:0')","tensor(-2.1532, device='cuda:0')","tensor(1.8040, device='cuda:0')"
"tensor(1.5075, device='cuda:0')","tensor(-1.2582, device='cuda:0')","tensor(-0.1267, device='cuda:0')"
"tensor(2.0182, device='cuda:0')","tensor(-2.0994, device='cuda:0')","tensor(0.3097, device='cuda:0')"
"tensor(2.4454, device='cuda:0')","tensor(-2.7495, device='cuda:0')","tensor(0.6182, device='cuda:0')"
"tensor(0.3848, device='cuda:0')","tensor(-0.0115, device='cuda:0')","tensor(-0.4511, device='cuda:0')"
"tensor(3.9090, device='cuda:0')","tensor(-2.8286, device='cuda:0')","tensor(-0.7907, device='cuda:0')"
"tensor(1.3511, device='cuda:0')","tensor(-1.6267, device='cuda:0')","tensor(0.4134, device='cuda:0')"
"tensor(1.7276, device='cuda:0')","tensor(-1.9948, device='cuda:0')","tensor(0.4520, device='cuda:0')"
"tensor(-0.0719, device='cuda:0')","tensor(0.2249, device='cuda:0')","tensor(-0.2615, device='cuda:0')"
"tensor(-0.4409, device='cuda:0')","tensor(-0.4420, device='cuda:0')","tensor(0.9237, device='cuda:0')"
"tensor(1.3700, device='cuda:0')","tensor(-2.1880, device='cuda:0')","tensor(1.0742, device='cuda:0')"
"tensor(0.2770, device='cuda:0')","tensor(-0.7500, device='cuda:0')","tensor(0.5355, device='cuda:0')"
"tensor(-1.6565, device='cuda:0')","tensor(1.9650, device='cuda:0')","tensor(-0.7086, device='cuda:0')"
"tensor(1.9966, device='cuda:0')","tensor(-1.6561, device='cuda:0')","tensor(-0.1297, device='cuda:0')"
"tensor(1.2130, device='cuda:0')","tensor(-1.9987, device='cuda:0')","tensor(1.0429, device='cuda:0')"
