"tensor(3.1011, device='cuda:0')","tensor(-2.5336, device='cuda:0')","tensor(-0.9804, device='cuda:0')"
"tensor(2.1524, device='cuda:0')","tensor(-1.4605, device='cuda:0')","tensor(-0.9208, device='cuda:0')"
"tensor(4.2985, device='cuda:0')","tensor(-3.6048, device='cuda:0')","tensor(-1.2232, device='cuda:0')"
"tensor(5.3865, device='cuda:0')","tensor(-4.1882, device='cuda:0')","tensor(-2.2430, device='cuda:0')"
"tensor(3.5764, device='cuda:0')","tensor(-2.4997, device='cuda:0')","tensor(-1.7121, device='cuda:0')"
"tensor(2.1026, device='cuda:0')","tensor(-1.9955, device='cuda:0')","tensor(-0.2740, device='cuda:0')"
"tensor(4.0216, device='cuda:0')","tensor(-3.3359, device='cuda:0')","tensor(-1.1549, device='cuda:0')"
"tensor(4.3031, device='cuda:0')","tensor(-3.5210, device='cuda:0')","tensor(-1.4040, device='cuda:0')"
"tensor(3.7564, device='cuda:0')","tensor(-3.1066, device='cuda:0')","tensor(-1.0622, device='cuda:0')"
"tensor(3.4388, device='cuda:0')","tensor(-3.4587, device='cuda:0')","tensor(-0.1163, device='cuda:0')"
"tensor(4.9938, device='cuda:0')","tensor(-3.9688, device='cuda:0')","tensor(-1.8162, device='cuda:0')"
"tensor(4.4127, device='cuda:0')","tensor(-3.4510, device='cuda:0')","tensor(-1.7067, device='cuda:0')"
"tensor(2.3890, device='cuda:0')","tensor(-2.7623, device='cuda:0')","tensor(0.2241, device='cuda:0')"
"tensor(4.2392, device='cuda:0')","tensor(-3.9519, device='cuda:0')","tensor(-0.7019, device='cuda:0')"
"tensor(2.9742, device='cuda:0')","tensor(-2.8585, device='cuda:0')","tensor(-0.2388, device='cuda:0')"
"tensor(1.0215, device='cuda:0')","tensor(-0.3877, device='cuda:0')","tensor(-0.8636, device='cuda:0')"
"tensor(3.0829, device='cuda:0')","tensor(-3.0556, device='cuda:0')","tensor(-0.1905, device='cuda:0')"
