"tensor(0.0579, device='cuda:0')","tensor(-0.0441, device='cuda:0')","tensor(-0.0304, device='cuda:0')"
"tensor(0.1576, device='cuda:0')","tensor(-0.0837, device='cuda:0')","tensor(-0.0711, device='cuda:0')"
"tensor(0.0569, device='cuda:0')","tensor(-0.0252, device='cuda:0')","tensor(-0.0628, device='cuda:0')"
"tensor(-0.0066, device='cuda:0')","tensor(0.0226, device='cuda:0')","tensor(-0.0593, device='cuda:0')"
"tensor(0.0512, device='cuda:0')","tensor(-0.0419, device='cuda:0')","tensor(-0.0326, device='cuda:0')"
"tensor(0.0036, device='cuda:0')","tensor(-0.0338, device='cuda:0')","tensor(0.0164, device='cuda:0')"
"tensor(0.0290, device='cuda:0')","tensor(-0.0257, device='cuda:0')","tensor(-0.0237, device='cuda:0')"
"tensor(0.0070, device='cuda:0')","tensor(-0.0238, device='cuda:0')","tensor(-0.0095, device='cuda:0')"
"tensor(0.0847, device='cuda:0')","tensor(-0.0573, device='cuda:0')","tensor(-0.0280, device='cuda:0')"
"tensor(0.0662, device='cuda:0')","tensor(-0.0499, device='cuda:0')","tensor(-0.0230, device='cuda:0')"
"tensor(-0.0377, device='cuda:0')","tensor(-0.0099, device='cuda:0')","tensor(0.0261, device='cuda:0')"
"tensor(0.0230, device='cuda:0')","tensor(-0.0268, device='cuda:0')","tensor(-0.0105, device='cuda:0')"
"tensor(-0.0139, device='cuda:0')","tensor(-0.0261, device='cuda:0')","tensor(0.0298, device='cuda:0')"
"tensor(0.0156, device='cuda:0')","tensor(-0.0272, device='cuda:0')","tensor(-0.0007, device='cuda:0')"
"tensor(0.0366, device='cuda:0')","tensor(-0.0404, device='cuda:0')","tensor(-0.0059, device='cuda:0')"
"tensor(0.0580, device='cuda:0')","tensor(-0.0239, device='cuda:0')","tensor(-0.0731, device='cuda:0')"
"tensor(0.0216, device='cuda:0')","tensor(-0.0226, device='cuda:0')","tensor(-0.0199, device='cuda:0')"
"tensor(0.0049, device='cuda:0')","tensor(-0.0121, device='cuda:0')","tensor(-0.0135, device='cuda:0')"
"tensor(0.0482, device='cuda:0')","tensor(-0.0303, device='cuda:0')","tensor(-0.0333, device='cuda:0')"
"tensor(-0.0008, device='cuda:0')","tensor(-0.0082, device='cuda:0')","tensor(-0.0161, device='cuda:0')"
"tensor(0.0205, device='cuda:0')","tensor(0.0104, device='cuda:0')","tensor(-0.0728, device='cuda:0')"
"tensor(-0.0218, device='cuda:0')","tensor(0.0210, device='cuda:0')","tensor(-0.0389, device='cuda:0')"
"tensor(0.0195, device='cuda:0')","tensor(-0.0059, device='cuda:0')","tensor(-0.0540, device='cuda:0')"
"tensor(0.0425, device='cuda:0')","tensor(-0.0165, device='cuda:0')","tensor(-0.0559, device='cuda:0')"
"tensor(0.0084, device='cuda:0')","tensor(-0.0195, device='cuda:0')","tensor(-0.0117, device='cuda:0')"
"tensor(-0.1270, device='cuda:0')","tensor(0.0751, device='cuda:0')","tensor(-0.0060, device='cuda:0')"
"tensor(-0.0317, device='cuda:0')","tensor(0.0203, device='cuda:0')","tensor(-0.0286, device='cuda:0')"
"tensor(-0.0097, device='cuda:0')","tensor(-0.0169, device='cuda:0')","tensor(-0.0052, device='cuda:0')"
"tensor(0.0314, device='cuda:0')","tensor(-0.0149, device='cuda:0')","tensor(-0.0399, device='cuda:0')"
