"tensor(3.6716, device='cuda:0')","tensor(-2.5060, device='cuda:0')","tensor(0.1767, device='cuda:0')"
"tensor(3.0400, device='cuda:0')","tensor(-1.8804, device='cuda:0')","tensor(0.1195, device='cuda:0')"
"tensor(5.1965, device='cuda:0')","tensor(-3.8543, device='cuda:0')","tensor(0.1467, device='cuda:0')"
"tensor(5.1336, device='cuda:0')","tensor(-3.1436, device='cuda:0')","tensor(-1.1321, device='cuda:0')"
"tensor(4.0234, device='cuda:0')","tensor(-2.3449, device='cuda:0')","tensor(-1.1603, device='cuda:0')"
"tensor(4.3656, device='cuda:0')","tensor(-3.1864, device='cuda:0')","tensor(0.0370, device='cuda:0')"
"tensor(4.9497, device='cuda:0')","tensor(-3.8155, device='cuda:0')","tensor(0.3289, device='cuda:0')"
"tensor(4.7575, device='cuda:0')","tensor(-3.0944, device='cuda:0')","tensor(-0.7414, device='cuda:0')"
"tensor(4.8688, device='cuda:0')","tensor(-3.7386, device='cuda:0')","tensor(0.3471, device='cuda:0')"
"tensor(4.9766, device='cuda:0')","tensor(-3.6520, device='cuda:0')","tensor(0.1130, device='cuda:0')"
"tensor(5.6729, device='cuda:0')","tensor(-3.8651, device='cuda:0')","tensor(-0.5128, device='cuda:0')"
"tensor(4.4334, device='cuda:0')","tensor(-2.6029, device='cuda:0')","tensor(-1.2361, device='cuda:0')"
"tensor(2.7091, device='cuda:0')","tensor(-2.1156, device='cuda:0')","tensor(0.4725, device='cuda:0')"
"tensor(4.6289, device='cuda:0')","tensor(-3.4070, device='cuda:0')","tensor(0.3093, device='cuda:0')"
"tensor(4.1641, device='cuda:0')","tensor(-3.2910, device='cuda:0')","tensor(0.8133, device='cuda:0')"
"tensor(1.9243, device='cuda:0')","tensor(-0.9282, device='cuda:0')","tensor(-0.3015, device='cuda:0')"
"tensor(4.3072, device='cuda:0')","tensor(-3.1082, device='cuda:0')","tensor(0.3488, device='cuda:0')"
"tensor(3.2679, device='cuda:0')","tensor(-1.7152, device='cuda:0')","tensor(-0.6304, device='cuda:0')"
"tensor(2.4031, device='cuda:0')","tensor(-2.1765, device='cuda:0')","tensor(1.3560, device='cuda:0')"
"tensor(3.0993, device='cuda:0')","tensor(-2.6952, device='cuda:0')","tensor(1.3568, device='cuda:0')"
"tensor(3.5493, device='cuda:0')","tensor(-2.9224, device='cuda:0')","tensor(1.0923, device='cuda:0')"
"tensor(4.9866, device='cuda:0')","tensor(-3.7805, device='cuda:0')","tensor(0.2983, device='cuda:0')"
"tensor(3.9756, device='cuda:0')","tensor(-3.7733, device='cuda:0')","tensor(1.7595, device='cuda:0')"
