tensor(1.6056, device='cuda:0'),tensor(1.3695, device='cuda:0'),tensor(-2.0579, device='cuda:0'),tensor(-0.9957, device='cuda:0')
tensor(4.9213, device='cuda:0'),tensor(-0.8500, device='cuda:0'),tensor(-3.0997, device='cuda:0'),tensor(-0.7960, device='cuda:0')
tensor(5.2967, device='cuda:0'),tensor(-1.9066, device='cuda:0'),tensor(-2.3728, device='cuda:0'),tensor(-0.7658, device='cuda:0')
tensor(4.2403, device='cuda:0'),tensor(-0.8059, device='cuda:0'),tensor(-3.7600, device='cuda:0'),tensor(0.4908, device='cuda:0')
tensor(2.2147, device='cuda:0'),tensor(-0.9284, device='cuda:0'),tensor(-0.8440, device='cuda:0'),tensor(-0.4054, device='cuda:0')
tensor(2.5088, device='cuda:0'),tensor(-0.6567, device='cuda:0'),tensor(-2.5632, device='cuda:0'),tensor(0.8115, device='cuda:0')
tensor(4.4443, device='cuda:0'),tensor(-0.0436, device='cuda:0'),tensor(-1.9286, device='cuda:0'),tensor(-2.3021, device='cuda:0')
tensor(-0.3418, device='cuda:0'),tensor(0.2970, device='cuda:0'),tensor(-0.4065, device='cuda:0'),tensor(0.2253, device='cuda:0')
tensor(2.0277, device='cuda:0'),tensor(-0.1132, device='cuda:0'),tensor(-2.1736, device='cuda:0'),tensor(0.2545, device='cuda:0')
tensor(0.0340, device='cuda:0'),tensor(-0.7460, device='cuda:0'),tensor(0.3466, device='cuda:0'),tensor(0.1964, device='cuda:0')
tensor(-2.7890, device='cuda:0'),tensor(1.0901, device='cuda:0'),tensor(2.8510, device='cuda:0'),tensor(-1.6314, device='cuda:0')
tensor(2.1260, device='cuda:0'),tensor(-0.3655, device='cuda:0'),tensor(-0.5104, device='cuda:0'),tensor(-1.2762, device='cuda:0')
tensor(0.9407, device='cuda:0'),tensor(2.5532, device='cuda:0'),tensor(-2.1405, device='cuda:0'),tensor(-1.6027, device='cuda:0')
tensor(4.3787, device='cuda:0'),tensor(-0.7756, device='cuda:0'),tensor(-1.7488, device='cuda:0'),tensor(-1.6435, device='cuda:0')
tensor(4.7602, device='cuda:0'),tensor(-0.4208, device='cuda:0'),tensor(-3.0538, device='cuda:0'),tensor(-1.1266, device='cuda:0')
tensor(1.1490, device='cuda:0'),tensor(-0.4161, device='cuda:0'),tensor(-1.6724, device='cuda:0'),tensor(0.8488, device='cuda:0')
tensor(3.2227, device='cuda:0'),tensor(0.3515, device='cuda:0'),tensor(-3.1865, device='cuda:0'),tensor(-0.3500, device='cuda:0')
tensor(-4.9914, device='cuda:0'),tensor(1.4136, device='cuda:0'),tensor(4.0650, device='cuda:0'),tensor(-1.1990, device='cuda:0')
tensor(-2.7487, device='cuda:0'),tensor(3.8275, device='cuda:0'),tensor(1.3150, device='cuda:0'),tensor(-3.0532, device='cuda:0')
tensor(-3.0699, device='cuda:0'),tensor(0.8140, device='cuda:0'),tensor(4.3180, device='cuda:0'),tensor(-2.6426, device='cuda:0')
tensor(3.9845, device='cuda:0'),tensor(-0.9649, device='cuda:0'),tensor(-3.1075, device='cuda:0'),tensor(0.1829, device='cuda:0')
tensor(-2.1313, device='cuda:0'),tensor(0.0776, device='cuda:0'),tensor(1.9949, device='cuda:0'),tensor(-0.3736, device='cuda:0')
tensor(4.5863, device='cuda:0'),tensor(-0.4041, device='cuda:0'),tensor(-3.0424, device='cuda:0'),tensor(-0.9724, device='cuda:0')
tensor(-0.4484, device='cuda:0'),tensor(-0.0189, device='cuda:0'),tensor(0.1866, device='cuda:0'),tensor(0.0494, device='cuda:0')
tensor(-2.0220, device='cuda:0'),tensor(1.6452, device='cuda:0'),tensor(2.9474, device='cuda:0'),tensor(-3.1557, device='cuda:0')
tensor(-0.2599, device='cuda:0'),tensor(0.1444, device='cuda:0'),tensor(-0.2520, device='cuda:0'),tensor(0.1905, device='cuda:0')
tensor(1.1421, device='cuda:0'),tensor(-1.7578, device='cuda:0'),tensor(-0.5548, device='cuda:0'),tensor(1.1499, device='cuda:0')
tensor(2.3695, device='cuda:0'),tensor(2.1756, device='cuda:0'),tensor(-2.5092, device='cuda:0'),tensor(-2.1520, device='cuda:0')
tensor(0.8069, device='cuda:0'),tensor(-0.2355, device='cuda:0'),tensor(0.5023, device='cuda:0'),tensor(-1.2497, device='cuda:0')
tensor(-1.9223, device='cuda:0'),tensor(-0.1870, device='cuda:0'),tensor(3.3034, device='cuda:0'),tensor(-1.5141, device='cuda:0')
tensor(3.6154, device='cuda:0'),tensor(-0.3191, device='cuda:0'),tensor(-2.5650, device='cuda:0'),tensor(-0.6057, device='cuda:0')
tensor(0.9267, device='cuda:0'),tensor(-1.4302, device='cuda:0'),tensor(1.5310, device='cuda:0'),tensor(-1.1150, device='cuda:0')
tensor(4.2596, device='cuda:0'),tensor(-0.1611, device='cuda:0'),tensor(-2.8915, device='cuda:0'),tensor(-1.0752, device='cuda:0')
tensor(-0.3051, device='cuda:0'),tensor(-0.9784, device='cuda:0'),tensor(1.4679, device='cuda:0'),tensor(-0.3810, device='cuda:0')
tensor(-2.3410, device='cuda:0'),tensor(2.2855, device='cuda:0'),tensor(1.1208, device='cuda:0'),tensor(-1.5017, device='cuda:0')
tensor(5.0239, device='cuda:0'),tensor(-2.0316, device='cuda:0'),tensor(-2.4042, device='cuda:0'),tensor(-0.3932, device='cuda:0')
tensor(-0.0264, device='cuda:0'),tensor(0.7885, device='cuda:0'),tensor(0.2239, device='cuda:0'),tensor(-1.2035, device='cuda:0')
tensor(-3.5969, device='cuda:0'),tensor(2.4545, device='cuda:0'),tensor(1.9009, device='cuda:0'),tensor(-1.3277, device='cuda:0')
tensor(0.0223, device='cuda:0'),tensor(-0.3071, device='cuda:0'),tensor(0.4221, device='cuda:0'),tensor(-0.3052, device='cuda:0')
tensor(2.4787, device='cuda:0'),tensor(3.2414, device='cuda:0'),tensor(-3.3068, device='cuda:0'),tensor(-2.6245, device='cuda:0')
tensor(0.4624, device='cuda:0'),tensor(-0.2168, device='cuda:0'),tensor(-0.2558, device='cuda:0'),tensor(-0.1808, device='cuda:0')
tensor(-0.2438, device='cuda:0'),tensor(0.0629, device='cuda:0'),tensor(0.9606, device='cuda:0'),tensor(-0.9212, device='cuda:0')
tensor(-1.0202, device='cuda:0'),tensor(-0.2194, device='cuda:0'),tensor(1.1013, device='cuda:0'),tensor(-0.0925, device='cuda:0')
tensor(-1.4533, device='cuda:0'),tensor(-0.2826, device='cuda:0'),tensor(2.2755, device='cuda:0'),tensor(-0.8848, device='cuda:0')
tensor(1.4907, device='cuda:0'),tensor(0.3336, device='cuda:0'),tensor(-0.5502, device='cuda:0'),tensor(-1.3521, device='cuda:0')
tensor(-1.5078, device='cuda:0'),tensor(0.4056, device='cuda:0'),tensor(1.1858, device='cuda:0'),tensor(-0.5107, device='cuda:0')
tensor(-0.2076, device='cuda:0'),tensor(-1.4846, device='cuda:0'),tensor(4.0605, device='cuda:0'),tensor(-2.6296, device='cuda:0')
tensor(3.3142, device='cuda:0'),tensor(-2.8342, device='cuda:0'),tensor(-1.3649, device='cuda:0'),tensor(0.9061, device='cuda:0')
tensor(0.7961, device='cuda:0'),tensor(-0.5543, device='cuda:0'),tensor(-0.5315, device='cuda:0'),tensor(0.1625, device='cuda:0')
tensor(1.3193, device='cuda:0'),tensor(-1.3094, device='cuda:0'),tensor(0.8617, device='cuda:0'),tensor(-1.0149, device='cuda:0')
tensor(-2.6557, device='cuda:0'),tensor(0.6381, device='cuda:0'),tensor(1.0407, device='cuda:0'),tensor(0.5367, device='cuda:0')
tensor(2.8370, device='cuda:0'),tensor(0.4347, device='cuda:0'),tensor(-2.4152, device='cuda:0'),tensor(-0.8930, device='cuda:0')
tensor(-0.2523, device='cuda:0'),tensor(-1.4943, device='cuda:0'),tensor(0.4490, device='cuda:0'),tensor(1.1309, device='cuda:0')
tensor(-2.5320, device='cuda:0'),tensor(-0.7585, device='cuda:0'),tensor(5.5682, device='cuda:0'),tensor(-2.7498, device='cuda:0')
tensor(0.5774, device='cuda:0'),tensor(-0.5869, device='cuda:0'),tensor(-0.3659, device='cuda:0'),tensor(0.2664, device='cuda:0')
tensor(3.7438, device='cuda:0'),tensor(-0.0382, device='cuda:0'),tensor(-3.1193, device='cuda:0'),tensor(-0.5200, device='cuda:0')
tensor(1.6368, device='cuda:0'),tensor(-1.1717, device='cuda:0'),tensor(-0.6671, device='cuda:0'),tensor(0.1274, device='cuda:0')
tensor(0.2115, device='cuda:0'),tensor(-0.9735, device='cuda:0'),tensor(1.1013, device='cuda:0'),tensor(-0.5003, device='cuda:0')
tensor(0.0562, device='cuda:0'),tensor(-0.3014, device='cuda:0'),tensor(-0.6334, device='cuda:0'),tensor(0.7055, device='cuda:0')
tensor(0.5675, device='cuda:0'),tensor(0.1121, device='cuda:0'),tensor(0.6577, device='cuda:0'),tensor(-1.4587, device='cuda:0')
tensor(-0.9121, device='cuda:0'),tensor(-0.3475, device='cuda:0'),tensor(2.2062, device='cuda:0'),tensor(-1.1942, device='cuda:0')
tensor(-2.2249, device='cuda:0'),tensor(0.1182, device='cuda:0'),tensor(0.0350, device='cuda:0'),tensor(1.7914, device='cuda:0')
tensor(5.3530, device='cuda:0'),tensor(-0.6008, device='cuda:0'),tensor(-2.3376, device='cuda:0'),tensor(-2.3528, device='cuda:0')
tensor(4.5381, device='cuda:0'),tensor(-2.0769, device='cuda:0'),tensor(-1.9143, device='cuda:0'),tensor(-0.3250, device='cuda:0')
tensor(-0.1710, device='cuda:0'),tensor(-0.4184, device='cuda:0'),tensor(0.5970, device='cuda:0'),tensor(-0.1860, device='cuda:0')
tensor(-4.9806, device='cuda:0'),tensor(1.3234, device='cuda:0'),tensor(4.9077, device='cuda:0'),tensor(-2.0308, device='cuda:0')
tensor(3.3912, device='cuda:0'),tensor(0.8746, device='cuda:0'),tensor(-2.8951, device='cuda:0'),tensor(-1.3172, device='cuda:0')
tensor(-1.3086, device='cuda:0'),tensor(-0.7515, device='cuda:0'),tensor(3.6475, device='cuda:0'),tensor(-1.9390, device='cuda:0')
tensor(5.7807, device='cuda:0'),tensor(-0.9000, device='cuda:0'),tensor(-3.7581, device='cuda:0'),tensor(-0.8188, device='cuda:0')
tensor(-2.0470, device='cuda:0'),tensor(0.5216, device='cuda:0'),tensor(1.2594, device='cuda:0'),tensor(-0.2262, device='cuda:0')
tensor(-0.0455, device='cuda:0'),tensor(0.5402, device='cuda:0'),tensor(1.9921, device='cuda:0'),tensor(-2.7464, device='cuda:0')
tensor(5.2187, device='cuda:0'),tensor(-0.7922, device='cuda:0'),tensor(-3.3762, device='cuda:0'),tensor(-0.7823, device='cuda:0')
tensor(4.4025, device='cuda:0'),tensor(-1.2692, device='cuda:0'),tensor(-0.7535, device='cuda:0'),tensor(-2.1453, device='cuda:0')
tensor(-1.6341, device='cuda:0'),tensor(0.4588, device='cuda:0'),tensor(2.5250, device='cuda:0'),tensor(-1.7421, device='cuda:0')
tensor(1.2949, device='cuda:0'),tensor(-0.0871, device='cuda:0'),tensor(-0.9937, device='cuda:0'),tensor(-0.3256, device='cuda:0')
tensor(1.7229, device='cuda:0'),tensor(-0.0435, device='cuda:0'),tensor(-0.6694, device='cuda:0'),tensor(-1.0567, device='cuda:0')
tensor(4.2210, device='cuda:0'),tensor(-0.6371, device='cuda:0'),tensor(-1.6863, device='cuda:0'),tensor(-1.8864, device='cuda:0')
tensor(3.9251, device='cuda:0'),tensor(-0.2312, device='cuda:0'),tensor(-2.5367, device='cuda:0'),tensor(-1.0180, device='cuda:0')
tensor(1.5146, device='cuda:0'),tensor(1.1668, device='cuda:0'),tensor(-2.0404, device='cuda:0'),tensor(-0.7702, device='cuda:0')
tensor(4.3729, device='cuda:0'),tensor(-0.9177, device='cuda:0'),tensor(-1.4826, device='cuda:0'),tensor(-1.8554, device='cuda:0')
tensor(-1.0965, device='cuda:0'),tensor(0.5486, device='cuda:0'),tensor(0.3829, device='cuda:0'),tensor(-0.1565, device='cuda:0')
tensor(-1.1168, device='cuda:0'),tensor(0.8576, device='cuda:0'),tensor(3.2176, device='cuda:0'),tensor(-3.3938, device='cuda:0')
tensor(0.3414, device='cuda:0'),tensor(1.8089, device='cuda:0'),tensor(-0.2255, device='cuda:0'),tensor(-2.1782, device='cuda:0')
tensor(2.7358, device='cuda:0'),tensor(-0.9123, device='cuda:0'),tensor(-1.6178, device='cuda:0'),tensor(-0.1547, device='cuda:0')
tensor(0.6106, device='cuda:0'),tensor(-0.8073, device='cuda:0'),tensor(0.1497, device='cuda:0'),tensor(-0.0194, device='cuda:0')
tensor(2.6127, device='cuda:0'),tensor(-1.5143, device='cuda:0'),tensor(0.4413, device='cuda:0'),tensor(-1.5268, device='cuda:0')
tensor(1.3699, device='cuda:0'),tensor(-0.2119, device='cuda:0'),tensor(-0.8684, device='cuda:0'),tensor(-0.3906, device='cuda:0')
tensor(3.8817, device='cuda:0'),tensor(-0.4171, device='cuda:0'),tensor(-1.3512, device='cuda:0'),tensor(-1.9637, device='cuda:0')
tensor(0.1405, device='cuda:0'),tensor(-0.3452, device='cuda:0'),tensor(-2.1157, device='cuda:0'),tensor(2.1413, device='cuda:0')
tensor(0.3671, device='cuda:0'),tensor(-0.1947, device='cuda:0'),tensor(0.7308, device='cuda:0'),tensor(-1.0420, device='cuda:0')
tensor(4.3223, device='cuda:0'),tensor(-0.4521, device='cuda:0'),tensor(-2.8849, device='cuda:0'),tensor(-0.8389, device='cuda:0')
tensor(-3.2436, device='cuda:0'),tensor(2.7799, device='cuda:0'),tensor(0.9713, device='cuda:0'),tensor(-1.1049, device='cuda:0')
tensor(-2.1456, device='cuda:0'),tensor(0.9163, device='cuda:0'),tensor(2.3217, device='cuda:0'),tensor(-1.6184, device='cuda:0')
tensor(4.0555, device='cuda:0'),tensor(-0.4097, device='cuda:0'),tensor(-3.5143, device='cuda:0'),tensor(-0.0400, device='cuda:0')
tensor(4.2872, device='cuda:0'),tensor(-1.7004, device='cuda:0'),tensor(-1.4727, device='cuda:0'),tensor(-0.9164, device='cuda:0')
