"tensor(2.7233, device='cuda:0')","tensor(-2.0491, device='cuda:0')","tensor(-0.4662, device='cuda:0')"
"tensor(6.0754, device='cuda:0')","tensor(-4.2889, device='cuda:0')","tensor(-1.5198, device='cuda:0')"
"tensor(2.5284, device='cuda:0')","tensor(-0.0434, device='cuda:0')","tensor(-2.2982, device='cuda:0')"
"tensor(-0.8907, device='cuda:0')","tensor(3.0824, device='cuda:0')","tensor(-1.7012, device='cuda:0')"
"tensor(4.1406, device='cuda:0')","tensor(-3.8351, device='cuda:0')","tensor(-0.2191, device='cuda:0')"
"tensor(2.8375, device='cuda:0')","tensor(-1.9801, device='cuda:0')","tensor(-0.6646, device='cuda:0')"
"tensor(3.6695, device='cuda:0')","tensor(-2.4360, device='cuda:0')","tensor(-0.9596, device='cuda:0')"
"tensor(4.0699, device='cuda:0')","tensor(-2.2940, device='cuda:0')","tensor(-1.5694, device='cuda:0')"
"tensor(0.2754, device='cuda:0')","tensor(-2.7507, device='cuda:0')","tensor(2.8242, device='cuda:0')"
"tensor(0.2669, device='cuda:0')","tensor(-2.7443, device='cuda:0')","tensor(2.8271, device='cuda:0')"
"tensor(1.6047, device='cuda:0')","tensor(-0.8030, device='cuda:0')","tensor(-0.5375, device='cuda:0')"
"tensor(3.0460, device='cuda:0')","tensor(-2.2882, device='cuda:0')","tensor(-0.6281, device='cuda:0')"
"tensor(-0.5151, device='cuda:0')","tensor(-2.8478, device='cuda:0')","tensor(3.5120, device='cuda:0')"
"tensor(1.4435, device='cuda:0')","tensor(-1.5890, device='cuda:0')","tensor(0.3319, device='cuda:0')"
"tensor(5.1165, device='cuda:0')","tensor(-3.7379, device='cuda:0')","tensor(-1.2163, device='cuda:0')"
"tensor(2.3100, device='cuda:0')","tensor(-1.2911, device='cuda:0')","tensor(-0.8882, device='cuda:0')"
"tensor(2.8734, device='cuda:0')","tensor(-2.3028, device='cuda:0')","tensor(-0.4605, device='cuda:0')"
"tensor(2.5675, device='cuda:0')","tensor(-1.7623, device='cuda:0')","tensor(-0.6525, device='cuda:0')"
"tensor(2.7206, device='cuda:0')","tensor(-2.0290, device='cuda:0')","tensor(-0.4855, device='cuda:0')"
"tensor(2.1041, device='cuda:0')","tensor(-0.8467, device='cuda:0')","tensor(-1.0585, device='cuda:0')"
