"tensor(3.7272, device='cuda:0')","tensor(-3.1033, device='cuda:0')","tensor(-0.4790, device='cuda:0')"
"tensor(4.6904, device='cuda:0')","tensor(-3.2051, device='cuda:0')","tensor(-1.1653, device='cuda:0')"
"tensor(4.9916, device='cuda:0')","tensor(-4.5752, device='cuda:0')","tensor(-0.2087, device='cuda:0')"
"tensor(5.8395, device='cuda:0')","tensor(-3.6773, device='cuda:0')","tensor(-1.7933, device='cuda:0')"
"tensor(5.2186, device='cuda:0')","tensor(-2.9636, device='cuda:0')","tensor(-2.1132, device='cuda:0')"
"tensor(3.3030, device='cuda:0')","tensor(-3.5762, device='cuda:0')","tensor(0.2760, device='cuda:0')"
"tensor(4.8181, device='cuda:0')","tensor(-3.9321, device='cuda:0')","tensor(-0.6112, device='cuda:0')"
"tensor(4.9788, device='cuda:0')","tensor(-3.4576, device='cuda:0')","tensor(-1.2521, device='cuda:0')"
"tensor(4.5868, device='cuda:0')","tensor(-5.0086, device='cuda:0')","tensor(0.4344, device='cuda:0')"
"tensor(4.8572, device='cuda:0')","tensor(-3.8797, device='cuda:0')","tensor(-0.7468, device='cuda:0')"
"tensor(5.2948, device='cuda:0')","tensor(-3.5747, device='cuda:0')","tensor(-1.4782, device='cuda:0')"
"tensor(5.5031, device='cuda:0')","tensor(-3.1695, device='cuda:0')","tensor(-2.0346, device='cuda:0')"
"tensor(3.1332, device='cuda:0')","tensor(-3.4321, device='cuda:0')","tensor(0.2968, device='cuda:0')"
"tensor(5.6619, device='cuda:0')","tensor(-4.1630, device='cuda:0')","tensor(-1.1836, device='cuda:0')"
"tensor(3.7593, device='cuda:0')","tensor(-4.1061, device='cuda:0')","tensor(0.4641, device='cuda:0')"
"tensor(2.5232, device='cuda:0')","tensor(-2.3831, device='cuda:0')","tensor(-0.2566, device='cuda:0')"
"tensor(3.4524, device='cuda:0')","tensor(-3.5916, device='cuda:0')","tensor(0.1702, device='cuda:0')"
"tensor(4.1416, device='cuda:0')","tensor(-2.3701, device='cuda:0')","tensor(-1.4037, device='cuda:0')"
"tensor(2.3566, device='cuda:0')","tensor(-3.5161, device='cuda:0')","tensor(1.2268, device='cuda:0')"
"tensor(2.8966, device='cuda:0')","tensor(-4.0363, device='cuda:0')","tensor(1.1717, device='cuda:0')"
"tensor(3.1127, device='cuda:0')","tensor(-4.0065, device='cuda:0')","tensor(0.9637, device='cuda:0')"
"tensor(5.3314, device='cuda:0')","tensor(-3.9008, device='cuda:0')","tensor(-1.1039, device='cuda:0')"
