tensor(1.6471, device='cuda:0'),tensor(1.8323, device='cuda:0'),tensor(-1.2495, device='cuda:0'),tensor(-1.0122, device='cuda:0')
tensor(4.2657, device='cuda:0'),tensor(-0.3355, device='cuda:0'),tensor(-1.6745, device='cuda:0'),tensor(-0.8143, device='cuda:0')
tensor(3.6913, device='cuda:0'),tensor(-0.5384, device='cuda:0'),tensor(-1.2045, device='cuda:0'),tensor(-0.6646, device='cuda:0')
tensor(3.4602, device='cuda:0'),tensor(0.6848, device='cuda:0'),tensor(-2.0185, device='cuda:0'),tensor(-1.0340, device='cuda:0')
tensor(1.1768, device='cuda:0'),tensor(-0.2687, device='cuda:0'),tensor(-0.3371, device='cuda:0'),tensor(-0.1397, device='cuda:0')
tensor(1.7678, device='cuda:0'),tensor(-0.4608, device='cuda:0'),tensor(-0.9923, device='cuda:0'),tensor(0.0479, device='cuda:0')
tensor(4.5639, device='cuda:0'),tensor(-0.6222, device='cuda:0'),tensor(-1.0841, device='cuda:0'),tensor(-1.6081, device='cuda:0')
tensor(-0.0308, device='cuda:0'),tensor(0.1171, device='cuda:0'),tensor(-0.2547, device='cuda:0'),tensor(0.2280, device='cuda:0')
tensor(1.1334, device='cuda:0'),tensor(-0.0619, device='cuda:0'),tensor(-0.8030, device='cuda:0'),tensor(-0.0601, device='cuda:0')
tensor(0.2535, device='cuda:0'),tensor(-0.5313, device='cuda:0'),tensor(0.4253, device='cuda:0'),tensor(-0.0399, device='cuda:0')
tensor(-1.8243, device='cuda:0'),tensor(0.9972, device='cuda:0'),tensor(1.6789, device='cuda:0'),tensor(-0.4844, device='cuda:0')
tensor(1.7075, device='cuda:0'),tensor(-0.0791, device='cuda:0'),tensor(-0.5819, device='cuda:0'),tensor(-0.7910, device='cuda:0')
tensor(1.0701, device='cuda:0'),tensor(2.3937, device='cuda:0'),tensor(-1.2240, device='cuda:0'),tensor(-1.1437, device='cuda:0')
tensor(2.6216, device='cuda:0'),tensor(0.0792, device='cuda:0'),tensor(-0.6267, device='cuda:0'),tensor(-1.3741, device='cuda:0')
tensor(4.2774, device='cuda:0'),tensor(-0.2096, device='cuda:0'),tensor(-1.8904, device='cuda:0'),tensor(-0.8172, device='cuda:0')
