"tensor(4.8923, device='cuda:0')","tensor(-3.0591, device='cuda:0')","tensor(-1.2468, device='cuda:0')"
"tensor(2.4995, device='cuda:0')","tensor(-1.6523, device='cuda:0')","tensor(-0.3605, device='cuda:0')"
"tensor(5.3932, device='cuda:0')","tensor(-4.2420, device='cuda:0')","tensor(-0.5446, device='cuda:0')"
"tensor(6.5253, device='cuda:0')","tensor(-3.8161, device='cuda:0')","tensor(-2.0406, device='cuda:0')"
"tensor(5.0104, device='cuda:0')","tensor(-2.6889, device='cuda:0')","tensor(-1.7518, device='cuda:0')"
"tensor(3.3813, device='cuda:0')","tensor(-2.4670, device='cuda:0')","tensor(-0.4807, device='cuda:0')"
"tensor(4.4604, device='cuda:0')","tensor(-3.4584, device='cuda:0')","tensor(-0.6077, device='cuda:0')"
"tensor(5.4604, device='cuda:0')","tensor(-3.6261, device='cuda:0')","tensor(-1.2163, device='cuda:0')"
"tensor(5.3438, device='cuda:0')","tensor(-3.3820, device='cuda:0')","tensor(-1.2359, device='cuda:0')"
"tensor(4.2622, device='cuda:0')","tensor(-3.3375, device='cuda:0')","tensor(-0.3108, device='cuda:0')"
"tensor(6.4402, device='cuda:0')","tensor(-3.5181, device='cuda:0')","tensor(-2.2175, device='cuda:0')"
"tensor(5.6308, device='cuda:0')","tensor(-3.0412, device='cuda:0')","tensor(-1.9248, device='cuda:0')"
"tensor(3.2281, device='cuda:0')","tensor(-2.9734, device='cuda:0')","tensor(0.1797, device='cuda:0')"
"tensor(5.5978, device='cuda:0')","tensor(-4.1181, device='cuda:0')","tensor(-0.7367, device='cuda:0')"
"tensor(3.4686, device='cuda:0')","tensor(-3.1863, device='cuda:0')","tensor(0.2452, device='cuda:0')"
"tensor(1.7655, device='cuda:0')","tensor(-0.7304, device='cuda:0')","tensor(-0.6989, device='cuda:0')"
"tensor(3.1855, device='cuda:0')","tensor(-2.9916, device='cuda:0')","tensor(0.2633, device='cuda:0')"
"tensor(4.2633, device='cuda:0')","tensor(-2.3097, device='cuda:0')","tensor(-1.5243, device='cuda:0')"
"tensor(1.1974, device='cuda:0')","tensor(-2.1122, device='cuda:0')","tensor(1.3076, device='cuda:0')"
"tensor(2.4363, device='cuda:0')","tensor(-2.5868, device='cuda:0')","tensor(0.5729, device='cuda:0')"
"tensor(2.9259, device='cuda:0')","tensor(-2.7614, device='cuda:0')","tensor(0.2966, device='cuda:0')"
"tensor(5.0380, device='cuda:0')","tensor(-3.7873, device='cuda:0')","tensor(-0.5063, device='cuda:0')"
"tensor(2.5230, device='cuda:0')","tensor(-3.5328, device='cuda:0')","tensor(1.4144, device='cuda:0')"
"tensor(3.6878, device='cuda:0')","tensor(-3.6122, device='cuda:0')","tensor(0.3174, device='cuda:0')"
"tensor(5.9435, device='cuda:0')","tensor(-4.1007, device='cuda:0')","tensor(-1.1403, device='cuda:0')"
"tensor(5.9355, device='cuda:0')","tensor(-3.8057, device='cuda:0')","tensor(-1.4978, device='cuda:0')"
"tensor(4.3682, device='cuda:0')","tensor(-3.5440, device='cuda:0')","tensor(-0.2516, device='cuda:0')"
"tensor(3.2879, device='cuda:0')","tensor(-3.0132, device='cuda:0')","tensor(0.1968, device='cuda:0')"
"tensor(6.5469, device='cuda:0')","tensor(-4.4627, device='cuda:0')","tensor(-1.3002, device='cuda:0')"
"tensor(5.2866, device='cuda:0')","tensor(-3.1050, device='cuda:0')","tensor(-1.5365, device='cuda:0')"
"tensor(3.9028, device='cuda:0')","tensor(-3.6684, device='cuda:0')","tensor(0.2608, device='cuda:0')"
"tensor(4.9820, device='cuda:0')","tensor(-3.7050, device='cuda:0')","tensor(-0.6929, device='cuda:0')"
"tensor(7.5126, device='cuda:0')","tensor(-5.2251, device='cuda:0')","tensor(-1.4786, device='cuda:0')"
"tensor(-2.2936, device='cuda:0')","tensor(-1.1285, device='cuda:0')","tensor(3.4456, device='cuda:0')"
"tensor(1.4825, device='cuda:0')","tensor(-3.7518, device='cuda:0')","tensor(2.6610, device='cuda:0')"
"tensor(4.0109, device='cuda:0')","tensor(-2.8431, device='cuda:0')","tensor(-0.7042, device='cuda:0')"
"tensor(5.2860, device='cuda:0')","tensor(-2.9807, device='cuda:0')","tensor(-1.6823, device='cuda:0')"
"tensor(4.1662, device='cuda:0')","tensor(-3.0032, device='cuda:0')","tensor(-0.7071, device='cuda:0')"
"tensor(2.9341, device='cuda:0')","tensor(-2.6448, device='cuda:0')","tensor(0.1346, device='cuda:0')"
"tensor(4.0448, device='cuda:0')","tensor(-3.0576, device='cuda:0')","tensor(-0.4403, device='cuda:0')"
"tensor(3.8088, device='cuda:0')","tensor(-2.9666, device='cuda:0')","tensor(-0.4049, device='cuda:0')"
"tensor(4.5750, device='cuda:0')","tensor(-3.5687, device='cuda:0')","tensor(-0.4032, device='cuda:0')"
"tensor(3.4142, device='cuda:0')","tensor(-1.7227, device='cuda:0')","tensor(-1.2150, device='cuda:0')"
"tensor(2.6398, device='cuda:0')","tensor(-2.7395, device='cuda:0')","tensor(0.5274, device='cuda:0')"
"tensor(4.6817, device='cuda:0')","tensor(-2.7729, device='cuda:0')","tensor(-1.3437, device='cuda:0')"
"tensor(5.0593, device='cuda:0')","tensor(-3.4901, device='cuda:0')","tensor(-0.8536, device='cuda:0')"
"tensor(5.0663, device='cuda:0')","tensor(-3.7209, device='cuda:0')","tensor(-0.8465, device='cuda:0')"
"tensor(5.4792, device='cuda:0')","tensor(-2.4036, device='cuda:0')","tensor(-2.4419, device='cuda:0')"
"tensor(3.4211, device='cuda:0')","tensor(-3.2483, device='cuda:0')","tensor(0.3853, device='cuda:0')"
"tensor(3.6821, device='cuda:0')","tensor(-2.5148, device='cuda:0')","tensor(-0.6550, device='cuda:0')"
"tensor(5.5605, device='cuda:0')","tensor(-2.9179, device='cuda:0')","tensor(-2.0338, device='cuda:0')"
"tensor(4.2673, device='cuda:0')","tensor(-3.8008, device='cuda:0')","tensor(0.1078, device='cuda:0')"
