tensor(4.7280, device='cuda:0'),tensor(0.4028, device='cuda:0'),tensor(-3.5686, device='cuda:0'),tensor(-2.2360, device='cuda:0')
tensor(5.5532, device='cuda:0'),tensor(-1.1081, device='cuda:0'),tensor(-3.7805, device='cuda:0'),tensor(-1.4507, device='cuda:0')
tensor(5.8835, device='cuda:0'),tensor(-0.7044, device='cuda:0'),tensor(-3.7637, device='cuda:0'),tensor(-2.1405, device='cuda:0')
tensor(5.9614, device='cuda:0'),tensor(-1.5005, device='cuda:0'),tensor(-3.1803, device='cuda:0'),tensor(-2.0342, device='cuda:0')
tensor(5.0312, device='cuda:0'),tensor(-0.6651, device='cuda:0'),tensor(-2.6354, device='cuda:0'),tensor(-2.3081, device='cuda:0')
tensor(5.9490, device='cuda:0'),tensor(-1.0274, device='cuda:0'),tensor(-3.3550, device='cuda:0'),tensor(-2.1769, device='cuda:0')
tensor(5.9197, device='cuda:0'),tensor(-0.1850, device='cuda:0'),tensor(-3.3840, device='cuda:0'),tensor(-3.1405, device='cuda:0')
tensor(5.1121, device='cuda:0'),tensor(-0.5235, device='cuda:0'),tensor(-3.2484, device='cuda:0'),tensor(-1.9310, device='cuda:0')
tensor(5.6025, device='cuda:0'),tensor(-0.2801, device='cuda:0'),tensor(-3.6343, device='cuda:0'),tensor(-2.3430, device='cuda:0')
tensor(5.3257, device='cuda:0'),tensor(-0.7181, device='cuda:0'),tensor(-2.9705, device='cuda:0'),tensor(-2.2437, device='cuda:0')
tensor(-1.9495, device='cuda:0'),tensor(-1.6971, device='cuda:0'),tensor(3.9503, device='cuda:0'),tensor(-0.9812, device='cuda:0')
tensor(5.5337, device='cuda:0'),tensor(-1.1077, device='cuda:0'),tensor(-2.9492, device='cuda:0'),tensor(-2.0954, device='cuda:0')
tensor(2.5848, device='cuda:0'),tensor(1.2027, device='cuda:0'),tensor(-3.1512, device='cuda:0'),tensor(-1.2470, device='cuda:0')
tensor(6.4058, device='cuda:0'),tensor(-0.9631, device='cuda:0'),tensor(-3.4933, device='cuda:0'),tensor(-2.6300, device='cuda:0')
tensor(5.2693, device='cuda:0'),tensor(-0.6046, device='cuda:0'),tensor(-3.2192, device='cuda:0'),tensor(-2.1174, device='cuda:0')
tensor(4.6526, device='cuda:0'),tensor(-0.8464, device='cuda:0'),tensor(-2.8418, device='cuda:0'),tensor(-1.5504, device='cuda:0')
tensor(5.2479, device='cuda:0'),tensor(-0.4948, device='cuda:0'),tensor(-3.5677, device='cuda:0'),tensor(-2.0444, device='cuda:0')
tensor(-1.6850, device='cuda:0'),tensor(0.4873, device='cuda:0'),tensor(2.1394, device='cuda:0'),tensor(-1.4141, device='cuda:0')
tensor(-1.8313, device='cuda:0'),tensor(0.3588, device='cuda:0'),tensor(2.8880, device='cuda:0'),tensor(-2.0087, device='cuda:0')
tensor(-1.9794, device='cuda:0'),tensor(-1.8326, device='cuda:0'),tensor(4.3345, device='cuda:0'),tensor(-1.0679, device='cuda:0')
tensor(4.5213, device='cuda:0'),tensor(-1.0662, device='cuda:0'),tensor(-2.7227, device='cuda:0'),tensor(-1.4385, device='cuda:0')
tensor(-2.3762, device='cuda:0'),tensor(-1.6864, device='cuda:0'),tensor(4.7641, device='cuda:0'),tensor(-1.2698, device='cuda:0')
tensor(6.3469, device='cuda:0'),tensor(-2.3352, device='cuda:0'),tensor(-3.8160, device='cuda:0'),tensor(-1.0831, device='cuda:0')
tensor(5.1486, device='cuda:0'),tensor(-0.5443, device='cuda:0'),tensor(-2.9936, device='cuda:0'),tensor(-2.2196, device='cuda:0')
tensor(-1.7481, device='cuda:0'),tensor(-1.3700, device='cuda:0'),tensor(4.5463, device='cuda:0'),tensor(-2.0630, device='cuda:0')
tensor(5.2295, device='cuda:0'),tensor(-0.6968, device='cuda:0'),tensor(-3.1061, device='cuda:0'),tensor(-2.0232, device='cuda:0')
tensor(5.3873, device='cuda:0'),tensor(-0.4773, device='cuda:0'),tensor(-3.3278, device='cuda:0'),tensor(-2.1836, device='cuda:0')
tensor(3.1084, device='cuda:0'),tensor(0.6900, device='cuda:0'),tensor(-2.9621, device='cuda:0'),tensor(-1.4532, device='cuda:0')
tensor(-0.8526, device='cuda:0'),tensor(-1.7297, device='cuda:0'),tensor(3.0815, device='cuda:0'),tensor(-1.0339, device='cuda:0')
tensor(-1.9472, device='cuda:0'),tensor(-1.5320, device='cuda:0'),tensor(4.0454, device='cuda:0'),tensor(-1.1333, device='cuda:0')
tensor(1.9375, device='cuda:0'),tensor(-1.8527, device='cuda:0'),tensor(-0.8161, device='cuda:0'),tensor(0.0449, device='cuda:0')
tensor(-1.4795, device='cuda:0'),tensor(-2.3484, device='cuda:0'),tensor(4.1321, device='cuda:0'),tensor(-0.8586, device='cuda:0')
tensor(5.4308, device='cuda:0'),tensor(-0.8390, device='cuda:0'),tensor(-3.3095, device='cuda:0'),tensor(-1.9926, device='cuda:0')
tensor(-1.4951, device='cuda:0'),tensor(-2.1836, device='cuda:0'),tensor(4.3369, device='cuda:0'),tensor(-1.2206, device='cuda:0')
tensor(-2.3155, device='cuda:0'),tensor(0.3476, device='cuda:0'),tensor(3.1052, device='cuda:0'),tensor(-1.7141, device='cuda:0')
tensor(3.4477, device='cuda:0'),tensor(-2.0191, device='cuda:0'),tensor(-1.9060, device='cuda:0'),tensor(-0.1971, device='cuda:0')
tensor(-0.9335, device='cuda:0'),tensor(-1.4095, device='cuda:0'),tensor(3.3486, device='cuda:0'),tensor(-1.5078, device='cuda:0')
tensor(-2.4782, device='cuda:0'),tensor(0.2724, device='cuda:0'),tensor(1.7384, device='cuda:0'),tensor(-0.1789, device='cuda:0')
tensor(-1.7996, device='cuda:0'),tensor(-2.0061, device='cuda:0'),tensor(4.3299, device='cuda:0'),tensor(-1.0788, device='cuda:0')
tensor(4.0068, device='cuda:0'),tensor(1.0859, device='cuda:0'),tensor(-3.7726, device='cuda:0'),tensor(-1.9758, device='cuda:0')
tensor(5.8436, device='cuda:0'),tensor(-0.6892, device='cuda:0'),tensor(-3.2467, device='cuda:0'),tensor(-2.5364, device='cuda:0')
tensor(5.1315, device='cuda:0'),tensor(-0.9495, device='cuda:0'),tensor(-2.4293, device='cuda:0'),tensor(-2.3297, device='cuda:0')
tensor(-1.4975, device='cuda:0'),tensor(-1.5546, device='cuda:0'),tensor(3.6128, device='cuda:0'),tensor(-1.1136, device='cuda:0')
tensor(-1.7923, device='cuda:0'),tensor(-2.2218, device='cuda:0'),tensor(4.7007, device='cuda:0'),tensor(-1.2341, device='cuda:0')
tensor(5.5376, device='cuda:0'),tensor(-0.9457, device='cuda:0'),tensor(-2.9939, device='cuda:0'),tensor(-2.1925, device='cuda:0')
tensor(-1.9239, device='cuda:0'),tensor(-1.9844, device='cuda:0'),tensor(4.3441, device='cuda:0'),tensor(-1.0063, device='cuda:0')
tensor(-1.3850, device='cuda:0'),tensor(-2.0184, device='cuda:0'),tensor(4.4245, device='cuda:0'),tensor(-1.6146, device='cuda:0')
tensor(5.3488, device='cuda:0'),tensor(-1.3098, device='cuda:0'),tensor(-2.8047, device='cuda:0'),tensor(-1.8807, device='cuda:0')
tensor(5.4231, device='cuda:0'),tensor(-0.7168, device='cuda:0'),tensor(-3.0311, device='cuda:0'),tensor(-2.2695, device='cuda:0')
tensor(3.6500, device='cuda:0'),tensor(-1.0300, device='cuda:0'),tensor(-2.3418, device='cuda:0'),tensor(-0.8437, device='cuda:0')
tensor(-1.7760, device='cuda:0'),tensor(-1.8061, device='cuda:0'),tensor(4.0678, device='cuda:0'),tensor(-1.0788, device='cuda:0')
