"tensor(2.6914, device='cuda:0')","tensor(-1.5753, device='cuda:0')","tensor(-0.8987, device='cuda:0')"
"tensor(4.2817, device='cuda:0')","tensor(-3.1978, device='cuda:0')","tensor(-0.9991, device='cuda:0')"
"tensor(3.4253, device='cuda:0')","tensor(-1.6096, device='cuda:0')","tensor(-1.6333, device='cuda:0')"
"tensor(1.2176, device='cuda:0')","tensor(1.4851, device='cuda:0')","tensor(-2.2220, device='cuda:0')"
"tensor(2.2993, device='cuda:0')","tensor(-0.6030, device='cuda:0')","tensor(-1.4955, device='cuda:0')"
"tensor(1.9869, device='cuda:0')","tensor(-1.7717, device='cuda:0')","tensor(-0.1380, device='cuda:0')"
"tensor(1.0827, device='cuda:0')","tensor(-1.2540, device='cuda:0')","tensor(0.2349, device='cuda:0')"
"tensor(3.4727, device='cuda:0')","tensor(-2.6974, device='cuda:0')","tensor(-0.6610, device='cuda:0')"
"tensor(0.9550, device='cuda:0')","tensor(-2.2399, device='cuda:0')","tensor(1.4184, device='cuda:0')"
"tensor(0.8116, device='cuda:0')","tensor(-1.8140, device='cuda:0')","tensor(1.1616, device='cuda:0')"
"tensor(0.5718, device='cuda:0')","tensor(-0.3264, device='cuda:0')","tensor(-0.1717, device='cuda:0')"
"tensor(1.1099, device='cuda:0')","tensor(-2.8175, device='cuda:0')","tensor(1.7528, device='cuda:0')"
"tensor(3.3525, device='cuda:0')","tensor(-2.2644, device='cuda:0')","tensor(-0.9451, device='cuda:0')"
"tensor(1.5868, device='cuda:0')","tensor(-1.7822, device='cuda:0')","tensor(0.2593, device='cuda:0')"
"tensor(3.0399, device='cuda:0')","tensor(-2.0389, device='cuda:0')","tensor(-0.8639, device='cuda:0')"
"tensor(1.8932, device='cuda:0')","tensor(-0.5385, device='cuda:0')","tensor(-1.0692, device='cuda:0')"
"tensor(1.4989, device='cuda:0')","tensor(-1.8787, device='cuda:0')","tensor(0.4017, device='cuda:0')"
"tensor(2.3024, device='cuda:0')","tensor(-1.0809, device='cuda:0')","tensor(-1.0576, device='cuda:0')"
"tensor(3.6972, device='cuda:0')","tensor(-2.1407, device='cuda:0')","tensor(-1.4196, device='cuda:0')"
"tensor(3.6752, device='cuda:0')","tensor(-2.6718, device='cuda:0')","tensor(-0.9355, device='cuda:0')"
"tensor(-0.1509, device='cuda:0')","tensor(-0.7949, device='cuda:0')","tensor(1.1184, device='cuda:0')"
"tensor(0.6341, device='cuda:0')","tensor(0.9308, device='cuda:0')","tensor(-1.2368, device='cuda:0')"
"tensor(2.3926, device='cuda:0')","tensor(-1.2626, device='cuda:0')","tensor(-0.8815, device='cuda:0')"
"tensor(2.0505, device='cuda:0')","tensor(-0.2892, device='cuda:0')","tensor(-1.5141, device='cuda:0')"
"tensor(1.3429, device='cuda:0')","tensor(-0.2882, device='cuda:0')","tensor(-0.8472, device='cuda:0')"
"tensor(-1.0881, device='cuda:0')","tensor(3.2967, device='cuda:0')","tensor(-1.6228, device='cuda:0')"
"tensor(1.0633, device='cuda:0')","tensor(0.6842, device='cuda:0')","tensor(-1.3668, device='cuda:0')"
"tensor(3.3063, device='cuda:0')","tensor(-1.8374, device='cuda:0')","tensor(-1.2829, device='cuda:0')"
"tensor(2.2239, device='cuda:0')","tensor(-2.0031, device='cuda:0')","tensor(-0.1432, device='cuda:0')"
"tensor(1.0585, device='cuda:0')","tensor(-0.9801, device='cuda:0')","tensor(0.1079, device='cuda:0')"
"tensor(3.7208, device='cuda:0')","tensor(-1.8927, device='cuda:0')","tensor(-1.6950, device='cuda:0')"
"tensor(1.5287, device='cuda:0')","tensor(-1.8313, device='cuda:0')","tensor(0.3588, device='cuda:0')"
"tensor(3.6229, device='cuda:0')","tensor(-2.2939, device='cuda:0')","tensor(-1.2005, device='cuda:0')"
"tensor(0.8050, device='cuda:0')","tensor(-2.8193, device='cuda:0')","tensor(1.9071, device='cuda:0')"
"tensor(2.8434, device='cuda:0')","tensor(-0.0741, device='cuda:0')","tensor(-2.5503, device='cuda:0')"
"tensor(4.8046, device='cuda:0')","tensor(-1.1574, device='cuda:0')","tensor(-3.3516, device='cuda:0')"
"tensor(2.5447, device='cuda:0')","tensor(-1.7872, device='cuda:0')","tensor(-0.6635, device='cuda:0')"
"tensor(3.4528, device='cuda:0')","tensor(-1.9809, device='cuda:0')","tensor(-1.2979, device='cuda:0')"
"tensor(1.9253, device='cuda:0')","tensor(-1.4906, device='cuda:0')","tensor(-0.3325, device='cuda:0')"
"tensor(1.1213, device='cuda:0')","tensor(-2.1431, device='cuda:0')","tensor(1.0398, device='cuda:0')"
"tensor(2.3734, device='cuda:0')","tensor(-1.3814, device='cuda:0')","tensor(-0.8741, device='cuda:0')"
"tensor(1.6724, device='cuda:0')","tensor(-0.8465, device='cuda:0')","tensor(-0.6935, device='cuda:0')"
"tensor(3.1839, device='cuda:0')","tensor(-1.9267, device='cuda:0')","tensor(-1.0625, device='cuda:0')"
"tensor(1.7050, device='cuda:0')","tensor(-0.9597, device='cuda:0')","tensor(-0.6128, device='cuda:0')"
"tensor(2.9103, device='cuda:0')","tensor(-0.6577, device='cuda:0')","tensor(-2.0021, device='cuda:0')"
"tensor(2.0216, device='cuda:0')","tensor(-0.1144, device='cuda:0')","tensor(-1.5511, device='cuda:0')"
"tensor(4.8282, device='cuda:0')","tensor(-2.3601, device='cuda:0')","tensor(-2.1836, device='cuda:0')"
"tensor(3.0315, device='cuda:0')","tensor(-2.0687, device='cuda:0')","tensor(-0.9555, device='cuda:0')"
"tensor(0.3926, device='cuda:0')","tensor(-0.0650, device='cuda:0')","tensor(-0.1103, device='cuda:0')"
"tensor(2.6839, device='cuda:0')","tensor(-1.0473, device='cuda:0')","tensor(-1.4264, device='cuda:0')"
"tensor(5.5646, device='cuda:0')","tensor(-3.3688, device='cuda:0')","tensor(-2.0145, device='cuda:0')"
"tensor(1.3588, device='cuda:0')","tensor(0.5557, device='cuda:0')","tensor(-1.6239, device='cuda:0')"
"tensor(1.4729, device='cuda:0')","tensor(-0.1776, device='cuda:0')","tensor(-0.9398, device='cuda:0')"
"tensor(3.5351, device='cuda:0')","tensor(-2.5164, device='cuda:0')","tensor(-0.9043, device='cuda:0')"
"tensor(0.6177, device='cuda:0')","tensor(0.5787, device='cuda:0')","tensor(-0.8873, device='cuda:0')"
"tensor(3.7449, device='cuda:0')","tensor(-2.8780, device='cuda:0')","tensor(-0.8323, device='cuda:0')"
"tensor(1.4194, device='cuda:0')","tensor(-0.6729, device='cuda:0')","tensor(-0.6483, device='cuda:0')"
"tensor(2.6771, device='cuda:0')","tensor(-0.6797, device='cuda:0')","tensor(-1.8082, device='cuda:0')"
"tensor(1.5048, device='cuda:0')","tensor(-0.5908, device='cuda:0')","tensor(-0.7355, device='cuda:0')"
"tensor(2.0273, device='cuda:0')","tensor(-0.6320, device='cuda:0')","tensor(-1.1066, device='cuda:0')"
"tensor(-0.6022, device='cuda:0')","tensor(1.1043, device='cuda:0')","tensor(-0.2342, device='cuda:0')"
"tensor(1.4813, device='cuda:0')","tensor(-1.8359, device='cuda:0')","tensor(0.4606, device='cuda:0')"
"tensor(0.6385, device='cuda:0')","tensor(-1.7112, device='cuda:0')","tensor(1.1732, device='cuda:0')"
"tensor(0.3459, device='cuda:0')","tensor(0.5244, device='cuda:0')","tensor(-0.6611, device='cuda:0')"
"tensor(2.1936, device='cuda:0')","tensor(-2.4473, device='cuda:0')","tensor(0.3601, device='cuda:0')"
"tensor(-0.7094, device='cuda:0')","tensor(0.1887, device='cuda:0')","tensor(0.7036, device='cuda:0')"
"tensor(4.9425, device='cuda:0')","tensor(-2.5345, device='cuda:0')","tensor(-2.2234, device='cuda:0')"
"tensor(1.2617, device='cuda:0')","tensor(-1.5442, device='cuda:0')","tensor(0.4190, device='cuda:0')"
"tensor(2.9184, device='cuda:0')","tensor(-2.2247, device='cuda:0')","tensor(-0.5412, device='cuda:0')"
"tensor(1.4360, device='cuda:0')","tensor(-1.2451, device='cuda:0')","tensor(0.0529, device='cuda:0')"
"tensor(1.7067, device='cuda:0')","tensor(-1.8082, device='cuda:0')","tensor(0.1780, device='cuda:0')"
"tensor(2.3296, device='cuda:0')","tensor(-1.4176, device='cuda:0')","tensor(-0.7982, device='cuda:0')"
"tensor(1.6638, device='cuda:0')","tensor(-0.7795, device='cuda:0')","tensor(-0.8157, device='cuda:0')"
"tensor(0.3904, device='cuda:0')","tensor(0.1364, device='cuda:0')","tensor(-0.3264, device='cuda:0')"
"tensor(2.2718, device='cuda:0')","tensor(-0.3981, device='cuda:0')","tensor(-1.6470, device='cuda:0')"
"tensor(0.3121, device='cuda:0')","tensor(-2.0273, device='cuda:0')","tensor(1.7625, device='cuda:0')"
"tensor(3.2766, device='cuda:0')","tensor(-3.0058, device='cuda:0')","tensor(-0.1986, device='cuda:0')"
"tensor(2.9704, device='cuda:0')","tensor(-1.7979, device='cuda:0')","tensor(-1.0367, device='cuda:0')"
"tensor(5.0495, device='cuda:0')","tensor(-3.2868, device='cuda:0')","tensor(-1.6763, device='cuda:0')"
"tensor(0.3679, device='cuda:0')","tensor(-0.7665, device='cuda:0')","tensor(0.5695, device='cuda:0')"
"tensor(1.4800, device='cuda:0')","tensor(-1.1314, device='cuda:0')","tensor(-0.2096, device='cuda:0')"
"tensor(3.3181, device='cuda:0')","tensor(-0.5883, device='cuda:0')","tensor(-2.3265, device='cuda:0')"
"tensor(2.8837, device='cuda:0')","tensor(-3.4480, device='cuda:0')","tensor(0.6551, device='cuda:0')"
"tensor(1.7143, device='cuda:0')","tensor(-0.9439, device='cuda:0')","tensor(-0.6212, device='cuda:0')"
"tensor(0.8675, device='cuda:0')","tensor(-1.0620, device='cuda:0')","tensor(0.3426, device='cuda:0')"
"tensor(2.0546, device='cuda:0')","tensor(0.2005, device='cuda:0')","tensor(-1.9593, device='cuda:0')"
"tensor(1.1019, device='cuda:0')","tensor(-1.8560, device='cuda:0')","tensor(0.8780, device='cuda:0')"
"tensor(1.9571, device='cuda:0')","tensor(-0.8133, device='cuda:0')","tensor(-0.8829, device='cuda:0')"
"tensor(2.5809, device='cuda:0')","tensor(-2.0087, device='cuda:0')","tensor(-0.4674, device='cuda:0')"
"tensor(2.2896, device='cuda:0')","tensor(-1.0106, device='cuda:0')","tensor(-1.0574, device='cuda:0')"
"tensor(3.1439, device='cuda:0')","tensor(-1.4130, device='cuda:0')","tensor(-1.5112, device='cuda:0')"
"tensor(2.2354, device='cuda:0')","tensor(-1.8584, device='cuda:0')","tensor(-0.2468, device='cuda:0')"
"tensor(2.6937, device='cuda:0')","tensor(-1.5455, device='cuda:0')","tensor(-1.0842, device='cuda:0')"
"tensor(1.9915, device='cuda:0')","tensor(-1.7613, device='cuda:0')","tensor(-0.1097, device='cuda:0')"
"tensor(3.6972, device='cuda:0')","tensor(-2.2813, device='cuda:0')","tensor(-1.3251, device='cuda:0')"
"tensor(1.8700, device='cuda:0')","tensor(-2.0330, device='cuda:0')","tensor(0.2891, device='cuda:0')"
"tensor(0.8338, device='cuda:0')","tensor(-1.8744, device='cuda:0')","tensor(0.9798, device='cuda:0')"
"tensor(1.0199, device='cuda:0')","tensor(-0.9337, device='cuda:0')","tensor(0.0715, device='cuda:0')"
"tensor(-0.8066, device='cuda:0')","tensor(2.1204, device='cuda:0')","tensor(-0.8985, device='cuda:0')"
