"tensor(4.7526, device='cuda:0')","tensor(-3.2140, device='cuda:0')","tensor(-1.5920, device='cuda:0')"
"tensor(2.3170, device='cuda:0')","tensor(-2.7737, device='cuda:0')","tensor(0.0879, device='cuda:0')"
"tensor(5.3646, device='cuda:0')","tensor(-5.0266, device='cuda:0')","tensor(-0.5196, device='cuda:0')"
"tensor(6.2822, device='cuda:0')","tensor(-3.3049, device='cuda:0')","tensor(-2.9163, device='cuda:0')"
"tensor(5.1038, device='cuda:0')","tensor(-3.0972, device='cuda:0')","tensor(-2.0659, device='cuda:0')"
"tensor(2.4925, device='cuda:0')","tensor(-3.1313, device='cuda:0')","tensor(0.2381, device='cuda:0')"
"tensor(5.7629, device='cuda:0')","tensor(-5.8034, device='cuda:0')","tensor(-0.0868, device='cuda:0')"
"tensor(5.3418, device='cuda:0')","tensor(-3.9847, device='cuda:0')","tensor(-1.4670, device='cuda:0')"
"tensor(3.7640, device='cuda:0')","tensor(-6.5829, device='cuda:0')","tensor(2.1844, device='cuda:0')"
"tensor(4.6133, device='cuda:0')","tensor(-4.4109, device='cuda:0')","tensor(-0.4037, device='cuda:0')"
"tensor(5.9979, device='cuda:0')","tensor(-3.1503, device='cuda:0')","tensor(-2.7086, device='cuda:0')"
"tensor(7.1674, device='cuda:0')","tensor(-4.2251, device='cuda:0')","tensor(-2.7290, device='cuda:0')"
"tensor(3.5203, device='cuda:0')","tensor(-3.4410, device='cuda:0')","tensor(-0.4160, device='cuda:0')"
"tensor(5.5726, device='cuda:0')","tensor(-5.2795, device='cuda:0')","tensor(-0.4076, device='cuda:0')"
"tensor(2.9034, device='cuda:0')","tensor(-3.9952, device='cuda:0')","tensor(0.6507, device='cuda:0')"
"tensor(2.2776, device='cuda:0')","tensor(-2.2170, device='cuda:0')","tensor(-0.3731, device='cuda:0')"
"tensor(3.7825, device='cuda:0')","tensor(-4.3359, device='cuda:0')","tensor(0.2616, device='cuda:0')"
"tensor(4.0485, device='cuda:0')","tensor(-1.2329, device='cuda:0')","tensor(-2.9305, device='cuda:0')"
"tensor(1.7891, device='cuda:0')","tensor(-2.9193, device='cuda:0')","tensor(0.8025, device='cuda:0')"
"tensor(2.2798, device='cuda:0')","tensor(-3.7434, device='cuda:0')","tensor(0.9394, device='cuda:0')"
"tensor(2.6478, device='cuda:0')","tensor(-3.7779, device='cuda:0')","tensor(0.6488, device='cuda:0')"
"tensor(4.7650, device='cuda:0')","tensor(-4.5393, device='cuda:0')","tensor(-0.4451, device='cuda:0')"
"tensor(2.9654, device='cuda:0')","tensor(-4.6340, device='cuda:0')","tensor(1.0336, device='cuda:0')"
"tensor(4.3908, device='cuda:0')","tensor(-3.4833, device='cuda:0')","tensor(-0.9750, device='cuda:0')"
"tensor(5.1627, device='cuda:0')","tensor(-4.5346, device='cuda:0')","tensor(-0.7190, device='cuda:0')"
"tensor(6.6595, device='cuda:0')","tensor(-4.6896, device='cuda:0')","tensor(-1.8283, device='cuda:0')"
"tensor(4.4726, device='cuda:0')","tensor(-4.3372, device='cuda:0')","tensor(-0.3279, device='cuda:0')"
"tensor(3.7825, device='cuda:0')","tensor(-4.3359, device='cuda:0')","tensor(0.2616, device='cuda:0')"
"tensor(7.1467, device='cuda:0')","tensor(-4.4743, device='cuda:0')","tensor(-2.5614, device='cuda:0')"
"tensor(5.7157, device='cuda:0')","tensor(-4.2509, device='cuda:0')","tensor(-1.5058, device='cuda:0')"
"tensor(3.4122, device='cuda:0')","tensor(-4.1782, device='cuda:0')","tensor(0.3604, device='cuda:0')"
"tensor(5.8305, device='cuda:0')","tensor(-4.6118, device='cuda:0')","tensor(-1.1492, device='cuda:0')"
"tensor(10.1599, device='cuda:0')","tensor(-5.8011, device='cuda:0')","tensor(-3.5748, device='cuda:0')"
"tensor(-0.7873, device='cuda:0')","tensor(-1.9799, device='cuda:0')","tensor(1.9709, device='cuda:0')"
"tensor(0.2941, device='cuda:0')","tensor(-4.5573, device='cuda:0')","tensor(3.2293, device='cuda:0')"
"tensor(4.0233, device='cuda:0')","tensor(-4.0627, device='cuda:0')","tensor(-0.2484, device='cuda:0')"
"tensor(5.5792, device='cuda:0')","tensor(-4.1964, device='cuda:0')","tensor(-1.4095, device='cuda:0')"
"tensor(4.2390, device='cuda:0')","tensor(-2.9847, device='cuda:0')","tensor(-1.3670, device='cuda:0')"
"tensor(3.2217, device='cuda:0')","tensor(-2.3549, device='cuda:0')","tensor(-1.0363, device='cuda:0')"
"tensor(4.1668, device='cuda:0')","tensor(-3.2862, device='cuda:0')","tensor(-0.9978, device='cuda:0')"
"tensor(3.6542, device='cuda:0')","tensor(-3.7971, device='cuda:0')","tensor(-0.0784, device='cuda:0')"
"tensor(4.7129, device='cuda:0')","tensor(-4.4824, device='cuda:0')","tensor(-0.3531, device='cuda:0')"
"tensor(4.7315, device='cuda:0')","tensor(-1.5223, device='cuda:0')","tensor(-3.1463, device='cuda:0')"
"tensor(3.7329, device='cuda:0')","tensor(-4.3792, device='cuda:0')","tensor(0.3376, device='cuda:0')"
"tensor(5.5490, device='cuda:0')","tensor(-3.3081, device='cuda:0')","tensor(-2.1398, device='cuda:0')"
"tensor(1.7051, device='cuda:0')","tensor(-2.6869, device='cuda:0')","tensor(0.5229, device='cuda:0')"
"tensor(5.9066, device='cuda:0')","tensor(-3.6146, device='cuda:0')","tensor(-2.4243, device='cuda:0')"
"tensor(5.7463, device='cuda:0')","tensor(-2.0362, device='cuda:0')","tensor(-3.4346, device='cuda:0')"
"tensor(3.1480, device='cuda:0')","tensor(-3.8409, device='cuda:0')","tensor(0.2716, device='cuda:0')"
"tensor(3.6422, device='cuda:0')","tensor(-2.2512, device='cuda:0')","tensor(-1.5838, device='cuda:0')"
"tensor(5.9693, device='cuda:0')","tensor(-4.1492, device='cuda:0')","tensor(-1.6988, device='cuda:0')"
"tensor(3.7804, device='cuda:0')","tensor(-4.0645, device='cuda:0')","tensor(-0.0444, device='cuda:0')"
"tensor(6.2033, device='cuda:0')","tensor(-4.2291, device='cuda:0')","tensor(-1.8159, device='cuda:0')"
"tensor(4.9574, device='cuda:0')","tensor(-4.4472, device='cuda:0')","tensor(-0.7179, device='cuda:0')"
"tensor(4.6567, device='cuda:0')","tensor(-3.8266, device='cuda:0')","tensor(-1.0282, device='cuda:0')"
"tensor(2.9342, device='cuda:0')","tensor(-4.3921, device='cuda:0')","tensor(1.0039, device='cuda:0')"
"tensor(3.7641, device='cuda:0')","tensor(-0.4000, device='cuda:0')","tensor(-3.4549, device='cuda:0')"
"tensor(4.2390, device='cuda:0')","tensor(-2.9847, device='cuda:0')","tensor(-1.3670, device='cuda:0')"
"tensor(2.8904, device='cuda:0')","tensor(-3.4720, device='cuda:0')","tensor(0.1530, device='cuda:0')"
"tensor(5.3410, device='cuda:0')","tensor(-4.0464, device='cuda:0')","tensor(-1.3187, device='cuda:0')"
"tensor(2.9518, device='cuda:0')","tensor(-3.9506, device='cuda:0')","tensor(0.5462, device='cuda:0')"
"tensor(6.5593, device='cuda:0')","tensor(-4.9002, device='cuda:0')","tensor(-1.5249, device='cuda:0')"
"tensor(8.5855, device='cuda:0')","tensor(-4.9155, device='cuda:0')","tensor(-3.2230, device='cuda:0')"
"tensor(5.8068, device='cuda:0')","tensor(-3.5614, device='cuda:0')","tensor(-2.1768, device='cuda:0')"
"tensor(1.6501, device='cuda:0')","tensor(-2.2357, device='cuda:0')","tensor(0.0730, device='cuda:0')"
"tensor(4.2390, device='cuda:0')","tensor(-2.9847, device='cuda:0')","tensor(-1.3670, device='cuda:0')"
"tensor(3.0026, device='cuda:0')","tensor(-1.4043, device='cuda:0')","tensor(-1.8784, device='cuda:0')"
"tensor(5.7287, device='cuda:0')","tensor(-3.9986, device='cuda:0')","tensor(-1.6301, device='cuda:0')"
"tensor(6.0415, device='cuda:0')","tensor(-4.3327, device='cuda:0')","tensor(-1.8099, device='cuda:0')"
"tensor(2.9402, device='cuda:0')","tensor(-4.9073, device='cuda:0')","tensor(1.4037, device='cuda:0')"
"tensor(5.1713, device='cuda:0')","tensor(-4.1994, device='cuda:0')","tensor(-0.9929, device='cuda:0')"
"tensor(4.7612, device='cuda:0')","tensor(-4.0969, device='cuda:0')","tensor(-0.7605, device='cuda:0')"
"tensor(4.2355, device='cuda:0')","tensor(-4.4647, device='cuda:0')","tensor(-0.1642, device='cuda:0')"
"tensor(4.8718, device='cuda:0')","tensor(-3.7177, device='cuda:0')","tensor(-1.3076, device='cuda:0')"
"tensor(1.8794, device='cuda:0')","tensor(-2.2891, device='cuda:0')","tensor(0.0362, device='cuda:0')"
"tensor(6.5355, device='cuda:0')","tensor(-3.9512, device='cuda:0')","tensor(-2.2927, device='cuda:0')"
"tensor(3.3841, device='cuda:0')","tensor(-4.1868, device='cuda:0')","tensor(0.5150, device='cuda:0')"
"tensor(-1.6533, device='cuda:0')","tensor(1.1684, device='cuda:0')","tensor(-0.4461, device='cuda:0')"
"tensor(4.2184, device='cuda:0')","tensor(-4.2019, device='cuda:0')","tensor(-0.2197, device='cuda:0')"
"tensor(2.8781, device='cuda:0')","tensor(-2.9223, device='cuda:0')","tensor(-0.3045, device='cuda:0')"
"tensor(0.3773, device='cuda:0')","tensor(-4.8901, device='cuda:0')","tensor(3.3848, device='cuda:0')"
"tensor(4.3993, device='cuda:0')","tensor(-4.6248, device='cuda:0')","tensor(-0.1981, device='cuda:0')"
"tensor(4.6909, device='cuda:0')","tensor(-4.5189, device='cuda:0')","tensor(-0.3410, device='cuda:0')"
"tensor(5.7973, device='cuda:0')","tensor(-4.9608, device='cuda:0')","tensor(-0.9217, device='cuda:0')"
"tensor(2.3337, device='cuda:0')","tensor(-3.7405, device='cuda:0')","tensor(0.8868, device='cuda:0')"
"tensor(4.8629, device='cuda:0')","tensor(-4.9439, device='cuda:0')","tensor(-0.1802, device='cuda:0')"
"tensor(4.3660, device='cuda:0')","tensor(-2.1602, device='cuda:0')","tensor(-2.3241, device='cuda:0')"
"tensor(5.9913, device='cuda:0')","tensor(-4.0387, device='cuda:0')","tensor(-1.8674, device='cuda:0')"
"tensor(5.3281, device='cuda:0')","tensor(-4.9053, device='cuda:0')","tensor(-0.5248, device='cuda:0')"
"tensor(6.2194, device='cuda:0')","tensor(-3.0572, device='cuda:0')","tensor(-3.0324, device='cuda:0')"
"tensor(3.8022, device='cuda:0')","tensor(-4.2227, device='cuda:0')","tensor(0.0526, device='cuda:0')"
"tensor(2.8025, device='cuda:0')","tensor(-4.5339, device='cuda:0')","tensor(1.2516, device='cuda:0')"
"tensor(3.7589, device='cuda:0')","tensor(-4.1995, device='cuda:0')","tensor(0.1705, device='cuda:0')"
