"tensor(5.8984, device='cuda:0')","tensor(-0.9090, device='cuda:0')","tensor(-4.6708, device='cuda:0')"
"tensor(5.6872, device='cuda:0')","tensor(0.1626, device='cuda:0')","tensor(-5.5725, device='cuda:0')"
"tensor(6.4681, device='cuda:0')","tensor(-3.0243, device='cuda:0')","tensor(-3.2083, device='cuda:0')"
"tensor(8.2056, device='cuda:0')","tensor(-1.7651, device='cuda:0')","tensor(-5.7703, device='cuda:0')"
"tensor(6.9158, device='cuda:0')","tensor(-1.5941, device='cuda:0')","tensor(-4.7819, device='cuda:0')"
"tensor(2.8771, device='cuda:0')","tensor(-0.7280, device='cuda:0')","tensor(-2.4031, device='cuda:0')"
"tensor(6.3906, device='cuda:0')","tensor(-2.4892, device='cuda:0')","tensor(-3.8244, device='cuda:0')"
"tensor(6.4489, device='cuda:0')","tensor(-2.4179, device='cuda:0')","tensor(-3.8120, device='cuda:0')"
"tensor(6.5615, device='cuda:0')","tensor(-2.0433, device='cuda:0')","tensor(-4.3422, device='cuda:0')"
"tensor(5.9026, device='cuda:0')","tensor(-3.3238, device='cuda:0')","tensor(-2.2485, device='cuda:0')"
"tensor(6.8213, device='cuda:0')","tensor(-0.7124, device='cuda:0')","tensor(-5.8879, device='cuda:0')"
"tensor(7.2184, device='cuda:0')","tensor(-2.7783, device='cuda:0')","tensor(-3.8887, device='cuda:0')"
"tensor(4.2225, device='cuda:0')","tensor(-2.1871, device='cuda:0')","tensor(-1.9605, device='cuda:0')"
"tensor(6.7681, device='cuda:0')","tensor(-3.2374, device='cuda:0')","tensor(-3.2080, device='cuda:0')"
"tensor(4.9730, device='cuda:0')","tensor(-2.2733, device='cuda:0')","tensor(-2.4777, device='cuda:0')"
"tensor(2.7909, device='cuda:0')","tensor(-0.4164, device='cuda:0')","tensor(-2.3049, device='cuda:0')"
"tensor(4.7965, device='cuda:0')","tensor(-2.7539, device='cuda:0')","tensor(-1.8801, device='cuda:0')"
"tensor(4.5962, device='cuda:0')","tensor(-0.2073, device='cuda:0')","tensor(-4.1365, device='cuda:0')"
"tensor(2.3299, device='cuda:0')","tensor(-1.8309, device='cuda:0')","tensor(-0.3151, device='cuda:0')"
"tensor(3.8821, device='cuda:0')","tensor(-1.8503, device='cuda:0')","tensor(-1.9056, device='cuda:0')"
"tensor(4.5250, device='cuda:0')","tensor(-1.9300, device='cuda:0')","tensor(-2.4201, device='cuda:0')"
"tensor(7.0548, device='cuda:0')","tensor(-3.2677, device='cuda:0')","tensor(-3.2476, device='cuda:0')"
"tensor(5.4905, device='cuda:0')","tensor(-3.2327, device='cuda:0')","tensor(-2.1344, device='cuda:0')"
"tensor(4.0798, device='cuda:0')","tensor(-1.9625, device='cuda:0')","tensor(-2.0352, device='cuda:0')"
"tensor(7.4411, device='cuda:0')","tensor(-3.1202, device='cuda:0')","tensor(-3.7605, device='cuda:0')"
"tensor(7.4503, device='cuda:0')","tensor(-2.4096, device='cuda:0')","tensor(-4.5225, device='cuda:0')"
"tensor(5.7877, device='cuda:0')","tensor(-2.1015, device='cuda:0')","tensor(-3.4158, device='cuda:0')"
"tensor(5.0369, device='cuda:0')","tensor(-2.8634, device='cuda:0')","tensor(-2.0085, device='cuda:0')"
"tensor(6.6823, device='cuda:0')","tensor(-2.1962, device='cuda:0')","tensor(-4.1861, device='cuda:0')"
"tensor(7.0237, device='cuda:0')","tensor(-1.6112, device='cuda:0')","tensor(-4.9979, device='cuda:0')"
"tensor(5.0248, device='cuda:0')","tensor(-2.5714, device='cuda:0')","tensor(-2.2939, device='cuda:0')"
"tensor(6.2200, device='cuda:0')","tensor(-2.4523, device='cuda:0')","tensor(-3.5251, device='cuda:0')"
"tensor(9.4597, device='cuda:0')","tensor(-3.8611, device='cuda:0')","tensor(-4.9208, device='cuda:0')"
"tensor(-1.6347, device='cuda:0')","tensor(-0.5338, device='cuda:0')","tensor(1.8002, device='cuda:0')"
"tensor(2.1903, device='cuda:0')","tensor(-3.5419, device='cuda:0')","tensor(1.2591, device='cuda:0')"
"tensor(5.5802, device='cuda:0')","tensor(-1.8910, device='cuda:0')","tensor(-3.4172, device='cuda:0')"
"tensor(6.4744, device='cuda:0')","tensor(-1.8274, device='cuda:0')","tensor(-4.2683, device='cuda:0')"
"tensor(4.9539, device='cuda:0')","tensor(-1.3962, device='cuda:0')","tensor(-3.4121, device='cuda:0')"
"tensor(3.8933, device='cuda:0')","tensor(-1.6035, device='cuda:0')","tensor(-2.1050, device='cuda:0')"
