tensor(4.1135, device='cuda:0'),tensor(1.3803, device='cuda:0'),tensor(-2.8593, device='cuda:0'),tensor(-1.8390, device='cuda:0')
tensor(4.8807, device='cuda:0'),tensor(-0.2036, device='cuda:0'),tensor(-3.1820, device='cuda:0'),tensor(-1.2109, device='cuda:0')
tensor(4.1438, device='cuda:0'),tensor(0.0289, device='cuda:0'),tensor(-2.7378, device='cuda:0'),tensor(-1.1401, device='cuda:0')
tensor(4.7620, device='cuda:0'),tensor(-0.2484, device='cuda:0'),tensor(-3.1647, device='cuda:0'),tensor(-0.7733, device='cuda:0')
tensor(2.7201, device='cuda:0'),tensor(-0.0595, device='cuda:0'),tensor(-1.6601, device='cuda:0'),tensor(-0.7888, device='cuda:0')
tensor(3.7036, device='cuda:0'),tensor(-0.2349, device='cuda:0'),tensor(-2.4080, device='cuda:0'),tensor(-0.7265, device='cuda:0')
tensor(5.8578, device='cuda:0'),tensor(-0.2508, device='cuda:0'),tensor(-3.0717, device='cuda:0'),tensor(-2.1970, device='cuda:0')
tensor(2.2571, device='cuda:0'),tensor(0.1389, device='cuda:0'),tensor(-1.7924, device='cuda:0'),tensor(-0.4286, device='cuda:0')
tensor(3.3388, device='cuda:0'),tensor(0.3331, device='cuda:0'),tensor(-2.4606, device='cuda:0'),tensor(-1.0616, device='cuda:0')
tensor(2.4768, device='cuda:0'),tensor(0.0371, device='cuda:0'),tensor(-1.3964, device='cuda:0'),tensor(-0.8968, device='cuda:0')
tensor(-3.7760, device='cuda:0'),tensor(0.6505, device='cuda:0'),tensor(4.2683, device='cuda:0'),tensor(-1.6826, device='cuda:0')
tensor(3.5640, device='cuda:0'),tensor(-0.1656, device='cuda:0'),tensor(-2.2990, device='cuda:0'),tensor(-0.8161, device='cuda:0')
tensor(1.3873, device='cuda:0'),tensor(3.2142, device='cuda:0'),tensor(-2.0149, device='cuda:0'),tensor(-2.2719, device='cuda:0')
tensor(4.3807, device='cuda:0'),tensor(-0.1834, device='cuda:0'),tensor(-2.7458, device='cuda:0'),tensor(-1.0858, device='cuda:0')
tensor(4.3862, device='cuda:0'),tensor(0.0479, device='cuda:0'),tensor(-2.6454, device='cuda:0'),tensor(-1.4398, device='cuda:0')
