"tensor(0.7956, device='cuda:0')","tensor(-0.3130, device='cuda:0')","tensor(-0.2068, device='cuda:0')"
"tensor(1.8021, device='cuda:0')","tensor(-1.7378, device='cuda:0')","tensor(0.0099, device='cuda:0')"
"tensor(0.7971, device='cuda:0')","tensor(-0.0200, device='cuda:0')","tensor(-0.5373, device='cuda:0')"
"tensor(-0.8011, device='cuda:0')","tensor(1.8676, device='cuda:0')","tensor(-0.6633, device='cuda:0')"
"tensor(1.0468, device='cuda:0')","tensor(-1.3001, device='cuda:0')","tensor(0.5826, device='cuda:0')"
"tensor(0.3339, device='cuda:0')","tensor(-0.5958, device='cuda:0')","tensor(0.4844, device='cuda:0')"
"tensor(0.7714, device='cuda:0')","tensor(-0.6931, device='cuda:0')","tensor(0.0587, device='cuda:0')"
"tensor(0.3559, device='cuda:0')","tensor(-0.4742, device='cuda:0')","tensor(0.3029, device='cuda:0')"
"tensor(0.7252, device='cuda:0')","tensor(-1.1718, device='cuda:0')","tensor(0.6752, device='cuda:0')"
"tensor(0.7253, device='cuda:0')","tensor(-1.1726, device='cuda:0')","tensor(0.6761, device='cuda:0')"
"tensor(-0.6422, device='cuda:0')","tensor(0.2633, device='cuda:0')","tensor(0.4945, device='cuda:0')"
"tensor(0.0713, device='cuda:0')","tensor(-0.5751, device='cuda:0')","tensor(0.7299, device='cuda:0')"
"tensor(0.1099, device='cuda:0')","tensor(-1.2440, device='cuda:0')","tensor(1.2949, device='cuda:0')"
"tensor(0.3428, device='cuda:0')","tensor(-0.8306, device='cuda:0')","tensor(0.7102, device='cuda:0')"
"tensor(0.7552, device='cuda:0')","tensor(-1.1583, device='cuda:0')","tensor(0.6197, device='cuda:0')"
"tensor(1.3784, device='cuda:0')","tensor(-0.7065, device='cuda:0')","tensor(-0.5003, device='cuda:0')"
"tensor(0.4061, device='cuda:0')","tensor(-0.2868, device='cuda:0')","tensor(0.1506, device='cuda:0')"
"tensor(-0.0163, device='cuda:0')","tensor(0.1396, device='cuda:0')","tensor(0.1591, device='cuda:0')"
"tensor(0.7898, device='cuda:0')","tensor(-0.3028, device='cuda:0')","tensor(-0.2141, device='cuda:0')"
"tensor(-0.1246, device='cuda:0')","tensor(0.6991, device='cuda:0')","tensor(-0.2030, device='cuda:0')"
"tensor(0.3625, device='cuda:0')","tensor(-0.1260, device='cuda:0')","tensor(-0.0337, device='cuda:0')"
"tensor(-0.4150, device='cuda:0')","tensor(1.0042, device='cuda:0')","tensor(-0.2495, device='cuda:0')"
"tensor(0.2927, device='cuda:0')","tensor(0.1933, device='cuda:0')","tensor(-0.2165, device='cuda:0')"
"tensor(0.3874, device='cuda:0')","tensor(0.0853, device='cuda:0')","tensor(-0.2660, device='cuda:0')"
"tensor(-0.2146, device='cuda:0')","tensor(0.2578, device='cuda:0')","tensor(0.1258, device='cuda:0')"
