"tensor(2.8274, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.1133, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-3.1241, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(2.7422, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-3.1777, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.7665, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(3.5206, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-3.8675, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.4716, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(4.8923, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.0165, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-4.1383, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(2.0992, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.2632, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.8086, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(3.1682, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-4.1465, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.1791, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(1.6394, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.8316, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.0235, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(3.0025, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.2040, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.0657, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(1.1361, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.9784, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.2692, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(1.1309, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.2956, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.0142, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(4.3877, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-4.7178, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.8577, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(2.3293, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.6458, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.9479, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(1.4707, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.3910, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.9385, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(2.1527, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.0359, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.5487, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(1.8852, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.4056, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.6828, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(2.0198, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-3.1712, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.3123, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(11.0141, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-5.7203, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-6.2296, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(2.0441, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.3073, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.6635, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(4.6381, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-3.0004, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.7245, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(4.2979, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.9231, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-3.5339, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(1.9142, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.8738, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.8367, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(2.8927, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.2372, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.2342, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(3.6186, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-4.0164, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.5184, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(3.2216, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.6703, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.1505, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(2.1946, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.4783, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.7798, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(1.7533, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-3.2518, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(0.3949, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(2.3110, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.7011, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.9926, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(3.8900, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.7006, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.7366, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(0.9299, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-3.0696, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(0.6820, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(3.3450, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-4.2433, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.0808, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(2.3288, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-4.3058, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(0.6596, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(2.2647, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-3.4309, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.0847, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(2.7224, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.3457, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.3225, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(2.1619, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.5517, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.2324, device='cuda:0', grad_fn=<UnbindBackward0>)"
