"tensor(-0.1603, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(0.0107, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(0.0967, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(0.0490, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-3.0867, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.1815, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.3974, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(5.0981, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(1.9725, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.1149, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.1405, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(0.0435, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-0.8063, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.8410, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.0889, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(4.2584, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(0.9346, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.9798, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.5380, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(0.6236, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(3.6084, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.6875, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.4870, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.5847, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-1.5635, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.2560, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.4593, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(1.9239, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-0.7757, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.2586, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(1.0939, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(0.4394, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-0.0696, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.3104, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(0.1848, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(0.0821, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(0.5963, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.8096, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.1198, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(0.0737, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-0.0708, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.2965, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(0.1809, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(0.0738, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(3.2933, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(0.4550, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.9419, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.8854, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(2.6476, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.2809, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.2795, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(1.2325, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(3.8307, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.2304, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.3719, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.7800, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(3.8889, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(1.1051, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-3.2658, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.9270, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(2.5267, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.2880, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(0.2294, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.4737, device='cuda:0', grad_fn=<UnbindBackward0>)"
