"tensor(8.2308, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-3.7581, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.1553, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(8.9083, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-3.7494, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-3.3320, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(10.1851, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-4.3083, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-3.5366, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(16.3036, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-5.5767, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-5.2450, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(8.7784, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-4.6791, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.3670, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(6.9621, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-5.7365, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(1.9540, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(6.4599, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-6.1280, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(3.1374, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(7.0092, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-5.2850, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(1.9555, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(10.1135, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-5.2713, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.3346, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(7.7034, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-4.5666, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.0146, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(10.7837, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-5.4280, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.6729, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(9.5385, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-4.2348, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.0688, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(6.8135, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.5529, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.1942, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(8.3621, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-4.5204, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-4.8943, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(12.7995, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(1.7037, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-7.6126, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(10.5032, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-7.1869, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(1.4077, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(8.4807, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.7875, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.5812, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(9.9315, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-4.7964, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.9431, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(7.8951, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-4.7150, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(0.1590, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(11.8501, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.3134, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.6748, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(4.3282, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.7464, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.4851, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(8.2538, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-4.2026, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.7243, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(11.1489, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-7.9397, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(0.5994, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(6.4610, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-4.3845, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(0.7183, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(14.6039, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.9257, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-5.1320, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(7.7768, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-4.0990, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.7185, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(17.3944, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-6.8760, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-3.3718, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(11.9130, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-4.7192, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-5.0598, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(6.7206, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.6770, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.1544, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(15.3775, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-7.9919, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(0.3378, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(6.3750, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-5.6078, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(2.4692, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(8.0331, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-4.2373, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.7456, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(11.1362, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-4.1985, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-3.3351, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(10.2048, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-4.5736, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.6615, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(2.7541, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-4.2726, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(3.1343, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(11.0918, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-4.8441, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-3.0091, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(6.3550, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-3.7204, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.5568, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(6.5692, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.4747, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.7288, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(9.3164, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-4.3262, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.4160, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(6.2434, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-3.4469, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.2178, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(9.1645, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-5.6365, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(1.7392, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(2.6289, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.0117, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(0.6916, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(6.7089, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-6.2548, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(2.0107, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(6.7052, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-5.1759, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(1.4246, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(9.6226, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-6.3930, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(0.3617, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(12.2747, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-5.5815, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-6.3189, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(7.1992, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-4.1591, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.0438, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(8.1747, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-3.8652, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.8720, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(7.3270, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-3.9289, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(0.0425, device='cuda:0', grad_fn=<UnbindBackward0>)"
