"tensor(1.5669, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(0.0317, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.6267, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(6.0861, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-3.5102, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.3460, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(3.5839, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.8516, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.8458, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(10.0988, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.9471, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-5.8409, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(3.7888, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.6632, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(0.4224, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(5.6239, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-3.8858, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.4580, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(3.7061, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.6633, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.7906, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(4.8928, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.9958, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.0783, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(3.0259, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.1322, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.3655, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(5.6532, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-3.3931, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.1868, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(5.7483, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-4.0440, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.2250, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(7.1775, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-3.2005, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.9664, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-0.7346, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(2.1313, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.7640, device='cuda:0', grad_fn=<UnbindBackward0>)"
