"tensor(-0.3783, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(3.4863, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.6455, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.4243, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-1.8862, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.1190, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.4980, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(3.2259, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(2.8152, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(1.5377, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.4592, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.6238, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-0.9792, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.5526, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.0444, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(3.7668, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(1.4025, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.3216, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.5169, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(0.5769, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(4.1348, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(0.6046, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.9370, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.2959, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-2.1512, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.0866, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(0.1462, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(1.8746, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-1.8426, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.5634, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.0488, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(2.2687, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-2.1477, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.3198, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(3.4784, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.6855, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(3.9114, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(1.3696, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.9394, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.1410, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-2.4867, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.4273, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(3.8788, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.8426, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(2.6955, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(1.6621, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.0605, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.7357, device='cuda:0', grad_fn=<UnbindBackward0>)"
