"tensor(3.0627, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.8813, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.3792, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(7.0133, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-4.0545, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.8019, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(4.5622, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-3.3155, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.7824, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(6.6064, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-4.6625, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.0796, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(2.1960, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.3618, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(1.0161, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(5.4618, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-3.2302, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.1766, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(4.8349, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.2341, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-3.1847, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(11.9185, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-9.1761, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(0.0944, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(3.2201, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.1122, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.6991, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(3.0458, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.4054, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(0.3629, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(4.2808, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.8248, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.5931, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(7.0517, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-3.2094, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.3724, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(2.6784, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.2696, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.6939, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(6.3453, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-3.0668, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.7582, device='cuda:0', grad_fn=<UnbindBackward0>)"
