"tensor(-1.4318, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(3.3235, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(0.4125, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.7810, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-2.1854, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.6685, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.9411, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(3.9311, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(2.9948, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(0.7324, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.8758, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.0814, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-1.6153, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.2670, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.6268, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(5.7360, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(1.1927, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.6490, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.2915, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(0.7058, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(3.3656, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(0.1318, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.8911, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.7806, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-2.1282, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.6605, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.2592, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(3.6008, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-1.6507, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.1896, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.4708, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(2.7101, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-2.4409, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.7382, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(3.4351, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.6613, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(3.4420, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(0.1232, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.4147, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.6635, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-4.9799, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(0.6973, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(5.1893, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.5222, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(3.8675, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(0.3024, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.5656, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-3.6735, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(3.5570, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.0654, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.1618, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.9159, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(6.0185, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.3127, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-3.0614, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.0515, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(3.2244, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(2.6469, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-4.1783, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.3550, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-2.1666, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.8244, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(3.0241, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.8255, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-2.6508, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.7460, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.9048, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(4.7696, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(2.6522, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.3936, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.8754, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.3830, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-1.1837, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.3459, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(2.9549, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.3750, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-3.3321, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.0387, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.7736, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(6.1218, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(4.7915, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(0.2334, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-3.3408, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.7842, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(1.3495, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(1.5596, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.8193, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.1275, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-2.7342, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.0394, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(3.2666, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.9201, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-2.0545, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.4561, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(3.9797, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.3477, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-3.3623, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.1590, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(4.8601, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.8439, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-2.2091, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(0.0053, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(1.8507, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.5332, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-3.0325, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.8607, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(3.8981, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.8149, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-0.3227, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.2108, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(1.6807, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.5850, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(5.4657, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(0.6190, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-3.0308, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.2693, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-1.9255, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(4.3772, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(0.2915, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.0001, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(0.7259, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(1.3332, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.7797, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.4443, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(2.8950, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.3702, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.2385, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.6546, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-1.2795, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(2.0998, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.3850, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(0.6336, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-2.4410, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.2120, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(3.9846, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.3174, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-3.8053, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.2879, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(6.5458, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-3.0845, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-0.1823, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(0.1971, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.7111, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(1.5423, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(0.7463, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.8722, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-3.9138, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(4.1310, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-2.8107, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.8792, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(2.8414, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.7835, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-0.6051, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.3359, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.4837, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(4.7145, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(5.3769, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.7083, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-3.0361, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.9770, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-1.5614, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.3458, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.3565, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(3.6221, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-2.5262, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.9454, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(3.3540, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.8228, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(3.1043, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(0.5253, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.3781, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.2610, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-0.9403, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.9199, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(2.4200, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.3867, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-1.1243, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(4.5288, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(0.5284, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-3.2332, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(3.4262, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.1169, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.2414, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.5616, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(3.6877, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.4439, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.4793, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.6200, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-0.0218, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(0.4533, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(0.8922, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.0391, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(3.5813, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(0.2858, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.4479, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.7587, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(0.6006, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(2.5457, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.2189, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.5846, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(0.9742, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(1.1914, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.9176, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(0.1869, device='cuda:0', grad_fn=<UnbindBackward0>)"
