"tensor(-2.3570, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(4.4011, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(0.4124, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.8633, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-2.0376, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.3469, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.2856, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(3.1680, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(2.2111, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(0.1946, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.6070, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.1438, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-1.6594, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.2412, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.5820, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(6.0774, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(1.1583, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.2928, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.7455, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(0.6381, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(4.1327, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(0.7074, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.7164, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.1637, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-3.2536, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.5555, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(0.0754, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(4.3338, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-2.1642, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.4509, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.6437, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(3.6582, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-2.7409, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.2664, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(3.1856, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.0320, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(2.5623, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(1.0780, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.2437, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.7051, device='cuda:0', grad_fn=<UnbindBackward0>)"
