{'lr': 0.003, 'lr2': 0.001, 'num_heads': [8], 'hidden_units': 8, 'dropout': 0.6, 'weight_decay': 0.001, 'weight_decay2': 0.001, 'num_epochs': 50, 'num_epochs1': 117, 'patience': 100}
Created directory results\IMDB_2022-11-20_10-23-36
dataset loaded
{'dataset': 'ACM',
 'test': 0.8174627319744447,
 'train': 0.09126863401277761,
 'val': 0.09126863401277761}
bbbbb
aaaaaaaaaaaaaaaaaaaaaaa
Epoch 1 | Train Loss 1.0999 | Train Micro f1 0.2967 | Train Macro f1 0.2418 | Val Loss 1.0990 | Val Micro f1 0.3167 | Val Macro f1 0.2472
Epoch 2 | Train Loss 1.0983 | Train Micro f1 0.3833 | Train Macro f1 0.3278 | Val Loss 1.0979 | Val Micro f1 0.3233 | Val Macro f1 0.2551
Epoch 3 | Train Loss 1.0979 | Train Micro f1 0.3667 | Train Macro f1 0.3293 | Val Loss 1.0967 | Val Micro f1 0.3300 | Val Macro f1 0.2641
Epoch 4 | Train Loss 1.0968 | Train Micro f1 0.3633 | Train Macro f1 0.3233 | Val Loss 1.0956 | Val Micro f1 0.3433 | Val Macro f1 0.2835
Epoch 5 | Train Loss 1.0893 | Train Micro f1 0.4200 | Train Macro f1 0.3874 | Val Loss 1.0944 | Val Micro f1 0.3533 | Val Macro f1 0.3089
Epoch 6 | Train Loss 1.0841 | Train Micro f1 0.4367 | Train Macro f1 0.4249 | Val Loss 1.0933 | Val Micro f1 0.3700 | Val Macro f1 0.3442
Epoch 7 | Train Loss 1.0857 | Train Micro f1 0.4533 | Train Macro f1 0.4457 | Val Loss 1.0921 | Val Micro f1 0.4100 | Val Macro f1 0.3883
Epoch 8 | Train Loss 1.0824 | Train Micro f1 0.5133 | Train Macro f1 0.5075 | Val Loss 1.0910 | Val Micro f1 0.4300 | Val Macro f1 0.4169
Epoch 9 | Train Loss 1.0791 | Train Micro f1 0.5367 | Train Macro f1 0.5308 | Val Loss 1.0899 | Val Micro f1 0.4600 | Val Macro f1 0.4528
Epoch 10 | Train Loss 1.0782 | Train Micro f1 0.5467 | Train Macro f1 0.5414 | Val Loss 1.0888 | Val Micro f1 0.4767 | Val Macro f1 0.4710
Epoch 11 | Train Loss 1.0757 | Train Micro f1 0.5767 | Train Macro f1 0.5744 | Val Loss 1.0877 | Val Micro f1 0.5033 | Val Macro f1 0.4961
Epoch 12 | Train Loss 1.0755 | Train Micro f1 0.5600 | Train Macro f1 0.5606 | Val Loss 1.0865 | Val Micro f1 0.5233 | Val Macro f1 0.5103
Epoch 13 | Train Loss 1.0726 | Train Micro f1 0.5600 | Train Macro f1 0.5598 | Val Loss 1.0854 | Val Micro f1 0.5433 | Val Macro f1 0.5264
Epoch 14 | Train Loss 1.0691 | Train Micro f1 0.5833 | Train Macro f1 0.5831 | Val Loss 1.0842 | Val Micro f1 0.5700 | Val Macro f1 0.5474
Epoch 15 | Train Loss 1.0653 | Train Micro f1 0.6200 | Train Macro f1 0.6168 | Val Loss 1.0830 | Val Micro f1 0.5767 | Val Macro f1 0.5466
Epoch 16 | Train Loss 1.0620 | Train Micro f1 0.6433 | Train Macro f1 0.6359 | Val Loss 1.0817 | Val Micro f1 0.5767 | Val Macro f1 0.5445
