"tensor(-0.5754, device='cuda:0')","tensor(-0.8267, device='cuda:0')"
"tensor(-2.5810, device='cuda:0')","tensor(-0.0787, device='cuda:0')"
"tensor(-0.0163, device='cuda:0')","tensor(-4.1249, device='cuda:0')"
"tensor(-0.1892, device='cuda:0')","tensor(-1.7579, device='cuda:0')"
"tensor(-0.2134, device='cuda:0')","tensor(-1.6495, device='cuda:0')"
"tensor(-0.2203, device='cuda:0')","tensor(-1.6210, device='cuda:0')"
"tensor(-0.2734, device='cuda:0')","tensor(-1.4303, device='cuda:0')"
"tensor(-0.3365, device='cuda:0')","tensor(-1.2527, device='cuda:0')"
"tensor(-0.2601, device='cuda:0')","tensor(-1.4739, device='cuda:0')"
"tensor(-0.2654, device='cuda:0')","tensor(-1.4563, device='cuda:0')"
"tensor(-0.1785, device='cuda:0')","tensor(-1.8109, device='cuda:0')"
"tensor(-1.4387, device='cuda:0')","tensor(-0.2708, device='cuda:0')"
"tensor(-0.2713, device='cuda:0')","tensor(-1.4370, device='cuda:0')"
"tensor(-0.7970, device='cuda:0')","tensor(-0.5991, device='cuda:0')"
"tensor(-0.0497, device='cuda:0')","tensor(-3.0259, device='cuda:0')"
"tensor(-0.1111, device='cuda:0')","tensor(-2.2521, device='cuda:0')"
"tensor(-0.2832, device='cuda:0')","tensor(-1.3999, device='cuda:0')"
"tensor(-0.4308, device='cuda:0')","tensor(-1.0499, device='cuda:0')"
"tensor(-0.2048, device='cuda:0')","tensor(-1.6863, device='cuda:0')"
"tensor(-0.2454, device='cuda:0')","tensor(-1.5250, device='cuda:0')"
"tensor(-0.2008, device='cuda:0')","tensor(-1.7042, device='cuda:0')"
"tensor(-0.5322, device='cuda:0')","tensor(-0.8850, device='cuda:0')"
"tensor(-0.5178, device='cuda:0')","tensor(-0.9060, device='cuda:0')"
"tensor(-0.2127, device='cuda:0')","tensor(-1.6524, device='cuda:0')"
"tensor(-0.0241, device='cuda:0')","tensor(-3.7383, device='cuda:0')"
"tensor(-0.4434, device='cuda:0')","tensor(-1.0269, device='cuda:0')"
"tensor(-0.0651, device='cuda:0')","tensor(-2.7645, device='cuda:0')"
"tensor(-0.0478, device='cuda:0')","tensor(-3.0647, device='cuda:0')"
"tensor(-1.2956, device='cuda:0')","tensor(-0.3198, device='cuda:0')"
"tensor(-0.4840, device='cuda:0')","tensor(-0.9580, device='cuda:0')"
"tensor(-0.0522, device='cuda:0')","tensor(-2.9787, device='cuda:0')"
"tensor(-0.2554, device='cuda:0')","tensor(-1.4900, device='cuda:0')"
"tensor(-0.3245, device='cuda:0')","tensor(-1.2834, device='cuda:0')"
"tensor(-1.0455, device='cuda:0')","tensor(-0.4331, device='cuda:0')"
"tensor(-0.7748, device='cuda:0')","tensor(-0.6177, device='cuda:0')"
"tensor(-0.6254, device='cuda:0')","tensor(-0.7658, device='cuda:0')"
"tensor(-0.0834, device='cuda:0')","tensor(-2.5255, device='cuda:0')"
"tensor(-0.2964, device='cuda:0')","tensor(-1.3605, device='cuda:0')"
"tensor(-1.0351, device='cuda:0')","tensor(-0.4388, device='cuda:0')"
"tensor(-0.0961, device='cuda:0')","tensor(-2.3901, device='cuda:0')"
"tensor(-0.0271, device='cuda:0')","tensor(-3.6213, device='cuda:0')"
"tensor(-0.0749, device='cuda:0')","tensor(-2.6294, device='cuda:0')"
"tensor(-0.0653, device='cuda:0')","tensor(-2.7613, device='cuda:0')"
"tensor(-0.4062, device='cuda:0')","tensor(-1.0971, device='cuda:0')"
"tensor(-0.5651, device='cuda:0')","tensor(-0.8401, device='cuda:0')"
"tensor(-0.4086, device='cuda:0')","tensor(-1.0924, device='cuda:0')"
"tensor(-0.0478, device='cuda:0')","tensor(-3.0647, device='cuda:0')"
"tensor(-0.6480, device='cuda:0')","tensor(-0.7405, device='cuda:0')"
"tensor(-0.1626, device='cuda:0')","tensor(-1.8968, device='cuda:0')"
"tensor(-0.0389, device='cuda:0')","tensor(-3.2661, device='cuda:0')"
"tensor(-0.0648, device='cuda:0')","tensor(-2.7690, device='cuda:0')"
"tensor(-0.1924, device='cuda:0')","tensor(-1.7428, device='cuda:0')"
"tensor(-0.1557, device='cuda:0')","tensor(-1.9367, device='cuda:0')"
"tensor(-0.6178, device='cuda:0')","tensor(-0.7746, device='cuda:0')"
"tensor(-0.5150, device='cuda:0')","tensor(-0.9101, device='cuda:0')"
"tensor(-0.1716, device='cuda:0')","tensor(-1.8470, device='cuda:0')"
"tensor(-0.0516, device='cuda:0')","tensor(-2.9892, device='cuda:0')"
"tensor(-0.2538, device='cuda:0')","tensor(-1.4953, device='cuda:0')"
"tensor(-0.0348, device='cuda:0')","tensor(-3.3751, device='cuda:0')"
"tensor(-0.4484, device='cuda:0')","tensor(-1.0179, device='cuda:0')"
"tensor(-0.0816, device='cuda:0')","tensor(-2.5468, device='cuda:0')"
"tensor(-0.0547, device='cuda:0')","tensor(-2.9338, device='cuda:0')"
"tensor(-0.5403, device='cuda:0')","tensor(-0.8737, device='cuda:0')"
"tensor(-0.2361, device='cuda:0')","tensor(-1.5591, device='cuda:0')"
"tensor(-2.5788, device='cuda:0')","tensor(-0.0789, device='cuda:0')"
"tensor(-0.5873, device='cuda:0')","tensor(-0.8116, device='cuda:0')"
"tensor(-0.5949, device='cuda:0')","tensor(-0.8021, device='cuda:0')"
"tensor(-1.0530, device='cuda:0')","tensor(-0.4291, device='cuda:0')"
"tensor(-2.4885, device='cuda:0')","tensor(-0.0867, device='cuda:0')"
"tensor(-0.4491, device='cuda:0')","tensor(-1.0167, device='cuda:0')"
"tensor(-1.0066, device='cuda:0')","tensor(-0.4549, device='cuda:0')"
"tensor(-0.3137, device='cuda:0')","tensor(-1.3121, device='cuda:0')"
