Created directory results\ACM_2022-09-26_14-31-44
Downloading C:\Users\lenovo\.dgl/ACM3025.pkl from https://data.dgl.ai/dataset/ACM3025.pkl...
dataset loaded
{'dataset': '细胞因子', 'test': 0.4, 'train': 0.2, 'val': 0.4}
bbbbb
aaaaaaaaaaaaaaaaaaaaaaa
Epoch 1 | Train Loss 0.6930 | Train Micro f1 0.5625 | Train Macro f1 0.4589 | Val Loss 0.6922 | Val Micro f1 0.5437 | Val Macro f1 0.4238
Epoch 2 | Train Loss 0.6930 | Train Micro f1 0.6375 | Train Macro f1 0.5827 | Val Loss 0.6917 | Val Micro f1 0.5687 | Val Macro f1 0.4702
Epoch 3 | Train Loss 0.6919 | Train Micro f1 0.6000 | Train Macro f1 0.5238 | Val Loss 0.6910 | Val Micro f1 0.5875 | Val Macro f1 0.5029
Epoch 4 | Train Loss 0.6901 | Train Micro f1 0.6625 | Train Macro f1 0.6191 | Val Loss 0.6904 | Val Micro f1 0.6062 | Val Macro f1 0.5340
Epoch 5 | Train Loss 0.6862 | Train Micro f1 0.6875 | Train Macro f1 0.6537 | Val Loss 0.6897 | Val Micro f1 0.6125 | Val Macro f1 0.5440
Epoch 6 | Train Loss 0.6848 | Train Micro f1 0.7125 | Train Macro f1 0.6866 | Val Loss 0.6890 | Val Micro f1 0.6438 | Val Macro f1 0.5920
Epoch 7 | Train Loss 0.6866 | Train Micro f1 0.7250 | Train Macro f1 0.7025 | Val Loss 0.6883 | Val Micro f1 0.6875 | Val Macro f1 0.6537
Epoch 8 | Train Loss 0.6810 | Train Micro f1 0.7625 | Train Macro f1 0.7483 | Val Loss 0.6876 | Val Micro f1 0.7063 | Val Macro f1 0.6785
Epoch 9 | Train Loss 0.6800 | Train Micro f1 0.7750 | Train Macro f1 0.7630 | Val Loss 0.6869 | Val Micro f1 0.7125 | Val Macro f1 0.6866
Epoch 10 | Train Loss 0.6798 | Train Micro f1 0.7500 | Train Macro f1 0.7333 | Val Loss 0.6861 | Val Micro f1 0.7125 | Val Macro f1 0.6866
Epoch 11 | Train Loss 0.6772 | Train Micro f1 0.8000 | Train Macro f1 0.7917 | Val Loss 0.6854 | Val Micro f1 0.7250 | Val Macro f1 0.7025
Epoch 12 | Train Loss 0.6803 | Train Micro f1 0.7625 | Train Macro f1 0.7483 | Val Loss 0.6846 | Val Micro f1 0.7312 | Val Macro f1 0.7103
Epoch 13 | Train Loss 0.6808 | Train Micro f1 0.7500 | Train Macro f1 0.7333 | Val Loss 0.6839 | Val Micro f1 0.7375 | Val Macro f1 0.7181
Epoch 14 | Train Loss 0.6741 | Train Micro f1 0.7625 | Train Macro f1 0.7483 | Val Loss 0.6831 | Val Micro f1 0.7312 | Val Macro f1 0.7103
Epoch 15 | Train Loss 0.6745 | Train Micro f1 0.7750 | Train Macro f1 0.7630 | Val Loss 0.6822 | Val Micro f1 0.7312 | Val Macro f1 0.7103
Epoch 16 | Train Loss 0.6664 | Train Micro f1 0.8625 | Train Macro f1 0.8599 | Val Loss 0.6814 | Val Micro f1 0.7312 | Val Macro f1 0.7103
Epoch 17 | Train Loss 0.6703 | Train Micro f1 0.8375 | Train Macro f1 0.8331 | Val Loss 0.6805 | Val Micro f1 0.7312 | Val Macro f1 0.7103
Epoch 18 | Train Loss 0.6657 | Train Micro f1 0.8500 | Train Macro f1 0.8465 | Val Loss 0.6797 | Val Micro f1 0.7312 | Val Macro f1 0.7103
Epoch 19 | Train Loss 0.6725 | Train Micro f1 0.8250 | Train Macro f1 0.8195 | Val Loss 0.6788 | Val Micro f1 0.7250 | Val Macro f1 0.7025
Epoch 20 | Train Loss 0.6678 | Train Micro f1 0.7875 | Train Macro f1 0.7775 | Val Loss 0.6779 | Val Micro f1 0.7250 | Val Macro f1 0.7025
Epoch 21 | Train Loss 0.6647 | Train Micro f1 0.8125 | Train Macro f1 0.8057 | Val Loss 0.6769 | Val Micro f1 0.7250 | Val Macro f1 0.7025
Epoch 22 | Train Loss 0.6606 | Train Micro f1 0.8750 | Train Macro f1 0.8730 | Val Loss 0.6760 | Val Micro f1 0.7250 | Val Macro f1 0.7025
Epoch 23 | Train Loss 0.6611 | Train Micro f1 0.8375 | Train Macro f1 0.8331 | Val Loss 0.6750 | Val Micro f1 0.7188 | Val Macro f1 0.6946
Epoch 24 | Train Loss 0.6551 | Train Micro f1 0.9000 | Train Macro f1 0.8990 | Val Loss 0.6740 | Val Micro f1 0.7125 | Val Macro f1 0.6866
Epoch 25 | Train Loss 0.6563 | Train Micro f1 0.8250 | Train Macro f1 0.8195 | Val Loss 0.6729 | Val Micro f1 0.7125 | Val Macro f1 0.6866
Epoch 26 | Train Loss 0.6546 | Train Micro f1 0.8625 | Train Macro f1 0.8599 | Val Loss 0.6718 | Val Micro f1 0.7125 | Val Macro f1 0.6866
Epoch 27 | Train Loss 0.6514 | Train Micro f1 0.9000 | Train Macro f1 0.8990 | Val Loss 0.6707 | Val Micro f1 0.7125 | Val Macro f1 0.6866
Epoch 28 | Train Loss 0.6485 | Train Micro f1 0.8375 | Train Macro f1 0.8331 | Val Loss 0.6695 | Val Micro f1 0.7125 | Val Macro f1 0.6866
