"tensor(2.9485, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.8884, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(0.7818, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.0661, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(3.5673, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-3.4200, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(1.0401, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.2274, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(0.8673, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.0511, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(3.3261, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-3.3502, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(2.6623, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.5547, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(4.7032, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-4.6189, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(6.2888, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-6.2361, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(4.3817, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-4.5091, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(3.8485, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-3.6803, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(3.1794, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-3.0275, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(1.3489, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.5556, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(4.7115, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-4.7343, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(5.6731, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-5.4464, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(5.7659, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-5.7334, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(2.8000, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-3.0664, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(2.8952, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-3.1697, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(4.5532, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-4.5257, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(3.3059, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-3.4499, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(5.7839, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-5.6963, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(1.3143, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.3516, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(5.1317, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-5.2045, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(3.0859, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-3.2090, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(5.3575, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-5.4716, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(3.8167, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-3.9917, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(1.1104, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.9402, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(2.1492, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.2769, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(0.5647, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-0.6726, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(1.4516, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.5623, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(3.8616, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-3.9951, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(5.7821, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-5.5426, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(2.6622, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.7773, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(2.3796, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.1658, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(2.7712, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.7317, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(2.7601, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-2.7683, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(3.2548, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-3.3698, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(1.8721, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.9944, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(1.9098, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-1.9183, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(3.0477, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(-3.2077, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-2.1808, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(2.0190, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-2.7325, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(2.6078, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-1.5925, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(1.4674, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-1.5925, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(1.4674, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-3.0933, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(2.9682, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-1.5925, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(1.4674, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-1.5925, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(1.4674, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-3.8923, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(3.7562, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-1.5925, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(1.4674, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-1.8477, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(1.7204, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-1.9613, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(1.8572, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-2.4191, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(2.3281, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-1.8225, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(1.6319, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-1.7982, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(1.6654, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-1.8827, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(1.7459, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-1.5925, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(1.4674, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-1.7620, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(1.6336, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-1.8358, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(1.7305, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-1.5925, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(1.4674, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-2.5027, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(2.3333, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-1.5925, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(1.4674, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-2.1112, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(1.9976, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-3.5368, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(3.3076, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-1.5925, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(1.4674, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-1.5925, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(1.4674, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-1.6687, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(1.5608, device='cuda:0', grad_fn=<UnbindBackward0>)"
"tensor(-1.5925, device='cuda:0', grad_fn=<UnbindBackward0>)","tensor(1.4674, device='cuda:0', grad_fn=<UnbindBackward0>)"
