,nodes
9606.ENSP00000218104,0
9606.ENSP00000310688,1
9606.ENSP00000341044,2
9606.ENSP00000422607,3
9606.ENSP00000442656,4
9606.ENSP00000221561,5
9606.ENSP00000378877,6
9606.ENSP00000355627,7
9606.ENSP00000280979,8
9606.ENSP00000451828,9
9606.ENSP00000360762,10
9606.ENSP00000284981,11
9606.ENSP00000264607,12
9606.ENSP00000391137,13
9606.ENSP00000417914,14
9606.ENSP00000355195,15
9606.ENSP00000397655,16
9606.ENSP00000284142,17
9606.ENSP00000451575,18
9606.ENSP00000321388,19
9606.ENSP00000296525,20
9606.ENSP00000277458,21
9606.ENSP00000328327,22
9606.ENSP00000349325,23
9606.ENSP00000445306,24
9606.ENSP00000392043,25
9606.ENSP00000344087,26
9606.ENSP00000452780,27
9606.ENSP00000417132,28
9606.ENSP00000295379,29
9606.ENSP00000359866,30
9606.ENSP00000327440,31
9606.ENSP00000361915,32
9606.ENSP00000483570,33
9606.ENSP00000269221,34
9606.ENSP00000371503,35
9606.ENSP00000245907,36
9606.ENSP00000302079,37
9606.ENSP00000347197,38
9606.ENSP00000266376,39
9606.ENSP00000367755,40
9606.ENSP00000433138,41
9606.ENSP00000311032,42
9606.ENSP00000302234,43
9606.ENSP00000308815,44
9606.ENSP00000225831,45
9606.ENSP00000351671,46
9606.ENSP00000259607,47
9606.ENSP00000259631,48
9606.ENSP00000477908,49
9606.ENSP00000482259,50
9606.ENSP00000483609,51
9606.ENSP00000474412,52
9606.ENSP00000296140,53
9606.ENSP00000292301,54
9606.ENSP00000292303,55
9606.ENSP00000246657,56
9606.ENSP00000326432,57
9606.ENSP00000350256,58
9606.ENSP00000437940,59
9606.ENSP00000370989,60
9606.ENSP00000324890,61
9606.ENSP00000310036,62
9606.ENSP00000361359,63
9606.ENSP00000359663,64
9606.ENSP00000398632,65
9606.ENSP00000264246,66
9606.ENSP00000332049,67
9606.ENSP00000481937,68
9606.ENSP00000370297,69
9606.ENSP00000204604,70
9606.ENSP00000362962,71
9606.ENSP00000255030,72
9606.ENSP00000327513,73
9606.ENSP00000286301,74
9606.ENSP00000296871,75
9606.ENSP00000394227,76
9606.ENSP00000384053,77
9606.ENSP00000225474,78
9606.ENSP00000362195,79
9606.ENSP00000415579,80
9606.ENSP00000303939,81
