#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCD1	ACSL1	9606.ENSP00000218104	9606.ENSP00000422607	0	0	0	0	0.231	0.180	0	0.355	0.558
ABCD1	ABCD2	9606.ENSP00000218104	9606.ENSP00000310688	0	0	0.441	0.969	0	0.513	0.800	0.947	0.902
ABCD2	ACSL1	9606.ENSP00000310688	9606.ENSP00000422607	0	0	0	0	0.231	0.180	0	0.324	0.537
ACACB	GPAM	9606.ENSP00000341044	9606.ENSP00000265276	0	0	0	0	0.094	0	0	0.496	0.523
ACACB	LEP	9606.ENSP00000341044	9606.ENSP00000312652	0	0	0	0	0.062	0	0	0.420	0.432
ACACB	INS	9606.ENSP00000341044	9606.ENSP00000380432	0	0	0	0	0	0	0	0.519	0.519
ACACB	ACSL1	9606.ENSP00000341044	9606.ENSP00000422607	0.045	0	0	0	0.084	0	0	0.530	0.553
ACSL1	CYP27A1	9606.ENSP00000422607	9606.ENSP00000258415	0	0	0	0	0.106	0.067	0	0.455	0.506
ACSL1	LIPG	9606.ENSP00000422607	9606.ENSP00000261292	0	0	0	0	0	0	0.600	0.227	0.677
ACSL1	GPAM	9606.ENSP00000422607	9606.ENSP00000265276	0	0	0	0	0.110	0	0	0.582	0.612
ACSL1	AGPAT1	9606.ENSP00000422607	9606.ENSP00000378877	0.051	0	0	0	0.062	0.058	0	0.527	0.550
ACSL1	INS	9606.ENSP00000422607	9606.ENSP00000380432	0	0	0	0	0	0	0	0.460	0.459
ACVR1B	CHRD	9606.ENSP00000442656	9606.ENSP00000204604	0	0	0	0	0.062	0.121	0	0.587	0.630
ACVR1B	GDF1	9606.ENSP00000442656	9606.ENSP00000247005	0	0	0	0	0	0.150	0	0.460	0.521
ACVR1B	EGF	9606.ENSP00000442656	9606.ENSP00000265171	0	0	0	0	0	0.056	0	0.816	0.819
ACVR1B	EGFR	9606.ENSP00000442656	9606.ENSP00000275493	0	0	0	0	0.062	0.174	0	0.352	0.454
ACVR1B	NODAL	9606.ENSP00000442656	9606.ENSP00000287139	0	0	0	0	0	0.352	0.600	0.700	0.915
ACVR1B	BMP10	9606.ENSP00000442656	9606.ENSP00000295379	0	0	0	0	0	0.150	0	0.392	0.461
ACVR1B	GDF3	9606.ENSP00000442656	9606.ENSP00000331745	0	0	0	0	0	0.150	0	0.510	0.566
ACVR1B	BMP5	9606.ENSP00000442656	9606.ENSP00000359866	0	0	0	0	0	0.259	0	0.456	0.579
ACVR1B	BMP8B	9606.ENSP00000442656	9606.ENSP00000361915	0	0	0	0	0	0.150	0	0.412	0.480
ACVR1B	GDF5	9606.ENSP00000442656	9606.ENSP00000363492	0	0	0	0	0	0.213	0	0.344	0.461
ACVR1B	FOXH1	9606.ENSP00000442656	9606.ENSP00000366534	0	0	0	0	0	0.118	0	0.583	0.617
ACVR1B	CER1	9606.ENSP00000442656	9606.ENSP00000370297	0	0	0	0	0	0	0.900	0.245	0.921
ACVR1B	TRAF6	9606.ENSP00000442656	9606.ENSP00000433623	0	0	0	0	0.062	0.099	0	0.456	0.501
